numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"SULADZE, ALEKSANDRE",ANDRATX A,Titular,Local,PALMA F.C.,10,0,0,0,90
4,"SANCHEZ JIMENEZ, FERNANDO",ANDRATX A,Titular,Local,PALMA F.C.,10,0,1,0,90
6,"TUR HORRACH, HUG",ANDRATX A,Titular,Local,PALMA F.C.,10,0,0,0,77
7,"LUPIAÑEZ ALEMANY, TONI",ANDRATX A,Titular,Local,PALMA F.C.,10,0,0,0,90
9,"VARGAS RODRIGUEZ, NICOLAS",ANDRATX A,Titular,Local,PALMA F.C.,10,0,0,0,90
10,"SANCHEZ RAMIREZ, JAVIER",ANDRATX A,Titular,Local,PALMA F.C.,10,0,0,0,90
12,"CASTELLO FERRA, JOAN",ANDRATX A,Titular,Local,PALMA F.C.,10,0,0,0,46
15,"OPREA, ALESSIO MIHAI",ANDRATX A,Titular,Local,PALMA F.C.,10,0,0,0,90
16,"ROGEL ARRIAGA, BRYAN STALIN",ANDRATX A,Titular,Local,PALMA F.C.,10,0,0,0,90
17,"DOBLAS TORRES, MIGUEL",ANDRATX A,Titular,Local,PALMA F.C.,10,0,0,0,55
18,"AMER CASTILLO, MIGUEL",ANDRATX A,Titular,Local,PALMA F.C.,10,0,0,0,90
2,"PATRICIO TORRRENS, JUAN",ANDRATX A,Suplente,Local,PALMA F.C.,10,0,1,0,44
3,"ALARCON FERRER, ADRIAN",ANDRATX A,Suplente,Local,PALMA F.C.,10,0,0,0,13
8,"ALMERING, BEPPE",ANDRATX A,Suplente,Local,PALMA F.C.,10,0,0,0,0
11,"JIMENEZ PASTOR, IKER",ANDRATX A,Suplente,Local,PALMA F.C.,10,0,0,0,35
13,"HURTADO LOPEZ, IVAN",ANDRATX A,Suplente,Local,PALMA F.C.,10,0,0,0,0
1,"CATRON, URIAS",PALMA F.C.,Titular,Visitante,ANDRATX A,10,0,0,0,90
4,"CONDE, MAMADI",PALMA F.C.,Titular,Visitante,ANDRATX A,10,0,0,0,90
5,"GOMEZ ACUÑA, RENSON ENRIQUE",PALMA F.C.,Titular,Visitante,ANDRATX A,10,0,0,0,90
6,"FERRA OSPINA, CARLES JOAN",PALMA F.C.,Titular,Visitante,ANDRATX A,10,0,0,0,90
7,"PORCEL MARTINEZ, JORDI",PALMA F.C.,Titular,Visitante,ANDRATX A,10,0,0,0,66
8,"GIL GOMILA, XAYRON",PALMA F.C.,Titular,Visitante,ANDRATX A,10,0,0,0,60
10,"NDIR GUEYE, MOUHAMADOUL LAMIN",PALMA F.C.,Titular,Visitante,ANDRATX A,10,0,0,0,84
11,"FRANCO SINGEORZAN, ALEX",PALMA F.C.,Titular,Visitante,ANDRATX A,10,0,0,0,66
14,JOAN,PALMA F.C.,Titular,Visitante,ANDRATX A,10,0,1,0,90
15,"PELLEGRINO, NICOLA EMANUELE",PALMA F.C.,Titular,Visitante,ANDRATX A,10,0,0,0,84
18,"SAMPOL MARTINEZ, MARC",PALMA F.C.,Titular,Visitante,ANDRATX A,10,0,0,0,90
2,"BADICU, GEORGE",PALMA F.C.,Suplente,Visitante,ANDRATX A,10,0,0,0,0
3,"ROMERO ALASSIA, LUCAS T",PALMA F.C.,Suplente,Visitante,ANDRATX A,10,0,0,0,6
9,"FOLGADO GARNICA, PAULO",PALMA F.C.,Suplente,Visitante,ANDRATX A,10,0,0,0,6
12,"MORELL SACRISTÁN, CARLOS",PALMA F.C.,Suplente,Visitante,ANDRATX A,10,0,0,0,24
13,"AZIZI BAIBOUN, OUSSAMA",PALMA F.C.,Suplente,Visitante,ANDRATX A,10,0,0,0,0
16,"JIMENEZ JARAMILLO, KARLO ANDREU",PALMA F.C.,Suplente,Visitante,ANDRATX A,10,0,0,0,24
17,"VILLALONGA GÓMEZ, IKER",PALMA F.C.,Suplente,Visitante,ANDRATX A,10,0,0,0,30
1,"MERCADAL CARRERAS, JOSEP",MALLORCA B,Titular,Local,PENYA ARRABAL A,10,0,0,0,90
2,"VERD ALONSO, ABEL",MALLORCA B,Titular,Local,PENYA ARRABAL A,10,0,0,0,90
3,"VAN DER MEER GARI, YANNICK",MALLORCA B,Titular,Local,PENYA ARRABAL A,10,0,0,0,90
4,"D'VAZ AFONSO, SPENCER GARCIA",MALLORCA B,Titular,Local,PENYA ARRABAL A,10,0,0,0,90
5,"ALEMANY TOUS, MARC",MALLORCA B,Titular,Local,PENYA ARRABAL A,10,0,0,0,60
