Jornada,Minuto,jugador,Tipo de Gol
1,17,"LLEDO SAMPOL, ADRIA",Normal
1,67,"FRANCO SINGEORZAN, ALEX",Normal
1,70,"FRANCO SINGEORZAN, ALEX",Normal
1,74,"FRANCO SINGEORZAN, ALEX",Penalti
1,62,"CORDOBA TUR, MARC",Normal
1,64,"MARTIN CABALLERO, ANGEL",Normal
1,65,"MENDOZA SOLER, MARIO",Normal
1,70,"VICH FORTEZA, LLUC",Normal
1,82,"LOPEZ FUXA, AARON",Normal
1,24,"FEBRER VILLALONGA, ALBERT",Normal
1,25,"GOMILA BOSCH, LLUÍS",Normal
1,54,"MARQUES GOMILA, MARC",Normal
1,66,"DRAGHI, MAXIMO",Normal
1,86,"ONCALA CARAVACA, DANIEL",Penalti
1,92,"FERNÁNDEZ RODRÍGUEZ, IKER",Normal
1,48,"RETTICH SOLER, JOSEP",Normal
1,42,"EXPOSITO BINNEWIES, ALEJANDRO",Normal
1,55,"CASAUS SANCHEZ, JOSE IGNACIO",Normal
1,66,"FUSTER CORTES, FERNANDO",Normal
1,72,"TORRALBA TANUGGI, LUIS",Normal
1,93,"PUJOL ALOMAR, TELM",Normal
1,11,"DE OLIVEIRA MESSIAS, KLAYVER",Normal
1,31,"TEJEDOR MORENO, ALEJANDRO",Normal
1,35,"SINTES MELERO, ALVARO",Normal
1,40,"TEJEDOR MORENO, ALEJANDRO",Normal
1,73,"LOPEZ FERNANDEZ, MARC",Normal
1,28,"SEGUI ESTEBAN, IAN",Normal
1,36,"HERRERA IGLESIAS, ADRIAN",Normal
1,82,"BLANCO WEBER, LUCA",Normal
1,92,"CASTAÑER PECELLIN, RAFAEL",Normal
1,40,"HORRACH LLABRES, GERARDO",Normal
1,88,"COCA ANTELO, ANDREW",Normal
1,89,"WHYTE ODUNZE, MICHAEL IKENNA",Normal
1,21,"ARCOS MUÑOZ, IKER",Normal
1,53,"POSTIGO GARAT, RAUL",Normal
2,11,"DE OLIVEIRA MESSIAS, EMMANUEL",Normal
2,37,"FRANCO SINGEORZAN, ALEX",Normal
2,65,"MASCARO MARTINEZ, IKER",Normal
2,73,"SEGORBE GODOY, MARCOS",Penalti
2,77,"SEGORBE GODOY, MARCOS",Normal
2,39,"GOMILA BOSCH, LLUÍS",Normal
2,65,"FUSTER LATORRE, DANIEL",Normal
2,17,"VIVARES ARANDA, YANNICK",Normal
2,60,"AMAYA MALENO, FRANCISCO",Normal
2,23,"TUR ESCALAS, TONI",Normal
2,48,"CAIMARI FIGUEROLA, JAUME",Normal
2,51,"RETTICH SOLER, JOSEP",Normal
2,15,"SEGUI ESTEBAN, IAN",Normal
2,17,"GARCIA LLOMPART, RAFEL",Normal
2,70,"EXPOSITO BINNEWIES, ALEJANDRO",Normal
2,83,"ARAQUE CARRASCOSA, AITOR",Normal
2,91,"VERA SALINAS, ERIK",Normal
2,40,"PUGLIESE, PAOLO ALBERTO",Normal
2,43,"GOMEZ BLANCA, AARON",Normal
2,56,"GARCIA ALBA, JAVIER",Normal
2,60,"RODRIGUEZ ROIG, ARIAN",Normal
2,70,"RODRIGUEZ ROIG, ARIAN",Normal
3,19,"FRANCO SINGEORZAN, ALEX",Normal
3,14,"MENDOZA SOLER, MARIO",Normal
3,29,"MUÑOZ BAIXAULI, JUAN",Penalti
3,90,"LEBRERO BENITEZ, HUGO",Normal
3,41,"SUÁREZ SERRA, ALEX",Normal
3,70,JOAN,Normal
3,78,"SALAMANCA GALERA, AITOR",Normal
3,89,"GOMILA BOSCH, LLUÍS",Penalti
3,11,"CHUKWUKERE PULLET, GREGORY IKECHUKWU",Normal
3,30,"COLL AREVALO, JORDI",Normal
3,92,"WHYTE ODUNZE, MICHAEL IKENNA",Normal
3,11,"SANCHO OLIVER, PEDRO",Normal
3,56,"MARTINEZ GOMEZ, DYLAN",Normal
3,59,"SANCHO OLIVER, PEDRO",Normal
3,63,"SANCHO OLIVER, PEDRO",Normal
3,86,"PASCUAL GORNES, ENRIC",Normal
3,44,"GOMEZ SANTOS, JUAN",Normal
3,69,"DE OLIVEIRA MESSIAS, EMMANUEL",Normal
3,84,"DE OLIVEIRA MESSIAS, KLAYVER",Normal
3,15,"TORRALBA TANUGGI, LUIS",Normal
3,32,"EXPOSITO BINNEWIES, ALEJANDRO",Normal
3,54,"CHICA COMAS, JUAN A",Normal
3,93,"TORRES RIERA, LLUC",Normal
4,7,"DE OLIVEIRA MESSIAS, EMMANUEL",Penalti
4,40,"SINTES MELERO, ALVARO",Normal
4,50,"CORDOBA TUR, MARC",Normal
4,75,"DE OLIVEIRA MESSIAS, EMMANUEL",Normal
4,88,"DE OLIVEIRA MESSIAS, KLAYVER",Normal
4,3,"BESTARD SERVERA, MARCOS",Normal
4,33,"AMELLER RIUDAVETS, JOSEP",Normal
4,47,"CANTALAPIEDRA LOBATO, IKER",Normal
4,46,"WHYTE ODUNZE, MICHAEL IKENNA",Normal
4,55,"COULIBALY COULIBALY, MADANE",Normal
4,66,"WHYTE ODUNZE, MICHAEL IKENNA",Penalti
4,49,"PARRA VIZUETE, DANIEL",Normal
4,73,"EXPOSITO BINNEWIES, ALEJANDRO",Normal
4,90,"GOMILA GAMERO, MARCOS",Normal
4,49,"MESTRE RIBOT, PAU",Normal
4,4,"FUSTER CORTES, FERNANDO",Normal
4,66,"COMAS HUTTEN, PAU LLUIS",Penalti
4,74,"GARCIAS LLABRES, MIQUEL",Normal
4,21,"VARGAS RODRIGUEZ, NICOLAS",Normal
4,82,"TRIAY SASTRE, ADRIA",Normal
5,58,"FUSTER CORTES, FERNANDO",Penalti
5,34,"MARTINEZ MUNTANER, SERGI",Normal
5,42,"LEBRERO BENITEZ, HUGO",Normal
5,59,"CASTAÑER PECELLIN, RAFAEL",Normal
5,90,"GOMEZ ACUÑA, RENSON ENRIQUE",Normal
5,12,"OSEGIE AMADASUN, MARVIN ISOKEN",Normal
5,90,"MENDEZ DUARTE, IVAN",Normal
5,85,"CASAUS SANCHEZ, JOSE IGNACIO",Normal
5,29,"DE OLIVEIRA MESSIAS, EMMANUEL",Normal
5,42,"MARTOS VERGARA, DANIEL",Normal
5,45,"PUGLIESE, PAOLO ALBERTO",Normal
5,68,"LOPEZ FERNANDEZ, MARC",Normal
5,75,"BALBURE CARDONA, ALEX",Normal
5,75,"ELHADJ ABDOULAYE, BALDE",Normal
5,90,"LOPEZ FERNANDEZ, MARC",Normal
5,96,"LOPEZ FERNANDEZ, MARC",Normal
5,2,"WHYTE ODUNZE, MICHAEL IKENNA",Normal
5,26,"VICH FORTEZA, LLUC",Normal
5,5,"PATRICIO GUAL, MARC",Normal
5,10,"SANCHO OLIVER, PEDRO",Normal
5,38,"KRAUSSE, IGNACIO TOMAS",Normal
5,19,"DIAZ LLABRES, ISAAC",Normal
6,48,"DE OLIVEIRA MESSIAS, EMMANUEL",Normal
6,90,"LOPEZ FERNANDEZ, MARC",Normal
6,96,"FEBRER VILLALONGA, ALBERT",Penalti
6,19,"PETRARCA, ELIA",Normal
6,53,"VIZCAINO SEGURA, ALAN",Normal
6,44,"HERRERA IGLESIAS, ADRIAN",Normal
6,62,"CRESPI BARRERA, LEONARDO",Normal
6,37,"FERNANDEZ HEREDIA, ALEJANDRO",Normal
6,40,"RIERA MARTÍNEZ, FERRAN",Normal
6,55,"COMPANY INGLA, JAUME",Normal
6,88,"MARTIN MONSALVE, IAN",Normal
6,12,"VALLS ANIORTE, TARIKU",Normal
6,77,"PASCUAL GORNES, ENRIC",Normal
6,20,"CORCINO MUÑOZ, ANDRES",Normal
6,44,"HORRACH LLABRES, GERARDO",Normal
6,83,"ALARCON CAVERO, JOEL",Normal
6,28,"GONZALEZ OBRADOR, ENRIC",Normal
6,52,"KRZYZYK SERRANO, PEDRO",Normal
6,24,"SANCHIS MARTINEZ, DAVID",Normal
7,35,"SEGUI ESTEBAN, IAN",Normal
7,73,"DE LA PUERTA MARTORELL, JAUME",Normal
7,5,"ALEMANY TOUS, MARC",Normal
7,29,"AVILÉS MAESTRE, JOEL",Normal
7,91,"GIL GOMILA, XAYRON",Normal
7,11,"LLAMAS MARTINEZ, ERIC",Normal
7,33,"TORRALBA TANUGGI, LUIS",Normal
7,40,"MARTI RODRIGUEZ, IVAN",Normal
7,19,"SANCHO OLIVER, PEDRO",Normal
7,20,"SANCHO OLIVER, PEDRO",Normal
7,33,"LOMAS SERVERA, PAU",Normal
7,42,"SANCHO OLIVER, PEDRO",Normal
7,48,"KRZYZYK SERRANO, PEDRO",Normal
7,53,"SANCHO OLIVER, PEDRO",Normal
7,64,"KRZYZYK SERRANO, PEDRO",Normal
7,72,"KRZYZYK SERRANO, PEDRO",Normal
7,89,"BARRY DIALLO, MAMADOU ALIOU",Normal
7,90,"RODRIGUEZ LOPEZ, RAUL",Normal
7,1,"DE OLIVEIRA MESSIAS, EMMANUEL",Normal
7,43,"RETTICH SOLER, JOSEP",Penalti
7,56,"SALAMANCA GALERA, AITOR",Normal
7,61,"ONCALA CARAVACA, DANIEL",Normal
7,76,"VARGAS RODRIGUEZ, NICOLAS",Penalti
7,78,"MORA GISPERT, HUGO",Normal
7,37,"CASAUS SANCHEZ, JOSE IGNACIO",Normal
7,47,"GARCIA ALBA, JAVIER",Normal
7,84,"RODRIGUEZ ROIG, ARIAN",Normal
8,23,"LEBRERO BENITEZ, HUGO",Normal
8,54,"CASTAÑER PECELLIN, RAFAEL",Normal
8,60,"CRESPI BARRERA, LEONARDO",Normal
8,33,"AVILÉS MAESTRE, JOEL",Normal
8,40,"GARCIA LLOMPART, RAFEL",Normal
8,49,"GARCIA LLOMPART, RAFEL",Normal
8,54,"WHYTE ODUNZE, MICHAEL IKENNA",Normal
8,70,"WHYTE ODUNZE, MICHAEL IKENNA",Normal
8,75,"WHYTE ODUNZE, MICHAEL IKENNA",Normal
8,44,"FEBRER VILLALONGA, ALBERT",Normal
8,6,"ALARCON CAVERO, JOEL",Normal
8,18,"KRZYZYK SERRANO, PEDRO",Normal
8,14,"MONTALBAN ROMERO, MILO JERONIMO",Normal
8,56,"FERNÁNDEZ RODRÍGUEZ, IKER",Normal
8,59,"MASCARÓ SERVERA, JUAN",Normal
8,75,"MARCOS MONGE, IKER",Normal
8,24,"CAPO MORA, MARC",Normal
8,37,"CASAUS SANCHEZ, JOSE IGNACIO",Normal
8,40,"CASAUS SANCHEZ, JOSE IGNACIO",Normal
8,74,"EXPOSITO BINNEWIES, ALEJANDRO",Normal
8,79,"EXPOSITO BINNEWIES, ALEJANDRO",Normal
8,77,"RETTICH SOLER, JOSEP",Normal
8,11,"VICH FORTEZA, LLUC",Normal
8,41,"ADROVER MELIS, FRANCESC",Normal
8,90,"GARCIAS LLABRES, MIQUEL",Normal
8,14,"MAIRATA NOGUERA, ADRIA",Normal
8,41,"ELIAS ARANDIA, SAMUEL ABEL",Normal
8,50,"BERNASCONI, SANTINO",Normal
8,56,"COMPANY INGLA, JAUME",Normal
8,68,"PUGLIESE, PAOLO ALBERTO",Normal
11,14,"TORRALBA TANUGGI, LUIS",Normal
11,61,"WHYTE ODUNZE, MICHAEL IKENNA",Normal
11,63,"D'VAZ AFONSO, SPENCER GARCIA",Normal
11,66,"ARBOS DENGRA, DIEGO",Penalti
11,87,"VIZCAINO SEGURA, ALAN",Normal
11,39,"KRZYZYK SERRANO, PEDRO",Normal
11,58,"FEBRER VILLALONGA, ALBERT",Normal
11,87,"ABRAHAM BOLAÑOS, ISAAC",Normal
11,32,"MESTRE RIBOT, PAU",Normal
11,90,"GOMEZ ACUÑA, RENSON ENRIQUE",Normal
11,15,"FUSTER LATORRE, DANIEL",Penalti
11,25,"TRIAY SASTRE, ADRIA",Normal
11,45,"TRIAY SASTRE, ADRIA",Normal
11,49,"LOPEZ FUXA, AARON",Normal
11,62,"VICH FORTEZA, LLUC",Penalti
11,9,"CRESPI BARRERA, LEONARDO",Normal
11,37,"LEBRERO BENITEZ, HUGO",Normal
11,72,"GARCIA ALBA, JAVIER",Normal
11,92,"CONDE PEREIRA, ALEJANDRO MANUEL",Normal
11,17,"ELHADJ ABDOULAYE, BALDE",Normal
11,30,"PATRICIO GUAL, MARC",Normal
11,67,"BLANCO WEBER, LUCA",Normal
11,68,"BALLE BRUNET, JOAN",Normal
11,88,"MARTIN MONSALVE, IAN",Normal
11,59,"FERRER ROIG, JAUME",Normal
11,63,"BERNHARDT, JOEL PIOTR",Normal
11,89,"POLINTANG ANCHETA, GIANNE LARRY",Normal
11,90,"CORDOBA TUR, MARC",Normal
11,64,"ONCALA CARAVACA, DANIEL",Normal
12,6,"AVILÉS MAESTRE, JOEL",Normal
12,15,"GOMEZ SANTOS, JUAN",Normal
12,90,"WHYTE ODUNZE, MICHAEL IKENNA",Normal
12,95,"MOLINA DONAIRE, DANIEL",Normal
12,51,"SEGUI ESTEBAN, IAN",Normal
12,67,"SANCHO OLIVER, PEDRO",Normal
12,57,"FAQUINETTI VERGILIO, SAMUEL",Normal
12,62,"LAKHAL ZEROUALE, SAAD",Penalti
12,2,"RETTICH SOLER, JOSEP",Normal
12,40,"RETTICH SOLER, JOSEP",Normal
12,69,"MARTI RODRIGUEZ, IVAN",Penalti
12,65,"PUGLIESE, PAOLO ALBERTO",Penalti
12,68,"PUGLIESE, PAOLO ALBERTO",Normal
12,85,"TORRES RIERA, LLUC",Normal
12,32,"GALVEZ ESPINOZA, BRAD ANTONY",Normal
12,36,"EXPOSITO BINNEWIES, ALEJANDRO",Normal
12,47,"CASAUS SANCHEZ, JOSE IGNACIO",Normal
12,53,"CASAUS SANCHEZ, JOSE IGNACIO",Normal
12,60,"CASAUS SANCHEZ, JOSE IGNACIO",Normal
12,89,"MATAS OLIVER, PABLO",Normal
13,67,"BIARNES MORENO, ALEJANDRO",Normal
13,17,"SEGUI ESTEBAN, IAN",Normal
13,19,"ALMERING, BEPPE",Normal
13,62,"TUR HORRACH, HUG",Normal
13,6,"ELIAS ARANDIA, SAMUEL ABEL",Normal
13,62,"MARTOS VERGARA, DANIEL",Normal
13,81,"BERNHARDT, JOEL PIOTR",Normal
13,96,"EL HABBOULA EL KORTOBI, ABDELMOIZE",Normal
13,8,"EXPOSITO BINNEWIES, ALEJANDRO",Normal
13,41,"PUJOL ALOMAR, TELM",Normal
13,54,"ALARCON CAVERO, JOEL",Normal
13,85,"EXPOSITO BINNEWIES, ALEJANDRO",Penalti
13,57,"ARBOS DENGRA, DIEGO",Normal
13,60,"FERNANDEZ CABRERA, DAVID",Normal
13,67,"TORRALBA TANUGGI, LUIS",Normal
13,74,"SARMIENTO CABAÑIN, GABRIEL A",Normal
