numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"MERCADAL CARRERAS, JOSEP",MALLORCA B,Titular,Local,PENYA ARRABAL A,10,0,0,0,90
2,"VERD ALONSO, ABEL",MALLORCA B,Titular,Local,PENYA ARRABAL A,10,0,0,0,90
3,"VAN DER MEER GARI, YANNICK",MALLORCA B,Titular,Local,PENYA ARRABAL A,10,0,0,0,90
4,"D'VAZ AFONSO, SPENCER GARCIA",MALLORCA B,Titular,Local,PENYA ARRABAL A,10,0,0,0,90
5,"ALEMANY TOUS, MARC",MALLORCA B,Titular,Local,PENYA ARRABAL A,10,0,0,0,60
6,"BURGAYA GENOVART, FERRAN",MALLORCA B,Titular,Local,PENYA ARRABAL A,10,0,0,0,90
7,"MARTINEZ BELA, JAVIER",MALLORCA B,Titular,Local,PENYA ARRABAL A,10,0,0,0,51
8,"BIARNES MORENO, ALEJANDRO",MALLORCA B,Titular,Local,PENYA ARRABAL A,10,0,0,0,60
9,"WHYTE ODUNZE, MICHAEL IKENNA",MALLORCA B,Titular,Local,PENYA ARRABAL A,10,3,0,0,70
10,"HORRACH LLABRES, GERARDO",MALLORCA B,Titular,Local,PENYA ARRABAL A,10,1,0,0,70
11,"AVILÉS MAESTRE, JOEL",MALLORCA B,Titular,Local,PENYA ARRABAL A,10,1,0,0,90
12,"FRESNEDA HIDALGO, HUGO",MALLORCA B,Suplente,Local,PENYA ARRABAL A,10,0,0,0,30
13,"VALLBONA SERRA, JOAN",MALLORCA B,Suplente,Local,PENYA ARRABAL A,10,0,0,0,0
14,"TEJADA LLADONET, ORIOL",MALLORCA B,Suplente,Local,PENYA ARRABAL A,10,0,0,0,0
15,"COCA ANTELO, ANDREW",MALLORCA B,Suplente,Local,PENYA ARRABAL A,10,0,0,0,20
16,"LAZARO TORRES, MARIO",MALLORCA B,Suplente,Local,PENYA ARRABAL A,10,0,0,0,30
17,"DIALLO CONDE, ABDOURAHAMANE",MALLORCA B,Suplente,Local,PENYA ARRABAL A,10,0,0,0,39
18,"GARCIA LLOMPART, RAFEL",MALLORCA B,Suplente,Local,PENYA ARRABAL A,10,0,0,0,20
13,"MANOLACHE POCOVI, DANIEL",PENYA ARRABAL A,Titular,Visitante,MALLORCA B,10,0,0,0,90
3,"MARTINEZ MUNTANER, SERGI",PENYA ARRABAL A,Titular,Visitante,MALLORCA B,10,0,0,0,90
4,"PASCUAL RIERA, MIGUEL ANGEL",PENYA ARRABAL A,Titular,Visitante,MALLORCA B,10,0,0,0,90
7,"PONS SERRANO, ALEIX",PENYA ARRABAL A,Titular,Visitante,MALLORCA B,10,0,0,0,53
8,"GARCIA HERNANDEZ, JOSE RAMON",PENYA ARRABAL A,Titular,Visitante,MALLORCA B,10,0,1,0,90
9,"LEBRERO BENITEZ, HUGO",PENYA ARRABAL A,Titular,Visitante,MALLORCA B,10,0,0,0,90
12,"MESQUIDA URIBE, XAVIER",PENYA ARRABAL A,Titular,Visitante,MALLORCA B,10,0,0,0,53
15,"HERRERA IGLESIAS, ADRIAN",PENYA ARRABAL A,Titular,Visitante,MALLORCA B,10,0,0,0,90
17,"ARIAS BESTARD, ENZO",PENYA ARRABAL A,Titular,Visitante,MALLORCA B,10,0,0,0,57
18,"FIOL ACEITUNO, MIQUEL",PENYA ARRABAL A,Titular,Visitante,MALLORCA B,10,0,0,0,57
19,"RIUTORT GONZALEZ, JUAN FRANCISCO",PENYA ARRABAL A,Titular,Visitante,MALLORCA B,10,0,0,0,66
1,"MUÑOZ CAMPOY, IVAN",PENYA ARRABAL A,Suplente,Visitante,MALLORCA B,10,0,0,0,0
2,"ROTTLANDER, LENNOX MARKUS",PENYA ARRABAL A,Suplente,Visitante,MALLORCA B,10,0,0,0,33
10,"CRESPI BARRERA, LEONARDO",PENYA ARRABAL A,Suplente,Visitante,MALLORCA B,10,0,0,0,37
11,"VAZQUEZ SUAREZ, HUGO",PENYA ARRABAL A,Suplente,Visitante,MALLORCA B,10,0,0,0,37
14,"MAS MAIMO, JOSEP",PENYA ARRABAL A,Suplente,Visitante,MALLORCA B,10,0,0,0,24
16,"VALLESPIR TIMONER, PERE MARC",PENYA ARRABAL A,Suplente,Visitante,MALLORCA B,10,0,0,0,33
