numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
25,"BURGUERA BONET, JULIÀ",MANACOR A,Titular,Local,SAN FRANCISCO B,10,0,0,0,90
7,"LAKHAL ZEROUALE, SAAD",MANACOR A,Titular,Local,SAN FRANCISCO B,10,0,1,0,61
8,"MARCOS MONGE, IKER",MANACOR A,Titular,Local,SAN FRANCISCO B,10,0,0,0,71
9,"ADROVER GARRIDO, ALBERT",MANACOR A,Titular,Local,SAN FRANCISCO B,10,1,0,1,71
11,"CORCHADO JIMENEZ, ISAAC",MANACOR A,Titular,Local,SAN FRANCISCO B,10,0,0,0,90
14,"GUICHANDUT GOMILA, MARC",MANACOR A,Titular,Local,SAN FRANCISCO B,10,0,0,0,90
18,"SOLER CALDENTEY, JOEL",MANACOR A,Titular,Local,SAN FRANCISCO B,10,0,0,0,90
19,"RODRIGUEZ GALDON, DANIEL",MANACOR A,Titular,Local,SAN FRANCISCO B,10,0,0,0,90
20,"ADROVER GARRIDO, GERARD",MANACOR A,Titular,Local,SAN FRANCISCO B,10,0,0,0,61
21,"TRIAY PETHERAM, TOMAS ISMAEL",MANACOR A,Titular,Local,SAN FRANCISCO B,10,0,0,0,85
22,"MONTES CARDONA, CHRISTIAN",MANACOR A,Titular,Local,SAN FRANCISCO B,10,0,1,0,90
1,"NIKOLOV, MARIO MARTINOV",MANACOR A,Suplente,Local,SAN FRANCISCO B,10,0,0,0,0
2,"LAMSIAH AJGHOUF, OSSAMA",MANACOR A,Suplente,Local,SAN FRANCISCO B,10,0,0,0,0
4,"GRAHAM, NATHAN STUART",MANACOR A,Suplente,Local,SAN FRANCISCO B,10,0,0,0,5
15,"GARAU NICOLAU, MARC",MANACOR A,Suplente,Local,SAN FRANCISCO B,10,0,0,0,19
16,"MESTRE RIBOT, PAU",MANACOR A,Suplente,Local,SAN FRANCISCO B,10,0,0,0,29
17,"VIVES HIDALGO, IKER",MANACOR A,Suplente,Local,SAN FRANCISCO B,10,0,0,0,19
24,"ALEGRIA DA SILVA, JOAO MIGUEL",MANACOR A,Suplente,Local,SAN FRANCISCO B,10,0,0,0,29
1,"MARTINS CORRAL, DIEGO",SAN FRANCISCO B,Titular,Visitante,MANACOR A,10,0,0,0,90
2,"LOPEZ CABRERA, JESUS",SAN FRANCISCO B,Titular,Visitante,MANACOR A,10,0,0,0,90
3,"SILVA SALINAS, ALEJANDRO",SAN FRANCISCO B,Titular,Visitante,MANACOR A,10,0,0,0,90
4,"BARRAGAN AGUILO, HECTOR DARIO",SAN FRANCISCO B,Titular,Visitante,MANACOR A,10,0,0,0,90
5,"CLADERA SOBERATS, LLORENÇ",SAN FRANCISCO B,Titular,Visitante,MANACOR A,10,0,0,0,90
6,"LEDESMA COR, MATEU",SAN FRANCISCO B,Titular,Visitante,MANACOR A,10,0,0,0,90
7,"SUÁREZ SERRA, ALEX",SAN FRANCISCO B,Titular,Visitante,MANACOR A,10,1,0,0,77
8,"GALLARDO DEL VALLE, BENJAMIN",SAN FRANCISCO B,Titular,Visitante,MANACOR A,10,0,0,0,90
9,"CONDE PEREIRA, ALEJANDRO MANUEL",SAN FRANCISCO B,Titular,Visitante,MANACOR A,10,0,0,0,45
10,"LUNEGRO, BRUNO",SAN FRANCISCO B,Titular,Visitante,MANACOR A,10,0,0,0,77
11,"SALAMANCA GALERA, AITOR",SAN FRANCISCO B,Titular,Visitante,MANACOR A,10,1,0,0,90
12,"ALARCON CAVERO, JOEL",SAN FRANCISCO B,Suplente,Visitante,MANACOR A,10,0,0,0,45
13,"TEJADA RODRIGUEZ, JOAN",SAN FRANCISCO B,Suplente,Visitante,MANACOR A,10,0,0,0,13
14,"BADJINKA NDIAYE, BUBAKAR",SAN FRANCISCO B,Suplente,Visitante,MANACOR A,10,0,0,0,0
15,"RIBAS MUÑOZ, SERGI",SAN FRANCISCO B,Suplente,Visitante,MANACOR A,10,0,0,0,0
16,"BORDOY LEAL, PEDRO",SAN FRANCISCO B,Suplente,Visitante,MANACOR A,10,0,0,0,0
17,"MASSANET CABRER, FRANCESC",SAN FRANCISCO B,Suplente,Visitante,MANACOR A,10,0,0,0,0
18,"ANDEBUELA BARRIOS, PABLO",SAN FRANCISCO B,Suplente,Visitante,MANACOR A,10,0,0,0,13
