numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"GOMILA GOMILA, JOAN",PENYA CIUTADELLA ESPORTIVA A,Titular,Local,PLA DE NA TESA A,10,0,1,0,90
2,"AGUILAR BOSCH, DAVID",PENYA CIUTADELLA ESPORTIVA A,Titular,Local,PLA DE NA TESA A,10,0,0,0,46
5,"BERNAL VOIGT, YAMPEL RICHARD",PENYA CIUTADELLA ESPORTIVA A,Titular,Local,PLA DE NA TESA A,10,0,0,0,90
7,"DIAZ LLABRES, ISAAC",PENYA CIUTADELLA ESPORTIVA A,Titular,Local,PLA DE NA TESA A,10,0,0,0,71
9,"TRIAY SASTRE, ADRIA",PENYA CIUTADELLA ESPORTIVA A,Titular,Local,PLA DE NA TESA A,10,2,0,0,90
10,"PONS MOLL, FRANCESC",PENYA CIUTADELLA ESPORTIVA A,Titular,Local,PLA DE NA TESA A,10,0,0,0,90
12,"LEON JUAN, VICTOR",PENYA CIUTADELLA ESPORTIVA A,Titular,Local,PLA DE NA TESA A,10,0,0,0,71
15,"MOLL PONS, ROBERTO",PENYA CIUTADELLA ESPORTIVA A,Titular,Local,PLA DE NA TESA A,10,0,0,0,65
16,"PONCIANO BUESO, JOSEP",PENYA CIUTADELLA ESPORTIVA A,Titular,Local,PLA DE NA TESA A,10,0,0,0,90
21,"MARQUES BAGUR, JOAN",PENYA CIUTADELLA ESPORTIVA A,Titular,Local,PLA DE NA TESA A,10,0,0,0,90
22,"CAMPS SEOANE, VICTOR",PENYA CIUTADELLA ESPORTIVA A,Titular,Local,PLA DE NA TESA A,10,0,1,0,90
3,"JUANEDA JUANEDA, JOSEP",PENYA CIUTADELLA ESPORTIVA A,Suplente,Local,PLA DE NA TESA A,10,0,0,0,19
4,"FEDELICH MARQUES, JAN",PENYA CIUTADELLA ESPORTIVA A,Suplente,Local,PLA DE NA TESA A,10,0,0,0,25
8,"RUS FERNANDEZ, IGNASI",PENYA CIUTADELLA ESPORTIVA A,Suplente,Local,PLA DE NA TESA A,10,0,0,0,0
11,"LOPEZ GONZALEZ, ALEJANDRO",PENYA CIUTADELLA ESPORTIVA A,Suplente,Local,PLA DE NA TESA A,10,0,1,0,25
13,"RIOJA GUILLEN, ALFONSO",PENYA CIUTADELLA ESPORTIVA A,Suplente,Local,PLA DE NA TESA A,10,0,0,0,0
14,"CAPO MORA, MARC",PENYA CIUTADELLA ESPORTIVA A,Suplente,Local,PLA DE NA TESA A,10,0,1,0,44
19,"ARGUIMBAU ALLES, MACIA",PENYA CIUTADELLA ESPORTIVA A,Suplente,Local,PLA DE NA TESA A,10,0,0,0,19
1,"CRUZ SEGUI, SERGIO",PLA DE NA TESA A,Titular,Visitante,PENYA CIUTADELLA ESPORTIVA A,10,0,0,0,90
2,"MESA ZAFRA, CHRISTIAN",PLA DE NA TESA A,Titular,Visitante,PENYA CIUTADELLA ESPORTIVA A,10,0,0,0,90
3,"OSEGIE AMADASUN, MARVIN ISOKEN",PLA DE NA TESA A,Titular,Visitante,PENYA CIUTADELLA ESPORTIVA A,10,0,0,0,90
4,"GONZALEZ OBRADOR, ENRIC",PLA DE NA TESA A,Titular,Visitante,PENYA CIUTADELLA ESPORTIVA A,10,0,0,0,90
5,"MARTINEZ ESPINOSA, DENIS",PLA DE NA TESA A,Titular,Visitante,PENYA CIUTADELLA ESPORTIVA A,10,0,0,0,90
6,"ALONSO MUNICIO, PABLO",PLA DE NA TESA A,Titular,Visitante,PENYA CIUTADELLA ESPORTIVA A,10,0,1,0,73
7,"MORA GISPERT, HUGO",PLA DE NA TESA A,Titular,Visitante,PENYA CIUTADELLA ESPORTIVA A,10,0,1,0,90
8,"COULIBALY COULIBALY, MADANE",PLA DE NA TESA A,Titular,Visitante,PENYA CIUTADELLA ESPORTIVA A,10,0,1,0,80
9,"MONTALBAN ROMERO, MILO JERONIMO",PLA DE NA TESA A,Titular,Visitante,PENYA CIUTADELLA ESPORTIVA A,10,0,0,0,84
10,"ONCALA CARAVACA, DANIEL",PLA DE NA TESA A,Titular,Visitante,PENYA CIUTADELLA ESPORTIVA A,10,0,0,0,90
11,"MASCARÓ SERVERA, JUAN",PLA DE NA TESA A,Titular,Visitante,PENYA CIUTADELLA ESPORTIVA A,10,1,0,0,73
13,"FATY, MALANG",PLA DE NA TESA A,Suplente,Visitante,PENYA CIUTADELLA ESPORTIVA A,10,0,0,0,0
14,"NAVARRO BEZARES, JAVIER",PLA DE NA TESA A,Suplente,Visitante,PENYA CIUTADELLA ESPORTIVA A,10,0,0,0,17
15,"MONTES MORALES, ADRIAN",PLA DE NA TESA A,Suplente,Visitante,PENYA CIUTADELLA ESPORTIVA A,10,0,0,0,17
16,"AIT SAID TAFZATI, NABIL",PLA DE NA TESA A,Suplente,Visitante,PENYA CIUTADELLA ESPORTIVA A,10,0,0,0,10
17,"ASAMOAH ASANTEWAA, DENIS",PLA DE NA TESA A,Suplente,Visitante,PENYA CIUTADELLA ESPORTIVA A,10,0,0,0,6
