numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
25,"VALENZUELA BIERMAN, NOAH",PLATGES DE CALVIA A,Titular,Local,CONSTANCIA A,10,0,0,0,90
4,"LOUNADI MUNAR, SAMUEL",PLATGES DE CALVIA A,Titular,Local,CONSTANCIA A,10,0,1,0,90
5,"GARCIA MEDRANO, MARCOS",PLATGES DE CALVIA A,Titular,Local,CONSTANCIA A,10,0,1,0,90
6,"MATAS OLIVER, PABLO",PLATGES DE CALVIA A,Titular,Local,CONSTANCIA A,10,0,1,0,90
7,"SANCHIS MARTINEZ, DAVID",PLATGES DE CALVIA A,Titular,Local,CONSTANCIA A,10,0,0,0,90
9,"CASAUS SANCHEZ, JOSE IGNACIO",PLATGES DE CALVIA A,Titular,Local,CONSTANCIA A,10,1,0,0,75
10,"EXPOSITO BINNEWIES, ALEJANDRO",PLATGES DE CALVIA A,Titular,Local,CONSTANCIA A,10,0,1,0,90
19,"CARDONA MARTIN, MARCOS",PLATGES DE CALVIA A,Titular,Local,CONSTANCIA A,10,0,0,0,63
20,"PUJOL ALOMAR, TELM",PLATGES DE CALVIA A,Titular,Local,CONSTANCIA A,10,0,0,0,55
21,"CABRERA FERRA, LIAM",PLATGES DE CALVIA A,Titular,Local,CONSTANCIA A,10,0,0,0,90
22,"HOLLINGSWORTH, HARRY RICHARD",PLATGES DE CALVIA A,Titular,Local,CONSTANCIA A,10,0,1,0,90
1,"RODRIGUEZ GUASP, JORDI",PLATGES DE CALVIA A,Suplente,Local,CONSTANCIA A,10,0,0,0,0
2,"GAYUBAS GONZALEZ, LUIS MIGUEL",PLATGES DE CALVIA A,Suplente,Local,CONSTANCIA A,10,1,0,0,15
3,"ALCOLEA ESCORCIA, CARLOS",PLATGES DE CALVIA A,Suplente,Local,CONSTANCIA A,10,0,0,0,0
8,"GARCÍA RODRÍGUEZ, UNAI",PLATGES DE CALVIA A,Suplente,Local,CONSTANCIA A,10,0,0,0,27
14,"MAGAN MITCHELL SMITH, MIGUEL",PLATGES DE CALVIA A,Suplente,Local,CONSTANCIA A,10,0,0,0,35
15,"SOLIVELLAS LLOMPART, JOAQUÍN",PLATGES DE CALVIA A,Suplente,Local,CONSTANCIA A,10,0,0,0,0
18,"PAYERO MOLINA, NICOLAS",PLATGES DE CALVIA A,Suplente,Local,CONSTANCIA A,10,0,0,0,0
13,"MIR OLMO, JORDI",CONSTANCIA A,Titular,Visitante,PLATGES DE CALVIA A,10,0,0,0,90
3,"ROMAN DE REMENTERIA, ASIER",CONSTANCIA A,Titular,Visitante,PLATGES DE CALVIA A,10,0,0,0,74
4,"CRESPI LUCENA, JUAN MIQUEL",CONSTANCIA A,Titular,Visitante,PLATGES DE CALVIA A,10,0,0,0,45
7,"MARTIN MONSALVE, IAN",CONSTANCIA A,Titular,Visitante,PLATGES DE CALVIA A,10,0,0,0,90
8,"COMPANY INGLA, JAUME",CONSTANCIA A,Titular,Visitante,PLATGES DE CALVIA A,10,0,0,0,90
9,"BALLE BRUNET, JOAN",CONSTANCIA A,Titular,Visitante,PLATGES DE CALVIA A,10,0,0,0,63
10,"CABEZAS GALLARDO, MANUEL",CONSTANCIA A,Titular,Visitante,PLATGES DE CALVIA A,10,0,0,0,45
14,"MORENO GODOY, NICOLAS",CONSTANCIA A,Titular,Visitante,PLATGES DE CALVIA A,10,0,1,0,90
15,"KOUJILI EL TALHAOUI, MAROUAN",CONSTANCIA A,Titular,Visitante,PLATGES DE CALVIA A,10,0,1,0,90
18,"PATRICIO GUAL, MARC",CONSTANCIA A,Titular,Visitante,PLATGES DE CALVIA A,10,0,0,0,90
22,"MAIRATA NOGUERA, ADRIA",CONSTANCIA A,Titular,Visitante,PLATGES DE CALVIA A,10,0,0,0,45
1,"BOVER LLOMPART, JOSEP",CONSTANCIA A,Suplente,Visitante,PLATGES DE CALVIA A,10,0,0,0,0
2,"RIBAS ROSALIA, XAVIER",CONSTANCIA A,Suplente,Visitante,PLATGES DE CALVIA A,10,0,0,0,0
5,"FONTCUBERTA GALINDO, GABRIEL",CONSTANCIA A,Suplente,Visitante,PLATGES DE CALVIA A,10,0,0,0,45
6,"BOTELLO CARMONA, PAU",CONSTANCIA A,Suplente,Visitante,PLATGES DE CALVIA A,10,0,2,0,45
11,"COLL AREVALO, JORDI",CONSTANCIA A,Suplente,Visitante,PLATGES DE CALVIA A,10,0,1,0,27
19,"GALVEZ ESPINOZA, BRAD ANTONY",CONSTANCIA A,Suplente,Visitante,PLATGES DE CALVIA A,10,0,0,0,16
23,"BLANCO WEBER, LUCA",CONSTANCIA A,Suplente,Visitante,PLATGES DE CALVIA A,10,0,1,0,45
