numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"BOUJJIA LAMRINI, AMIN",POBLENSE A,Titular,Local,FERRERIES A,10,0,0,0,90
4,"ENSEÑAT RAMIS, MIQUEL",POBLENSE A,Titular,Local,FERRERIES A,10,0,0,0,85
5,"DE LA CRUZ RIERA, JOAN MATEU",POBLENSE A,Titular,Local,FERRERIES A,10,0,0,0,90
9,"FERRER RIGO, SEBASTIÀ",POBLENSE A,Titular,Local,FERRERIES A,10,0,0,0,90
10,"CHICA COMAS, JUAN A",POBLENSE A,Titular,Local,FERRERIES A,10,1,0,0,90
12,"MEFTAH ES SALEMY, BILAL",POBLENSE A,Titular,Local,FERRERIES A,10,0,0,0,57
14,"JIMENA BELTRAN, CARLOS",POBLENSE A,Titular,Local,FERRERIES A,10,0,0,0,90
17,"FIOL JAEN, ADRIAN",POBLENSE A,Titular,Local,FERRERIES A,10,0,0,0,77
21,"VIVES COMAS, JOAN JORDI",POBLENSE A,Titular,Local,FERRERIES A,10,0,0,0,85
22,"GONZÁLEZ ONETO, ASSIER",POBLENSE A,Titular,Local,FERRERIES A,10,0,0,0,90
25,"TUR ESCALAS, TONI",POBLENSE A,Titular,Local,FERRERIES A,10,0,0,0,77
2,"GIBSON, JASPER",POBLENSE A,Suplente,Local,FERRERIES A,10,0,0,0,13
6,"AGUILERA PERELLO, ADRIÀ",POBLENSE A,Suplente,Local,FERRERIES A,10,0,0,0,5
7,"CAIMARI FIGUEROLA, JAUME",POBLENSE A,Suplente,Local,FERRERIES A,10,0,0,0,33
8,"FERNANDEZ GOMEZ, LEO",POBLENSE A,Suplente,Local,FERRERIES A,10,0,0,0,13
13,"CORDERO VILARCHAO, CHRISTIAN",POBLENSE A,Suplente,Local,FERRERIES A,10,0,0,0,0
15,"ASBAI HAMOUTI, ALI",POBLENSE A,Suplente,Local,FERRERIES A,10,0,0,0,5
18,"CAPO LATORRE, MARC",POBLENSE A,Suplente,Local,FERRERIES A,10,0,0,0,0
1,"SCHMIDT LOPEZ, JHAIRO EWELL",FERRERIES A,Titular,Visitante,POBLENSE A,10,0,0,0,90
3,"FLORIT TAJUELO, HECTOR",FERRERIES A,Titular,Visitante,POBLENSE A,10,0,0,0,90
6,"BAGUR MOYA, HUGO",FERRERIES A,Titular,Visitante,POBLENSE A,10,0,0,0,90
7,"JANER BOSCH, NOFRE",FERRERIES A,Titular,Visitante,POBLENSE A,10,0,0,0,90
9,"FEBRER VILLALONGA, ALBERT",FERRERIES A,Titular,Visitante,POBLENSE A,10,1,0,0,90
11,"CANTALAPIEDRA LOBATO, IKER",FERRERIES A,Titular,Visitante,POBLENSE A,10,1,0,0,63
14,"FAMIGLIETTI MARQUEZ, LUCA",FERRERIES A,Titular,Visitante,POBLENSE A,10,0,1,0,90
17,"PONS CARRERAS, ANGEL",FERRERIES A,Titular,Visitante,POBLENSE A,10,0,0,0,90
18,"ROTGER LÓPEZ, LLUC",FERRERIES A,Titular,Visitante,POBLENSE A,10,0,0,0,54
19,"DE LA PUERTA MARTORELL, JAUME",FERRERIES A,Titular,Visitante,POBLENSE A,10,0,1,0,54
22,"SINTES PONS, PAU",FERRERIES A,Titular,Visitante,POBLENSE A,10,0,1,0,63
10,"BOSCH PULIDO, NIL",FERRERIES A,Suplente,Visitante,POBLENSE A,10,0,0,0,36
15,"BOSCH VALDERRABANO, TONI",FERRERIES A,Suplente,Visitante,POBLENSE A,10,0,0,0,36
16,"MBAYE RUIZ, MOUHAMAD YASIN",FERRERIES A,Suplente,Visitante,POBLENSE A,10,0,0,0,27
21,"CAMPS CARETA, PERE",FERRERIES A,Suplente,Visitante,POBLENSE A,10,0,1,0,27
25,"PONS MOLL, JOSEP LLUIS",FERRERIES A,Suplente,Visitante,POBLENSE A,10,0,0,0,0
