numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"MONTES DOMINGUEZ, ALBERTO",U D IBIZA A,Titular,Local,SANTA CATALINA ATº A,10,0,0,0,90
2,"PERIAÑEZ RODRIGUEZ, DANIEL",U D IBIZA A,Titular,Local,SANTA CATALINA ATº A,10,0,0,0,90
3,"PUGLIESE, PAOLO ALBERTO",U D IBIZA A,Titular,Local,SANTA CATALINA ATº A,10,0,0,0,90
4,"RODRIGUEZ MARTOS, AARON",U D IBIZA A,Titular,Local,SANTA CATALINA ATº A,10,0,0,0,90
5,"BALBURE CARDONA, ALEX",U D IBIZA A,Titular,Local,SANTA CATALINA ATº A,10,0,0,0,90
6,"GORLA, AGUSTIN",U D IBIZA A,Titular,Local,SANTA CATALINA ATº A,10,0,0,0,90
7,"MARTOS VERGARA, DANIEL",U D IBIZA A,Titular,Local,SANTA CATALINA ATº A,10,0,0,0,90
8,"BERNASCONI, SANTINO",U D IBIZA A,Titular,Local,SANTA CATALINA ATº A,10,2,0,0,80
9,"GARCIA ALBA, JAVIER",U D IBIZA A,Titular,Local,SANTA CATALINA ATº A,10,0,0,0,45
10,"LOPEZ CAPACETE, KENAI",U D IBIZA A,Titular,Local,SANTA CATALINA ATº A,10,0,0,0,80
11,"ELIAS ARANDIA, SAMUEL ABEL",U D IBIZA A,Titular,Local,SANTA CATALINA ATº A,10,0,0,0,69
13,"AVOGADRO, TOMMASO",U D IBIZA A,Suplente,Local,SANTA CATALINA ATº A,10,0,0,0,0
12,"GONZALEZ CASURIAGA, THIAGO",U D IBIZA A,Suplente,Local,SANTA CATALINA ATº A,10,0,0,0,10
14,"MEDINA ARANDA, SERGIO",U D IBIZA A,Suplente,Local,SANTA CATALINA ATº A,10,0,0,0,0
15,"OKROGLIC SOMOZA, LUKA",U D IBIZA A,Suplente,Local,SANTA CATALINA ATº A,10,1,0,0,10
16,"BELTRAN ALVAREZ, SERGIO",U D IBIZA A,Suplente,Local,SANTA CATALINA ATº A,10,0,1,0,45
18,"RODRIGUEZ ROIG, ARIAN",U D IBIZA A,Suplente,Local,SANTA CATALINA ATº A,10,0,0,0,21
19,"TORRES RIERA, LLUC",U D IBIZA A,Suplente,Local,SANTA CATALINA ATº A,10,0,0,0,0
1,"MADROÑERO CONTRERAS, DAYRON",SANTA CATALINA ATº A,Titular,Visitante,U D IBIZA A,10,0,0,0,90
4,"FUSTER LATORRE, DANIEL",SANTA CATALINA ATº A,Titular,Visitante,U D IBIZA A,10,0,0,0,90
8,"LOPEZ FUXA, AARON",SANTA CATALINA ATº A,Titular,Visitante,U D IBIZA A,10,0,0,0,45
9,"LOMAS SERVERA, PAU",SANTA CATALINA ATº A,Titular,Visitante,U D IBIZA A,10,1,1,0,72
11,"FERNANDEZ REY, RAUL",SANTA CATALINA ATº A,Titular,Visitante,U D IBIZA A,10,1,0,0,81
12,"HASHIMOTO SEBASTIÁN, GAIZKA",SANTA CATALINA ATº A,Titular,Visitante,U D IBIZA A,10,0,0,0,90
14,"KOPACH, DANIIL",SANTA CATALINA ATº A,Titular,Visitante,U D IBIZA A,10,0,0,0,90
15,"PALAU ORDINAS, MIQUEL",SANTA CATALINA ATº A,Titular,Visitante,U D IBIZA A,10,1,0,0,90
16,"BARRIGA CATRINA, VICTOR",SANTA CATALINA ATº A,Titular,Visitante,U D IBIZA A,10,0,0,0,90
22,"ALARCON RAGO, THIAGO",SANTA CATALINA ATº A,Titular,Visitante,U D IBIZA A,10,0,1,0,60
78,"ADROVER MELIS, FRANCESC",SANTA CATALINA ATº A,Titular,Visitante,U D IBIZA A,10,0,1,0,60
13,"ROIG VEGA, MATEO",SANTA CATALINA ATº A,Suplente,Visitante,U D IBIZA A,10,0,0,0,0
2,"VICH FORTEZA, LLUC",SANTA CATALINA ATº A,Suplente,Visitante,U D IBIZA A,10,1,0,0,30
6,"GARCIAS LLABRES, MIQUEL",SANTA CATALINA ATº A,Suplente,Visitante,U D IBIZA A,10,0,0,0,30
10,"SASTRE BOTA, JAUME",SANTA CATALINA ATº A,Suplente,Visitante,U D IBIZA A,10,0,0,0,9
18,"MARTIN CABALLERO, ANGEL",SANTA CATALINA ATº A,Suplente,Visitante,U D IBIZA A,10,0,0,0,45
19,"MENDOZA SOLER, MARIO",SANTA CATALINA ATº A,Suplente,Visitante,U D IBIZA A,10,0,0,0,18
