numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
25,"CABALLERO MONTES, DAVID",FERRERIES A,Titular,Local,SP. ATº CIUTAT DE PALMA,11,0,0,0,90
3,"FLORIT TAJUELO, HECTOR",FERRERIES A,Titular,Local,SP. ATº CIUTAT DE PALMA,11,0,0,0,77
4,"AMELLER RIUDAVETS, JOSEP",FERRERIES A,Titular,Local,SP. ATº CIUTAT DE PALMA,11,0,0,0,45
5,"PULIDO COLL, IZAN",FERRERIES A,Titular,Local,SP. ATº CIUTAT DE PALMA,11,0,0,0,56
6,"BAGUR MOYA, HUGO",FERRERIES A,Titular,Local,SP. ATº CIUTAT DE PALMA,11,0,0,0,90
8,"GOMILA BOSCH, LLUÍS",FERRERIES A,Titular,Local,SP. ATº CIUTAT DE PALMA,11,0,0,0,90
9,"FEBRER VILLALONGA, ALBERT",FERRERIES A,Titular,Local,SP. ATº CIUTAT DE PALMA,11,1,0,0,90
10,"BOSCH PULIDO, NIL",FERRERIES A,Titular,Local,SP. ATº CIUTAT DE PALMA,11,0,0,0,56
13,"PONS CARRERAS, ANGEL",FERRERIES A,Titular,Local,SP. ATº CIUTAT DE PALMA,11,0,1,0,77
14,"FAMIGLIETTI MARQUEZ, LUCA",FERRERIES A,Titular,Local,SP. ATº CIUTAT DE PALMA,11,0,0,0,90
19,"DE LA PUERTA MARTORELL, JAUME",FERRERIES A,Titular,Local,SP. ATº CIUTAT DE PALMA,11,0,1,0,90
1,"SCHMIDT LOPEZ, JHAIRO EWELL",FERRERIES A,Suplente,Local,SP. ATº CIUTAT DE PALMA,11,0,0,0,0
7,"JANER BOSCH, NOFRE",FERRERIES A,Suplente,Local,SP. ATº CIUTAT DE PALMA,11,0,0,0,13
11,"CANTALAPIEDRA LOBATO, IKER",FERRERIES A,Suplente,Local,SP. ATº CIUTAT DE PALMA,11,0,0,0,34
16,"MBAYE RUIZ, MOUHAMAD YASIN",FERRERIES A,Suplente,Local,SP. ATº CIUTAT DE PALMA,11,0,0,0,34
17,"CHIMBO JAYA, BRYAN OSWALDO",FERRERIES A,Suplente,Local,SP. ATº CIUTAT DE PALMA,11,0,0,0,0
21,"CAMPS CARETA, PERE",FERRERIES A,Suplente,Local,SP. ATº CIUTAT DE PALMA,11,0,0,0,13
22,"SINTES PONS, PAU",FERRERIES A,Suplente,Local,SP. ATº CIUTAT DE PALMA,11,0,1,0,45
13,"CABELLOS CRUZ, ENRIQUE",SP. ATº CIUTAT DE PALMA,Titular,Visitante,FERRERIES A,11,0,0,0,90
2,"MUNAR LAZARO, DANIEL",SP. ATº CIUTAT DE PALMA,Titular,Visitante,FERRERIES A,11,0,0,0,90
4,"ORDOÑEZ QUETGLAS, MARC",SP. ATº CIUTAT DE PALMA,Titular,Visitante,FERRERIES A,11,0,0,0,90
7,"SANCHO OLIVER, PEDRO",SP. ATº CIUTAT DE PALMA,Titular,Visitante,FERRERIES A,11,0,0,0,90
10,"SARMIENTO CABAÑIN, GABRIEL A",SP. ATº CIUTAT DE PALMA,Titular,Visitante,FERRERIES A,11,0,0,0,90
11,"KRZYZYK SERRANO, PEDRO",SP. ATº CIUTAT DE PALMA,Titular,Visitante,FERRERIES A,11,1,0,0,80
14,"AMENGUAL LIRIO, IVAN",SP. ATº CIUTAT DE PALMA,Titular,Visitante,FERRERIES A,11,0,0,0,90
20,"BARRY DIALLO, MAMADOU ALIOU",SP. ATº CIUTAT DE PALMA,Titular,Visitante,FERRERIES A,11,0,1,1,60
21,"KRAUSSE, IGNACIO TOMAS",SP. ATº CIUTAT DE PALMA,Titular,Visitante,FERRERIES A,11,0,0,0,68
23,"GOMEZ BLANCA, AARON",SP. ATº CIUTAT DE PALMA,Titular,Visitante,FERRERIES A,11,0,1,0,60
24,"GAETE MARTINEZ, ISMAEL",SP. ATº CIUTAT DE PALMA,Titular,Visitante,FERRERIES A,11,0,0,0,60
1,"GONZALEZ VASQUEZ, LUIS JOSE",SP. ATº CIUTAT DE PALMA,Suplente,Visitante,FERRERIES A,11,0,0,0,0
3,"PUJOL FONT, JAUME",SP. ATº CIUTAT DE PALMA,Suplente,Visitante,FERRERIES A,11,0,0,0,0
6,"SANS JIMENEZ, MIQUEL ANGEL",SP. ATº CIUTAT DE PALMA,Suplente,Visitante,FERRERIES A,11,0,0,0,30
9,"ABRAHAM BOLAÑOS, ISAAC",SP. ATº CIUTAT DE PALMA,Suplente,Visitante,FERRERIES A,11,1,0,0,30
12,"BLANCO VALERO, DAVID",SP. ATº CIUTAT DE PALMA,Suplente,Visitante,FERRERIES A,11,0,0,0,10
17,"AQUINO GUTIERREZ, DAN JOEL",SP. ATº CIUTAT DE PALMA,Suplente,Visitante,FERRERIES A,11,0,0,0,22
18,"CORTES MONTANER, LUIS",SP. ATº CIUTAT DE PALMA,Suplente,Visitante,FERRERIES A,11,0,0,0,30
