numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"AZIZI BAIBOUN, OUSSAMA",PALMA F.C.,Titular,Local,MANACOR A,11,0,0,0,90
2,JOAN,PALMA F.C.,Titular,Local,MANACOR A,11,0,0,0,90
3,"VICENS VIDAL, PAU",PALMA F.C.,Titular,Local,MANACOR A,11,0,0,0,90
4,"CONDE, MAMADI",PALMA F.C.,Titular,Local,MANACOR A,11,0,0,0,90
5,"GOMEZ ACUÑA, RENSON ENRIQUE",PALMA F.C.,Titular,Local,MANACOR A,11,1,0,0,90
6,"FERRA OSPINA, CARLES JOAN",PALMA F.C.,Titular,Local,MANACOR A,11,0,0,0,90
7,"PORCEL MARTINEZ, JORDI",PALMA F.C.,Titular,Local,MANACOR A,11,0,0,0,46
8,"GIL GOMILA, XAYRON",PALMA F.C.,Titular,Local,MANACOR A,11,0,1,0,90
9,"MORELL SACRISTÁN, CARLOS",PALMA F.C.,Titular,Local,MANACOR A,11,0,0,0,46
17,"VILLALONGA GÓMEZ, IKER",PALMA F.C.,Titular,Local,MANACOR A,11,0,0,0,78
18,"SAMPOL MARTINEZ, MARC",PALMA F.C.,Titular,Local,MANACOR A,11,0,0,0,78
13,"CATRON, URIAS",PALMA F.C.,Suplente,Local,MANACOR A,11,0,0,0,0
10,"NDIR GUEYE, MOUHAMADOUL LAMIN",PALMA F.C.,Suplente,Local,MANACOR A,11,0,0,0,44
11,"FRANCO SINGEORZAN, ALEX",PALMA F.C.,Suplente,Local,MANACOR A,11,0,0,0,44
12,"ROMERO ALASSIA, LUCAS T",PALMA F.C.,Suplente,Local,MANACOR A,11,0,0,0,0
14,"ALCALDE ORTEGA, JUAN JOSÉ",PALMA F.C.,Suplente,Local,MANACOR A,11,0,0,0,0
15,"MARCANO FLORIAN, SEBASTIAN JESUS",PALMA F.C.,Suplente,Local,MANACOR A,11,0,0,0,12
16,"JIMENEZ JARAMILLO, KARLO ANDREU",PALMA F.C.,Suplente,Local,MANACOR A,11,0,0,0,12
25,"BURGUERA BONET, JULIÀ",MANACOR A,Titular,Visitante,PALMA F.C.,11,0,0,0,90
2,"LAMSIAH AJGHOUF, OSSAMA",MANACOR A,Titular,Visitante,PALMA F.C.,11,0,0,0,90
3,"DIMITROV, DIMITAR DIMITROV",MANACOR A,Titular,Visitante,PALMA F.C.,11,0,0,0,71
7,"LAKHAL ZEROUALE, SAAD",MANACOR A,Titular,Visitante,PALMA F.C.,11,0,0,0,90
8,"MARCOS MONGE, IKER",MANACOR A,Titular,Visitante,PALMA F.C.,11,0,1,0,90
11,"CORCHADO JIMENEZ, ISAAC",MANACOR A,Titular,Visitante,PALMA F.C.,11,0,2,0,90
14,"GUICHANDUT GOMILA, MARC",MANACOR A,Titular,Visitante,PALMA F.C.,11,0,0,0,90
16,"MESTRE RIBOT, PAU",MANACOR A,Titular,Visitante,PALMA F.C.,11,1,0,0,64
19,"RODRIGUEZ GALDON, DANIEL",MANACOR A,Titular,Visitante,PALMA F.C.,11,0,0,0,64
20,"ADROVER GARRIDO, GERARD",MANACOR A,Titular,Visitante,PALMA F.C.,11,0,0,0,46
22,"MONTES CARDONA, CHRISTIAN",MANACOR A,Titular,Visitante,PALMA F.C.,11,0,0,0,90
1,"RADO ASENCIO, IKER",MANACOR A,Suplente,Visitante,PALMA F.C.,11,0,1,0,0
4,"GRAHAM, NATHAN STUART",MANACOR A,Suplente,Visitante,PALMA F.C.,11,0,0,0,0
10,"POSTIGO GARAT, RAUL",MANACOR A,Suplente,Visitante,PALMA F.C.,11,0,0,0,26
12,"ORTIZ CARROZA, ABRAHAM",MANACOR A,Suplente,Visitante,PALMA F.C.,11,0,0,0,44
18,"SOLER CALDENTEY, JOEL",MANACOR A,Suplente,Visitante,PALMA F.C.,11,0,0,0,19
21,"TRIAY PETHERAM, TOMAS ISMAEL",MANACOR A,Suplente,Visitante,PALMA F.C.,11,0,0,0,26
24,"RODRIGUEZ LOPEZ, RAUL",MANACOR A,Suplente,Visitante,PALMA F.C.,11,0,0,0,0
