numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"RAMON DIAZ, HUGO",PENYA INDEPENDENT A,Titular,Local,ANDRATX A,11,0,0,0,90
3,"VIERA GONZALEZ, SANTIAGO",PENYA INDEPENDENT A,Titular,Local,ANDRATX A,11,0,1,0,90
4,"MARTINEZ JUAN, MARTIN",PENYA INDEPENDENT A,Titular,Local,ANDRATX A,11,0,0,0,84
6,"OROZCO RIERA, ASIER",PENYA INDEPENDENT A,Titular,Local,ANDRATX A,11,0,0,0,90
7,"AMASKOUT MANGAS, IMAD",PENYA INDEPENDENT A,Titular,Local,ANDRATX A,11,0,0,0,57
8,"PRATS RIPOLL, MIQUEL",PENYA INDEPENDENT A,Titular,Local,ANDRATX A,11,0,0,0,90
9,"CORDOBA TUR, MARC",PENYA INDEPENDENT A,Titular,Local,ANDRATX A,11,1,0,0,90
12,"CREUHERAS GARCIA, MATHEO",PENYA INDEPENDENT A,Titular,Local,ANDRATX A,11,0,0,0,46
15,"FAQUINETTI VERGILIO, SAMUEL",PENYA INDEPENDENT A,Titular,Local,ANDRATX A,11,0,1,0,90
18,"LLAMAS MARTINEZ, ERIC",PENYA INDEPENDENT A,Titular,Local,ANDRATX A,11,0,0,0,46
19,"LOPEZ MARI, PABLO",PENYA INDEPENDENT A,Titular,Local,ANDRATX A,11,0,0,0,70
13,"VILLAR MARI, BARTOMEU TONI",PENYA INDEPENDENT A,Suplente,Local,ANDRATX A,11,0,0,0,0
5,"GRANDA VILLAVICENCIO, DAVID JOAN",PENYA INDEPENDENT A,Suplente,Local,ANDRATX A,11,0,0,0,6
11,"FERRER ROIG, JAUME",PENYA INDEPENDENT A,Suplente,Local,ANDRATX A,11,1,0,0,44
14,"FERRER TORRES, PEDRO",PENYA INDEPENDENT A,Suplente,Local,ANDRATX A,11,0,0,0,0
16,"GHARBI KHAMMAL EL BAKKALI, NASROLLAH",PENYA INDEPENDENT A,Suplente,Local,ANDRATX A,11,0,0,0,20
17,"ODERA PACILIO, SANTIAGO",PENYA INDEPENDENT A,Suplente,Local,ANDRATX A,11,0,0,0,44
20,"BERNHARDT, JOEL PIOTR",PENYA INDEPENDENT A,Suplente,Local,ANDRATX A,11,1,0,0,33
1,"SULADZE, ALEKSANDRE",ANDRATX A,Titular,Visitante,PENYA INDEPENDENT A,11,0,0,0,90
4,"SANCHEZ JIMENEZ, FERNANDO",ANDRATX A,Titular,Visitante,PENYA INDEPENDENT A,11,0,1,0,68
6,"TUR HORRACH, HUG",ANDRATX A,Titular,Visitante,PENYA INDEPENDENT A,11,0,0,0,90
7,"LUPIAÑEZ ALEMANY, TONI",ANDRATX A,Titular,Visitante,PENYA INDEPENDENT A,11,0,1,0,90
8,"ALMERING, BEPPE",ANDRATX A,Titular,Visitante,PENYA INDEPENDENT A,11,0,0,0,60
10,"SANCHEZ RAMIREZ, JAVIER",ANDRATX A,Titular,Visitante,PENYA INDEPENDENT A,11,0,1,0,90
11,"JIMENEZ PASTOR, IKER",ANDRATX A,Titular,Visitante,PENYA INDEPENDENT A,11,0,1,0,68
12,"CASTELLO FERRA, JOAN",ANDRATX A,Titular,Visitante,PENYA INDEPENDENT A,11,0,0,0,78
15,"OPREA, ALESSIO MIHAI",ANDRATX A,Titular,Visitante,PENYA INDEPENDENT A,11,0,0,0,90
16,"ROGEL ARRIAGA, BRYAN STALIN",ANDRATX A,Titular,Visitante,PENYA INDEPENDENT A,11,0,0,0,90
18,"AMER CASTILLO, MIGUEL",ANDRATX A,Titular,Visitante,PENYA INDEPENDENT A,11,0,0,0,90
13,"HURTADO LOPEZ, IVAN",ANDRATX A,Suplente,Visitante,PENYA INDEPENDENT A,11,0,0,0,0
3,"ALARCON FERRER, ADRIAN",ANDRATX A,Suplente,Visitante,PENYA INDEPENDENT A,11,0,0,0,22
9,"VARGAS RODRIGUEZ, NICOLAS",ANDRATX A,Suplente,Visitante,PENYA INDEPENDENT A,11,0,0,0,22
17,"DOBLAS TORRES, MIGUEL",ANDRATX A,Suplente,Visitante,PENYA INDEPENDENT A,11,0,0,0,30
19,"POLINTANG ANCHETA, GIANNE LARRY",ANDRATX A,Suplente,Visitante,PENYA INDEPENDENT A,11,1,0,0,12
