numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"CRUZ SEGUI, SERGIO",PLA DE NA TESA A,Titular,Local,PLATGES DE CALVIA A,11,0,0,0,90
2,"DRAGHI, MAXIMO",PLA DE NA TESA A,Titular,Local,PLATGES DE CALVIA A,11,0,0,0,90
3,"OSEGIE AMADASUN, MARVIN ISOKEN",PLA DE NA TESA A,Titular,Local,PLATGES DE CALVIA A,11,0,0,0,90
4,"GONZALEZ OBRADOR, ENRIC",PLA DE NA TESA A,Titular,Local,PLATGES DE CALVIA A,11,0,0,0,90
5,"MARTINEZ ESPINOSA, DENIS",PLA DE NA TESA A,Titular,Local,PLATGES DE CALVIA A,11,0,0,0,90
6,"NAVARRO BEZARES, JAVIER",PLA DE NA TESA A,Titular,Local,PLATGES DE CALVIA A,11,0,0,0,90
7,"MASCARÓ SERVERA, JUAN",PLA DE NA TESA A,Titular,Local,PLATGES DE CALVIA A,11,0,0,0,62
8,"COULIBALY COULIBALY, MADANE",PLA DE NA TESA A,Titular,Local,PLATGES DE CALVIA A,11,0,0,0,62
9,"MONTALBAN ROMERO, MILO JERONIMO",PLA DE NA TESA A,Titular,Local,PLATGES DE CALVIA A,11,0,0,0,81
10,"ONCALA CARAVACA, DANIEL",PLA DE NA TESA A,Titular,Local,PLATGES DE CALVIA A,11,1,0,0,90
11,"MORA GISPERT, HUGO",PLA DE NA TESA A,Titular,Local,PLATGES DE CALVIA A,11,0,0,0,62
13,"FATY, MALANG",PLA DE NA TESA A,Suplente,Local,PLATGES DE CALVIA A,11,0,0,0,0
14,"CACERES COMAS, SERGI",PLA DE NA TESA A,Suplente,Local,PLATGES DE CALVIA A,11,0,0,0,28
15,"HOMAR PELLICER, JOEL",PLA DE NA TESA A,Suplente,Local,PLATGES DE CALVIA A,11,0,1,0,9
16,"ASAMOAH ASANTEWAA, DENIS",PLA DE NA TESA A,Suplente,Local,PLATGES DE CALVIA A,11,0,0,0,28
17,"AIT SAID TAFZATI, NABIL",PLA DE NA TESA A,Suplente,Local,PLATGES DE CALVIA A,11,0,0,0,0
18,"FERNÁNDEZ RODRÍGUEZ, IKER",PLA DE NA TESA A,Suplente,Local,PLATGES DE CALVIA A,11,0,0,0,28
19,"MESA ZAFRA, CHRISTIAN",PLA DE NA TESA A,Suplente,Local,PLATGES DE CALVIA A,11,0,0,0,0
25,"VALENZUELA BIERMAN, NOAH",PLATGES DE CALVIA A,Titular,Visitante,PLA DE NA TESA A,11,0,0,0,90
3,"ALCOLEA ESCORCIA, CARLOS",PLATGES DE CALVIA A,Titular,Visitante,PLA DE NA TESA A,11,0,0,0,90
4,"LOUNADI MUNAR, SAMUEL",PLATGES DE CALVIA A,Titular,Visitante,PLA DE NA TESA A,11,0,1,0,90
5,"GARCIA MEDRANO, MARCOS",PLATGES DE CALVIA A,Titular,Visitante,PLA DE NA TESA A,11,0,0,0,90
6,"MATAS OLIVER, PABLO",PLATGES DE CALVIA A,Titular,Visitante,PLA DE NA TESA A,11,0,0,0,90
8,"GARCÍA RODRÍGUEZ, UNAI",PLATGES DE CALVIA A,Titular,Visitante,PLA DE NA TESA A,11,0,0,0,90
9,"CASAUS SANCHEZ, JOSE IGNACIO",PLATGES DE CALVIA A,Titular,Visitante,PLA DE NA TESA A,11,0,0,0,75
10,"EXPOSITO BINNEWIES, ALEJANDRO",PLATGES DE CALVIA A,Titular,Visitante,PLA DE NA TESA A,11,0,0,0,90
11,"PARRA VIZUETE, DANIEL",PLATGES DE CALVIA A,Titular,Visitante,PLA DE NA TESA A,11,0,0,0,88
14,"MAGAN MITCHELL SMITH, MIGUEL",PLATGES DE CALVIA A,Titular,Visitante,PLA DE NA TESA A,11,0,0,0,68
21,"CABRERA FERRA, LIAM",PLATGES DE CALVIA A,Titular,Visitante,PLA DE NA TESA A,11,0,0,0,90
1,"RODRIGUEZ GUASP, JORDI",PLATGES DE CALVIA A,Suplente,Visitante,PLA DE NA TESA A,11,0,0,0,0
2,"GAYUBAS GONZALEZ, LUIS MIGUEL",PLATGES DE CALVIA A,Suplente,Visitante,PLA DE NA TESA A,11,0,0,0,0
7,"SANCHIS MARTINEZ, DAVID",PLATGES DE CALVIA A,Suplente,Visitante,PLA DE NA TESA A,11,0,0,0,22
15,"SOLIVELLAS LLOMPART, JOAQUÍN",PLATGES DE CALVIA A,Suplente,Visitante,PLA DE NA TESA A,11,0,0,0,0
18,"PAYERO MOLINA, NICOLAS",PLATGES DE CALVIA A,Suplente,Visitante,PLA DE NA TESA A,11,0,0,0,2
19,"PEREZ SILVENTE, ALEJANDRO",PLATGES DE CALVIA A,Suplente,Visitante,PLA DE NA TESA A,11,0,0,0,0
20,"PUJOL ALOMAR, TELM",PLATGES DE CALVIA A,Suplente,Visitante,PLA DE NA TESA A,11,0,0,0,15
