numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"MARTINS CORRAL, DIEGO",SAN FRANCISCO B,Titular,Local,U D IBIZA A,11,0,0,0,90
2,"GIRALDE BAUZA, JAVIER",SAN FRANCISCO B,Titular,Local,U D IBIZA A,11,0,0,0,90
3,"BORDOY LEAL, PEDRO",SAN FRANCISCO B,Titular,Local,U D IBIZA A,11,0,0,0,81
4,"BARRAGAN AGUILO, HECTOR DARIO",SAN FRANCISCO B,Titular,Local,U D IBIZA A,11,0,0,0,90
5,"LEDESMA COR, MATEU",SAN FRANCISCO B,Titular,Local,U D IBIZA A,11,0,0,0,90
6,"RIBAS MUÑOZ, SERGI",SAN FRANCISCO B,Titular,Local,U D IBIZA A,11,0,0,0,78
7,"SUÁREZ SERRA, ALEX",SAN FRANCISCO B,Titular,Local,U D IBIZA A,11,0,0,0,90
8,"LOPEZ CABRERA, JESUS",SAN FRANCISCO B,Titular,Local,U D IBIZA A,11,0,0,0,90
9,"TEJADA RODRIGUEZ, JOAN",SAN FRANCISCO B,Titular,Local,U D IBIZA A,11,0,0,0,58
10,"SALAMANCA GALERA, AITOR",SAN FRANCISCO B,Titular,Local,U D IBIZA A,11,0,0,0,78
11,"LUNEGRO, BRUNO",SAN FRANCISCO B,Titular,Local,U D IBIZA A,11,0,0,0,58
12,"ALARCON CAVERO, JOEL",SAN FRANCISCO B,Suplente,Local,U D IBIZA A,11,0,0,0,0
14,"CLADERA SOBERATS, LLORENÇ",SAN FRANCISCO B,Suplente,Local,U D IBIZA A,11,0,0,0,12
15,"LLEDO SAMPOL, ADRIA",SAN FRANCISCO B,Suplente,Local,U D IBIZA A,11,0,0,0,32
16,"SILVA SALINAS, ALEJANDRO",SAN FRANCISCO B,Suplente,Local,U D IBIZA A,11,0,0,0,9
17,"LLADÓ SASTRE, PAU",SAN FRANCISCO B,Suplente,Local,U D IBIZA A,11,0,0,0,0
18,"CONDE PEREIRA, ALEJANDRO MANUEL",SAN FRANCISCO B,Suplente,Local,U D IBIZA A,11,1,0,0,12
19,"BADJINKA NDIAYE, BUBAKAR",SAN FRANCISCO B,Suplente,Local,U D IBIZA A,11,0,0,0,32
1,"MONTES DOMINGUEZ, ALBERTO",U D IBIZA A,Titular,Visitante,SAN FRANCISCO B,11,0,0,0,46
2,"AGUILAR COSTA, MARTÍ",U D IBIZA A,Titular,Visitante,SAN FRANCISCO B,11,0,0,0,90
3,"PUGLIESE, PAOLO ALBERTO",U D IBIZA A,Titular,Visitante,SAN FRANCISCO B,11,0,0,0,90
4,"RODRIGUEZ MARTOS, AARON",U D IBIZA A,Titular,Visitante,SAN FRANCISCO B,11,0,0,0,90
5,"BALBURE CARDONA, ALEX",U D IBIZA A,Titular,Visitante,SAN FRANCISCO B,11,0,0,0,90
6,"GORLA, AGUSTIN",U D IBIZA A,Titular,Visitante,SAN FRANCISCO B,11,0,0,0,90
7,"VALLS ANIORTE, TARIKU",U D IBIZA A,Titular,Visitante,SAN FRANCISCO B,11,0,0,0,65
8,"BERNASCONI, SANTINO",U D IBIZA A,Titular,Visitante,SAN FRANCISCO B,11,0,0,0,88
9,"ELIAS ARANDIA, SAMUEL ABEL",U D IBIZA A,Titular,Visitante,SAN FRANCISCO B,11,0,0,0,60
10,"LOPEZ CAPACETE, KENAI",U D IBIZA A,Titular,Visitante,SAN FRANCISCO B,11,0,0,0,90
11,"TORRES RIERA, LLUC",U D IBIZA A,Titular,Visitante,SAN FRANCISCO B,11,0,0,0,60
12,"CUBERO GUASCH, JOAN",U D IBIZA A,Suplente,Visitante,SAN FRANCISCO B,11,0,0,0,2
13,"AVOGADRO, TOMMASO",U D IBIZA A,Suplente,Visitante,SAN FRANCISCO B,11,0,0,0,44
14,"MARTOS VERGARA, DANIEL",U D IBIZA A,Suplente,Visitante,SAN FRANCISCO B,11,0,0,0,0
15,"PERIAÑEZ RODRIGUEZ, DANIEL",U D IBIZA A,Suplente,Visitante,SAN FRANCISCO B,11,0,1,0,25
16,"MARTINEZ BERNABEU, PEDRO",U D IBIZA A,Suplente,Visitante,SAN FRANCISCO B,11,0,0,0,0
18,"RODRIGUEZ ROIG, ARIAN",U D IBIZA A,Suplente,Visitante,SAN FRANCISCO B,11,0,0,0,30
19,"GARCIA ALBA, JAVIER",U D IBIZA A,Suplente,Visitante,SAN FRANCISCO B,11,1,0,0,30
