numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
25,"ROIG VEGA, MATEO",SANTA CATALINA ATº A,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,11,0,0,0,90
4,"FUSTER LATORRE, DANIEL",SANTA CATALINA ATº A,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,11,1,0,0,90
5,"MESQUIDA BAUZA, PAU",SANTA CATALINA ATº A,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,11,0,0,0,90
6,"GARCIAS LLABRES, MIQUEL",SANTA CATALINA ATº A,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,11,0,0,0,90
7,"MARTIN CABALLERO, ANGEL",SANTA CATALINA ATº A,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,11,0,1,0,87
9,"LOMAS SERVERA, PAU",SANTA CATALINA ATº A,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,11,0,0,0,46
10,"SASTRE BOTA, JAUME",SANTA CATALINA ATº A,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,11,0,1,0,63
12,"HASHIMOTO SEBASTIÁN, GAIZKA",SANTA CATALINA ATº A,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,11,0,0,0,63
15,"PALAU ORDINAS, MIQUEL",SANTA CATALINA ATº A,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,11,0,0,0,90
18,"DEYÀ BELTRÁN, SEBASTIÀ",SANTA CATALINA ATº A,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,11,0,0,0,90
21,"EZ ZARY SAIDI, ISMAEL",SANTA CATALINA ATº A,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,11,0,0,0,46
13,"MADROÑERO CONTRERAS, DAYRON",SANTA CATALINA ATº A,Suplente,Local,PENYA CIUTADELLA ESPORTIVA A,11,0,0,0,0
2,"VICH FORTEZA, LLUC",SANTA CATALINA ATº A,Suplente,Local,PENYA CIUTADELLA ESPORTIVA A,11,1,0,0,44
3,"AOUATE OHANA, YARIN",SANTA CATALINA ATº A,Suplente,Local,PENYA CIUTADELLA ESPORTIVA A,11,0,0,0,3
8,"LOPEZ FUXA, AARON",SANTA CATALINA ATº A,Suplente,Local,PENYA CIUTADELLA ESPORTIVA A,11,1,0,0,44
11,"MASCARELL LLABRES, MARC",SANTA CATALINA ATº A,Suplente,Local,PENYA CIUTADELLA ESPORTIVA A,11,0,0,0,27
16,"BARRIGA CATRINA, VICTOR",SANTA CATALINA ATº A,Suplente,Local,PENYA CIUTADELLA ESPORTIVA A,11,0,0,0,0
22,"ALARCON RAGO, THIAGO",SANTA CATALINA ATº A,Suplente,Local,PENYA CIUTADELLA ESPORTIVA A,11,0,0,0,27
1,"GOMILA GOMILA, JOAN",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,SANTA CATALINA ATº A,11,0,0,0,90
3,"JUANEDA JUANEDA, JOSEP",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,SANTA CATALINA ATº A,11,0,0,0,64
5,"BERNAL VOIGT, YAMPEL RICHARD",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,SANTA CATALINA ATº A,11,0,0,0,90
7,"DIAZ LLABRES, ISAAC",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,SANTA CATALINA ATº A,11,0,0,0,83
8,"RUS FERNANDEZ, IGNASI",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,SANTA CATALINA ATº A,11,0,0,0,70
9,"TRIAY SASTRE, ADRIA",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,SANTA CATALINA ATº A,11,2,0,0,83
10,"PONS MOLL, FRANCESC",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,SANTA CATALINA ATº A,11,0,0,0,90
16,"PONCIANO BUESO, JOSEP",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,SANTA CATALINA ATº A,11,0,1,0,90
19,"ARGUIMBAU ALLES, MACIA",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,SANTA CATALINA ATº A,11,0,0,0,64
21,"MARQUES BAGUR, JOAN",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,SANTA CATALINA ATº A,11,0,1,0,90
22,"CAMPS SEOANE, VICTOR",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,SANTA CATALINA ATº A,11,0,0,0,90
13,"RIOJA GUILLEN, ALFONSO",PENYA CIUTADELLA ESPORTIVA A,Suplente,Visitante,SANTA CATALINA ATº A,11,0,0,0,0
2,"AGUILAR BOSCH, DAVID",PENYA CIUTADELLA ESPORTIVA A,Suplente,Visitante,SANTA CATALINA ATº A,11,0,0,0,20
4,"FEDELICH MARQUES, JAN",PENYA CIUTADELLA ESPORTIVA A,Suplente,Visitante,SANTA CATALINA ATº A,11,0,0,0,7
11,"PASCUAL GORNES, ENRIC",PENYA CIUTADELLA ESPORTIVA A,Suplente,Visitante,SANTA CATALINA ATº A,11,0,0,0,26
14,"CAPO MORA, MARC",PENYA CIUTADELLA ESPORTIVA A,Suplente,Visitante,SANTA CATALINA ATº A,11,0,0,0,7
20,"TALTAVULL VALVERDE, IAN",PENYA CIUTADELLA ESPORTIVA A,Suplente,Visitante,SANTA CATALINA ATº A,11,0,0,0,26
