numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
13,"GASCON SASTRE, IKER",UD MAHON,Titular,Local,CONSTANCIA A,11,0,0,0,90
2,"NGONG NGO, FABRICE",UD MAHON,Titular,Local,CONSTANCIA A,11,0,0,0,90
3,"ESPINOZA ARMIJOS, CARLOS ANDRES",UD MAHON,Titular,Local,CONSTANCIA A,11,0,1,0,90
4,"PEREZ MARTIN, IGNACIO",UD MAHON,Titular,Local,CONSTANCIA A,11,0,0,0,90
5,"GOMEZ SANTOS, JUAN",UD MAHON,Titular,Local,CONSTANCIA A,11,0,1,0,71
6,"DIALLO, FODE",UD MAHON,Titular,Local,CONSTANCIA A,11,0,0,0,90
7,"ELHADJ ABDOULAYE, BALDE",UD MAHON,Titular,Local,CONSTANCIA A,11,1,0,0,45
8,"GRUBAC, NOA",UD MAHON,Titular,Local,CONSTANCIA A,11,0,0,0,71
9,"LOPEZ FERNANDEZ, MARC",UD MAHON,Titular,Local,CONSTANCIA A,11,0,0,0,72
10,"DE OLIVEIRA MESSIAS, KLAYVER",UD MAHON,Titular,Local,CONSTANCIA A,11,0,0,0,59
11,"TEJEDOR MORENO, ALEJANDRO",UD MAHON,Titular,Local,CONSTANCIA A,11,0,0,0,90
1,"ORFILA QUINTANA, AARON",UD MAHON,Suplente,Local,CONSTANCIA A,11,0,0,0,0
12,"BOLIVAR PERAL, ROGER",UD MAHON,Suplente,Local,CONSTANCIA A,11,0,0,0,18
14,"AMELLER ENRICH, LLORENÇ",UD MAHON,Suplente,Local,CONSTANCIA A,11,0,0,0,19
15,"MASCARO MARTINEZ, IKER",UD MAHON,Suplente,Local,CONSTANCIA A,11,0,1,0,31
16,"LASSO VIAFARA, ANDRES FELIPE",UD MAHON,Suplente,Local,CONSTANCIA A,11,0,0,0,0
17,"DELICADO NIEWIAROWSKI, NICOLAS JAYDON",UD MAHON,Suplente,Local,CONSTANCIA A,11,0,0,0,19
18,"DE OLIVEIRA MESSIAS, EMMANUEL",UD MAHON,Suplente,Local,CONSTANCIA A,11,0,0,0,45
13,"BOVER LLOMPART, JOSEP",CONSTANCIA A,Titular,Visitante,UD MAHON,11,0,0,0,90
3,"ROMAN DE REMENTERIA, ASIER",CONSTANCIA A,Titular,Visitante,UD MAHON,11,0,0,0,90
4,"CRESPI LUCENA, JUAN MIQUEL",CONSTANCIA A,Titular,Visitante,UD MAHON,11,0,0,0,90
8,"COMPANY INGLA, JAUME",CONSTANCIA A,Titular,Visitante,UD MAHON,11,0,0,0,83
11,"COLL AREVALO, JORDI",CONSTANCIA A,Titular,Visitante,UD MAHON,11,0,0,0,60
14,"MORENO GODOY, NICOLAS",CONSTANCIA A,Titular,Visitante,UD MAHON,11,0,0,0,90
15,"KOUJILI EL TALHAOUI, MAROUAN",CONSTANCIA A,Titular,Visitante,UD MAHON,11,0,0,0,90
16,"OLIVER GELABERT, PERE",CONSTANCIA A,Titular,Visitante,UD MAHON,11,0,1,0,60
18,"PATRICIO GUAL, MARC",CONSTANCIA A,Titular,Visitante,UD MAHON,11,1,1,0,90
19,"GALVEZ ESPINOZA, BRAD ANTONY",CONSTANCIA A,Titular,Visitante,UD MAHON,11,0,0,0,75
23,"BLANCO WEBER, LUCA",CONSTANCIA A,Titular,Visitante,UD MAHON,11,1,0,0,83
1,"MIR OLMO, JORDI",CONSTANCIA A,Suplente,Visitante,UD MAHON,11,0,0,0,0
2,"RIBAS ROSALIA, XAVIER",CONSTANCIA A,Suplente,Visitante,UD MAHON,11,0,0,0,7
5,"FONTCUBERTA GALINDO, GABRIEL",CONSTANCIA A,Suplente,Visitante,UD MAHON,11,0,0,0,15
7,"MARTIN MONSALVE, IAN",CONSTANCIA A,Suplente,Visitante,UD MAHON,11,1,1,0,30
9,"BALLE BRUNET, JOAN",CONSTANCIA A,Suplente,Visitante,UD MAHON,11,1,0,0,30
10,"CABEZAS GALLARDO, MANUEL",CONSTANCIA A,Suplente,Visitante,UD MAHON,11,0,0,0,7
22,"MAIRATA NOGUERA, ADRIA",CONSTANCIA A,Suplente,Visitante,UD MAHON,11,0,0,0,0
