numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
13,"BOVER LLOMPART, JOSEP",CONSTANCIA A,Titular,Local,PLA DE NA TESA A,12,0,0,0,90
2,"RIBAS ROSALIA, XAVIER",CONSTANCIA A,Titular,Local,PLA DE NA TESA A,12,0,0,0,55
4,"CRESPI LUCENA, JUAN MIQUEL",CONSTANCIA A,Titular,Local,PLA DE NA TESA A,12,0,0,0,90
5,"FONTCUBERTA GALINDO, GABRIEL",CONSTANCIA A,Titular,Local,PLA DE NA TESA A,12,0,1,0,90
7,"MARTIN MONSALVE, IAN",CONSTANCIA A,Titular,Local,PLA DE NA TESA A,12,0,0,0,63
8,"COMPANY INGLA, JAUME",CONSTANCIA A,Titular,Local,PLA DE NA TESA A,12,0,0,0,90
9,"BALLE BRUNET, JOAN",CONSTANCIA A,Titular,Local,PLA DE NA TESA A,12,0,0,0,90
18,"PATRICIO GUAL, MARC",CONSTANCIA A,Titular,Local,PLA DE NA TESA A,12,0,0,0,90
19,"GALVEZ ESPINOZA, BRAD ANTONY",CONSTANCIA A,Titular,Local,PLA DE NA TESA A,12,1,0,0,63
22,"MAIRATA NOGUERA, ADRIA",CONSTANCIA A,Titular,Local,PLA DE NA TESA A,12,0,1,0,77
23,"BLANCO WEBER, LUCA",CONSTANCIA A,Titular,Local,PLA DE NA TESA A,12,0,0,0,77
1,"MIR OLMO, JORDI",CONSTANCIA A,Suplente,Local,PLA DE NA TESA A,12,0,0,0,0
3,"ROMAN DE REMENTERIA, ASIER",CONSTANCIA A,Suplente,Local,PLA DE NA TESA A,12,0,0,0,27
6,"BOTELLO CARMONA, PAU",CONSTANCIA A,Suplente,Local,PLA DE NA TESA A,12,0,0,0,27
10,"CABEZAS GALLARDO, MANUEL",CONSTANCIA A,Suplente,Local,PLA DE NA TESA A,12,0,0,0,13
11,"COLL AREVALO, JORDI",CONSTANCIA A,Suplente,Local,PLA DE NA TESA A,12,0,0,0,13
14,"MORENO GODOY, NICOLAS",CONSTANCIA A,Suplente,Local,PLA DE NA TESA A,12,0,0,0,35
16,"OLIVER GELABERT, PERE",CONSTANCIA A,Suplente,Local,PLA DE NA TESA A,12,0,0,0,0
13,"FATY, MALANG",PLA DE NA TESA A,Titular,Visitante,CONSTANCIA A,12,0,0,0,90
2,"MESA ZAFRA, CHRISTIAN",PLA DE NA TESA A,Titular,Visitante,CONSTANCIA A,12,0,0,0,46
3,"OSEGIE AMADASUN, MARVIN ISOKEN",PLA DE NA TESA A,Titular,Visitante,CONSTANCIA A,12,0,0,0,90
4,"GONZALEZ OBRADOR, ENRIC",PLA DE NA TESA A,Titular,Visitante,CONSTANCIA A,12,0,0,0,90
5,"MARTINEZ ESPINOSA, DENIS",PLA DE NA TESA A,Titular,Visitante,CONSTANCIA A,12,0,0,0,90
6,"NAVARRO BEZARES, JAVIER",PLA DE NA TESA A,Titular,Visitante,CONSTANCIA A,12,0,0,0,46
7,"DRAGHI, MAXIMO",PLA DE NA TESA A,Titular,Visitante,CONSTANCIA A,12,0,0,0,90
8,"COULIBALY COULIBALY, MADANE",PLA DE NA TESA A,Titular,Visitante,CONSTANCIA A,12,0,0,0,90
9,"MONTALBAN ROMERO, MILO JERONIMO",PLA DE NA TESA A,Titular,Visitante,CONSTANCIA A,12,0,0,0,83
10,"ONCALA CARAVACA, DANIEL",PLA DE NA TESA A,Titular,Visitante,CONSTANCIA A,12,0,0,0,89
11,"MASCARÓ SERVERA, JUAN",PLA DE NA TESA A,Titular,Visitante,CONSTANCIA A,12,0,0,0,59
1,"CRUZ SEGUI, SERGIO",PLA DE NA TESA A,Suplente,Visitante,CONSTANCIA A,12,0,0,0,0
14,"FERNÁNDEZ RODRÍGUEZ, IKER",PLA DE NA TESA A,Suplente,Visitante,CONSTANCIA A,12,0,0,0,44
15,"ALONSO MUNICIO, PABLO",PLA DE NA TESA A,Suplente,Visitante,CONSTANCIA A,12,0,0,0,0
16,"MORA GISPERT, HUGO",PLA DE NA TESA A,Suplente,Visitante,CONSTANCIA A,12,0,0,0,44
17,"AIT SAID TAFZATI, NABIL",PLA DE NA TESA A,Suplente,Visitante,CONSTANCIA A,12,0,0,0,7
18,"ASAMOAH ASANTEWAA, DENIS",PLA DE NA TESA A,Suplente,Visitante,CONSTANCIA A,12,0,0,0,31
19,"HOMAR PELLICER, JOEL",PLA DE NA TESA A,Suplente,Visitante,CONSTANCIA A,12,0,0,0,1
