numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
25,"BURGUERA BONET, JULIÀ",MANACOR A,Titular,Local,PENYA INDEPENDENT A,12,0,0,0,90
2,"LAMSIAH AJGHOUF, OSSAMA",MANACOR A,Titular,Local,PENYA INDEPENDENT A,12,0,0,0,90
7,"LAKHAL ZEROUALE, SAAD",MANACOR A,Titular,Local,PENYA INDEPENDENT A,12,1,0,0,90
8,"MARCOS MONGE, IKER",MANACOR A,Titular,Local,PENYA INDEPENDENT A,12,0,1,0,90
10,"POSTIGO GARAT, RAUL",MANACOR A,Titular,Local,PENYA INDEPENDENT A,12,0,0,0,73
12,"ORTIZ CARROZA, ABRAHAM",MANACOR A,Titular,Local,PENYA INDEPENDENT A,12,0,0,0,63
14,"GUICHANDUT GOMILA, MARC",MANACOR A,Titular,Local,PENYA INDEPENDENT A,12,0,1,0,90
16,"MESTRE RIBOT, PAU",MANACOR A,Titular,Local,PENYA INDEPENDENT A,12,0,0,0,63
19,"RODRIGUEZ GALDON, DANIEL",MANACOR A,Titular,Local,PENYA INDEPENDENT A,12,0,0,0,90
20,"ADROVER GARRIDO, GERARD",MANACOR A,Titular,Local,PENYA INDEPENDENT A,12,0,0,0,90
22,"MONTES CARDONA, CHRISTIAN",MANACOR A,Titular,Local,PENYA INDEPENDENT A,12,0,0,0,90
1,"RADO ASENCIO, IKER",MANACOR A,Suplente,Local,PENYA INDEPENDENT A,12,0,0,0,0
4,"GRAHAM, NATHAN STUART",MANACOR A,Suplente,Local,PENYA INDEPENDENT A,12,0,0,0,0
9,"ADROVER GARRIDO, ALBERT",MANACOR A,Suplente,Local,PENYA INDEPENDENT A,12,0,0,0,27
18,"SOLER CALDENTEY, JOEL",MANACOR A,Suplente,Local,PENYA INDEPENDENT A,12,0,0,0,17
21,"TRIAY PETHERAM, TOMAS ISMAEL",MANACOR A,Suplente,Local,PENYA INDEPENDENT A,12,0,0,0,27
23,"MARTINEZ ABELLAN, IKER",MANACOR A,Suplente,Local,PENYA INDEPENDENT A,12,0,0,0,0
24,"RODRIGUEZ LOPEZ, RAUL",MANACOR A,Suplente,Local,PENYA INDEPENDENT A,12,0,0,0,0
1,"RAMON DIAZ, HUGO",PENYA INDEPENDENT A,Titular,Visitante,MANACOR A,12,0,0,0,90
3,"VIERA GONZALEZ, SANTIAGO",PENYA INDEPENDENT A,Titular,Visitante,MANACOR A,12,0,0,0,90
4,"MARTINEZ JUAN, MARTIN",PENYA INDEPENDENT A,Titular,Visitante,MANACOR A,12,0,0,0,90
6,"OROZCO RIERA, ASIER",PENYA INDEPENDENT A,Titular,Visitante,MANACOR A,12,0,0,0,90
8,"PRATS RIPOLL, MIQUEL",PENYA INDEPENDENT A,Titular,Visitante,MANACOR A,12,0,0,0,90
9,"CORDOBA TUR, MARC",PENYA INDEPENDENT A,Titular,Visitante,MANACOR A,12,0,0,0,90
10,"GHARBI KHAMMAL EL BAKKALI, NASROLLAH",PENYA INDEPENDENT A,Titular,Visitante,MANACOR A,12,0,0,0,65
11,"FERRER ROIG, JAUME",PENYA INDEPENDENT A,Titular,Visitante,MANACOR A,12,0,0,0,89
12,"CREUHERAS GARCIA, MATHEO",PENYA INDEPENDENT A,Titular,Visitante,MANACOR A,12,0,0,0,67
15,"FAQUINETTI VERGILIO, SAMUEL",PENYA INDEPENDENT A,Titular,Visitante,MANACOR A,12,1,0,0,90
17,"ODERA PACILIO, SANTIAGO",PENYA INDEPENDENT A,Titular,Visitante,MANACOR A,12,0,0,0,90
13,"VILLAR MARI, BARTOMEU TONI",PENYA INDEPENDENT A,Suplente,Visitante,MANACOR A,12,0,0,0,0
2,"ESCANDELL RIBAS, JOAN",PENYA INDEPENDENT A,Suplente,Visitante,MANACOR A,12,0,0,0,0
5,"GRANDA VILLAVICENCIO, DAVID JOAN",PENYA INDEPENDENT A,Suplente,Visitante,MANACOR A,12,0,0,0,0
7,"ARORA, VIRAJ",PENYA INDEPENDENT A,Suplente,Visitante,MANACOR A,12,0,0,0,0
16,"FERRER TORRES, PEDRO",PENYA INDEPENDENT A,Suplente,Visitante,MANACOR A,12,0,0,0,1
19,"LLAMAS MARTINEZ, ERIC",PENYA INDEPENDENT A,Suplente,Visitante,MANACOR A,12,0,0,0,23
20,"BERNHARDT, JOEL PIOTR",PENYA INDEPENDENT A,Suplente,Visitante,MANACOR A,12,0,0,0,25
