numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"RODRIGUEZ GUASP, JORDI",PLATGES DE CALVIA A,Titular,Local,SANTA CATALINA ATº A,12,0,0,0,90
4,"LOUNADI MUNAR, SAMUEL",PLATGES DE CALVIA A,Titular,Local,SANTA CATALINA ATº A,12,0,0,0,62
5,"GARCIA MEDRANO, MARCOS",PLATGES DE CALVIA A,Titular,Local,SANTA CATALINA ATº A,12,0,1,0,90
6,"MATAS OLIVER, PABLO",PLATGES DE CALVIA A,Titular,Local,SANTA CATALINA ATº A,12,1,0,0,90
7,"SANCHIS MARTINEZ, DAVID",PLATGES DE CALVIA A,Titular,Local,SANTA CATALINA ATº A,12,0,0,0,70
8,"GARCÍA RODRÍGUEZ, UNAI",PLATGES DE CALVIA A,Titular,Local,SANTA CATALINA ATº A,12,0,0,0,90
9,"CASAUS SANCHEZ, JOSE IGNACIO",PLATGES DE CALVIA A,Titular,Local,SANTA CATALINA ATº A,12,3,0,0,90
10,"EXPOSITO BINNEWIES, ALEJANDRO",PLATGES DE CALVIA A,Titular,Local,SANTA CATALINA ATº A,12,1,0,0,70
11,"PARRA VIZUETE, DANIEL",PLATGES DE CALVIA A,Titular,Local,SANTA CATALINA ATº A,12,0,0,0,90
21,"CABRERA FERRA, LIAM",PLATGES DE CALVIA A,Titular,Local,SANTA CATALINA ATº A,12,0,0,0,90
22,"HOLLINGSWORTH, HARRY RICHARD",PLATGES DE CALVIA A,Titular,Local,SANTA CATALINA ATº A,12,0,0,0,75
25,"VALENZUELA BIERMAN, NOAH",PLATGES DE CALVIA A,Suplente,Local,SANTA CATALINA ATº A,12,0,0,0,0
2,"GAYUBAS GONZALEZ, LUIS MIGUEL",PLATGES DE CALVIA A,Suplente,Local,SANTA CATALINA ATº A,12,0,0,0,0
3,"ALCOLEA ESCORCIA, CARLOS",PLATGES DE CALVIA A,Suplente,Local,SANTA CATALINA ATº A,12,0,0,0,0
14,"PEREZ SILVENTE, ALEJANDRO",PLATGES DE CALVIA A,Suplente,Local,SANTA CATALINA ATº A,12,0,0,0,20
15,"SOLIVELLAS LLOMPART, JOAQUÍN",PLATGES DE CALVIA A,Suplente,Local,SANTA CATALINA ATº A,12,0,0,0,28
18,"PAYERO MOLINA, NICOLAS",PLATGES DE CALVIA A,Suplente,Local,SANTA CATALINA ATº A,12,0,0,0,15
20,"PUJOL ALOMAR, TELM",PLATGES DE CALVIA A,Suplente,Local,SANTA CATALINA ATº A,12,0,0,0,20
1,"MADROÑERO CONTRERAS, DAYRON",SANTA CATALINA ATº A,Titular,Visitante,PLATGES DE CALVIA A,12,0,0,0,90
2,"VICH FORTEZA, LLUC",SANTA CATALINA ATº A,Titular,Visitante,PLATGES DE CALVIA A,12,0,1,0,55
4,"FUSTER LATORRE, DANIEL",SANTA CATALINA ATº A,Titular,Visitante,PLATGES DE CALVIA A,12,0,0,0,90
5,"MESQUIDA BAUZA, PAU",SANTA CATALINA ATº A,Titular,Visitante,PLATGES DE CALVIA A,12,0,0,0,90
6,"GARCIAS LLABRES, MIQUEL",SANTA CATALINA ATº A,Titular,Visitante,PLATGES DE CALVIA A,12,0,0,0,90
7,"ADROVER MELIS, FRANCESC",SANTA CATALINA ATº A,Titular,Visitante,PLATGES DE CALVIA A,12,0,0,0,62
8,"LOPEZ FUXA, AARON",SANTA CATALINA ATº A,Titular,Visitante,PLATGES DE CALVIA A,12,0,0,0,90
10,"SASTRE BOTA, JAUME",SANTA CATALINA ATº A,Titular,Visitante,PLATGES DE CALVIA A,12,0,0,0,46
14,"KOPACH, DANIIL",SANTA CATALINA ATº A,Titular,Visitante,PLATGES DE CALVIA A,12,0,1,0,90
16,"BARRIGA CATRINA, VICTOR",SANTA CATALINA ATº A,Titular,Visitante,PLATGES DE CALVIA A,12,0,1,0,62
17,"MARTIN CABALLERO, ANGEL",SANTA CATALINA ATº A,Titular,Visitante,PLATGES DE CALVIA A,12,0,0,0,46
13,"ROIG VEGA, MATEO",SANTA CATALINA ATº A,Suplente,Visitante,PLATGES DE CALVIA A,12,0,0,0,0
9,"MENDOZA SOLER, MARIO",SANTA CATALINA ATº A,Suplente,Visitante,PLATGES DE CALVIA A,12,0,0,0,44
11,"MASCARELL LLABRES, MARC",SANTA CATALINA ATº A,Suplente,Visitante,PLATGES DE CALVIA A,12,0,0,0,35
12,"HASHIMOTO SEBASTIÁN, GAIZKA",SANTA CATALINA ATº A,Suplente,Visitante,PLATGES DE CALVIA A,12,0,0,0,28
18,"DEYÀ BELTRÁN, SEBASTIÀ",SANTA CATALINA ATº A,Suplente,Visitante,PLATGES DE CALVIA A,12,0,0,0,44
19,"EZ ZARY SAIDI, ISMAEL",SANTA CATALINA ATº A,Suplente,Visitante,PLATGES DE CALVIA A,12,0,0,0,0
23,"PALAU ORDINAS, MIQUEL",SANTA CATALINA ATº A,Suplente,Visitante,PLATGES DE CALVIA A,12,0,0,0,28
