numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"OLIVER RAMIS, PEP",POBLENSE A,Titular,Local,SD LA SALLE A,12,0,0,0,90
4,"ENSEÑAT RAMIS, MIQUEL",POBLENSE A,Titular,Local,SD LA SALLE A,12,0,1,0,90
5,"DE LA CRUZ RIERA, JOAN MATEU",POBLENSE A,Titular,Local,SD LA SALLE A,12,0,0,0,90
6,"AGUILERA PERELLO, ADRIÀ",POBLENSE A,Titular,Local,SD LA SALLE A,12,0,1,0,63
7,"CAIMARI FIGUEROLA, JAUME",POBLENSE A,Titular,Local,SD LA SALLE A,12,0,0,0,83
9,"FERRER RIGO, SEBASTIÀ",POBLENSE A,Titular,Local,SD LA SALLE A,12,0,1,0,63
10,"CHICA COMAS, JUAN A",POBLENSE A,Titular,Local,SD LA SALLE A,12,0,0,1,90
11,"RETTICH SOLER, JOSEP",POBLENSE A,Titular,Local,SD LA SALLE A,12,2,0,0,90
18,"MORAGUES MORAGUES, JOAN",POBLENSE A,Titular,Local,SD LA SALLE A,12,0,0,0,63
20,"FERNANDEZ HEREDIA, ALEJANDRO",POBLENSE A,Titular,Local,SD LA SALLE A,12,0,1,0,90
23,"RIERA MARTÍNEZ, FERRAN",POBLENSE A,Titular,Local,SD LA SALLE A,12,0,0,0,90
2,"GIBSON, JASPER",POBLENSE A,Suplente,Local,SD LA SALLE A,12,0,0,0,0
3,"MENDEZ DUARTE, IVAN",POBLENSE A,Suplente,Local,SD LA SALLE A,12,0,0,0,0
8,"THIAM BORRAS, KARIM",POBLENSE A,Suplente,Local,SD LA SALLE A,12,0,0,0,27
13,"MUÑOZ SANTOS, DAVID",POBLENSE A,Suplente,Local,SD LA SALLE A,12,0,0,0,0
14,"JIMENA BELTRAN, CARLOS",POBLENSE A,Suplente,Local,SD LA SALLE A,12,0,0,0,27
21,"VIVES COMAS, JOAN JORDI",POBLENSE A,Suplente,Local,SD LA SALLE A,12,0,0,0,7
25,"TUR ESCALAS, TONI",POBLENSE A,Suplente,Local,SD LA SALLE A,12,0,0,0,27
1,"FONTANET REUS, TOMAS",SD LA SALLE A,Titular,Visitante,POBLENSE A,12,0,0,0,90
2,"PANEQUE PÉREZ, JOEL",SD LA SALLE A,Titular,Visitante,POBLENSE A,12,0,1,0,56
3,"GARCÍA GARCÍA, ÁLVARO",SD LA SALLE A,Titular,Visitante,POBLENSE A,12,0,0,0,90
4,"VIZCAINO SEGURA, ALAN",SD LA SALLE A,Titular,Visitante,POBLENSE A,12,0,1,0,90
6,"ESCUERO PARDOS, MARTI",SD LA SALLE A,Titular,Visitante,POBLENSE A,12,0,0,0,56
7,"ARBOS DENGRA, DIEGO",SD LA SALLE A,Titular,Visitante,POBLENSE A,12,0,0,0,90
8,"CORTES BOIXO, ALEIX",SD LA SALLE A,Titular,Visitante,POBLENSE A,12,0,0,0,90
9,"TORRALBA TANUGGI, LUIS",SD LA SALLE A,Titular,Visitante,POBLENSE A,12,0,0,0,90
10,"SALMERON SEGURA, JONATHAN",SD LA SALLE A,Titular,Visitante,POBLENSE A,12,0,0,0,63
11,"RODRIGUEZ MONGELOS, GAEL PAU",SD LA SALLE A,Titular,Visitante,POBLENSE A,12,0,0,0,56
20,"VIVARES ARANDA, YANNICK",SD LA SALLE A,Titular,Visitante,POBLENSE A,12,0,0,0,67
5,"MARTI RODRIGUEZ, IVAN",SD LA SALLE A,Suplente,Visitante,POBLENSE A,12,1,0,0,23
12,"SANCHEZ LAFUENTE, ARITZ",SD LA SALLE A,Suplente,Visitante,POBLENSE A,12,0,0,0,0
13,"SILVA GIORGIO, AGUSTIN",SD LA SALLE A,Suplente,Visitante,POBLENSE A,12,0,0,0,0
14,"MOYA PEDREGOSA, ALEJANDRO",SD LA SALLE A,Suplente,Visitante,POBLENSE A,12,0,0,0,34
15,"AMAYA MALENO, FRANCISCO",SD LA SALLE A,Suplente,Visitante,POBLENSE A,12,0,0,0,34
16,"PETRARCA, ELIA",SD LA SALLE A,Suplente,Visitante,POBLENSE A,12,0,0,0,34
17,"FERNANDEZ CABRERA, DAVID",SD LA SALLE A,Suplente,Visitante,POBLENSE A,12,0,0,0,27
