numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
13,"CABELLOS CRUZ, ENRIQUE",SP. ATº CIUTAT DE PALMA,Titular,Local,PENYA ARRABAL A,12,0,0,0,90
2,"MUNAR LAZARO, DANIEL",SP. ATº CIUTAT DE PALMA,Titular,Local,PENYA ARRABAL A,12,0,1,0,91
4,"ORDOÑEZ QUETGLAS, MARC",SP. ATº CIUTAT DE PALMA,Titular,Local,PENYA ARRABAL A,12,0,0,0,90
6,"SANS JIMENEZ, MIQUEL ANGEL",SP. ATº CIUTAT DE PALMA,Titular,Local,PENYA ARRABAL A,12,0,0,0,90
7,"SANCHO OLIVER, PEDRO",SP. ATº CIUTAT DE PALMA,Titular,Local,PENYA ARRABAL A,12,1,0,0,90
10,"SARMIENTO CABAÑIN, GABRIEL A",SP. ATº CIUTAT DE PALMA,Titular,Local,PENYA ARRABAL A,12,0,0,0,91
11,"KRZYZYK SERRANO, PEDRO",SP. ATº CIUTAT DE PALMA,Titular,Local,PENYA ARRABAL A,12,0,0,0,58
14,"AMENGUAL LIRIO, IVAN",SP. ATº CIUTAT DE PALMA,Titular,Local,PENYA ARRABAL A,12,0,0,0,90
18,"CORTES MONTANER, LUIS",SP. ATº CIUTAT DE PALMA,Titular,Local,PENYA ARRABAL A,12,0,1,0,90
21,"KRAUSSE, IGNACIO TOMAS",SP. ATº CIUTAT DE PALMA,Titular,Local,PENYA ARRABAL A,12,0,0,0,58
23,"GOMEZ BLANCA, AARON",SP. ATº CIUTAT DE PALMA,Titular,Local,PENYA ARRABAL A,12,0,0,0,80
1,"GONZALEZ VASQUEZ, LUIS JOSE",SP. ATº CIUTAT DE PALMA,Suplente,Local,PENYA ARRABAL A,12,0,0,0,0
8,"FERNÁNDEZ CASSO, ALBERTO",SP. ATº CIUTAT DE PALMA,Suplente,Local,PENYA ARRABAL A,12,0,0,0,10
9,"ABRAHAM BOLAÑOS, ISAAC",SP. ATº CIUTAT DE PALMA,Suplente,Local,PENYA ARRABAL A,12,0,0,0,32
12,"BLANCO VALERO, DAVID",SP. ATº CIUTAT DE PALMA,Suplente,Local,PENYA ARRABAL A,12,0,0,0,-1
17,"AQUINO GUTIERREZ, DAN JOEL",SP. ATº CIUTAT DE PALMA,Suplente,Local,PENYA ARRABAL A,12,0,0,0,-1
24,"GAETE MARTINEZ, ISMAEL",SP. ATº CIUTAT DE PALMA,Suplente,Local,PENYA ARRABAL A,12,0,0,0,0
29,"KEITA SIDIBE, MADY",SP. ATº CIUTAT DE PALMA,Suplente,Local,PENYA ARRABAL A,12,0,0,0,32
1,"MUÑOZ CAMPOY, IVAN",PENYA ARRABAL A,Titular,Visitante,SP. ATº CIUTAT DE PALMA,12,0,0,0,90
3,"PASCUAL RIERA, MIGUEL ANGEL",PENYA ARRABAL A,Titular,Visitante,SP. ATº CIUTAT DE PALMA,12,0,1,0,90
4,"PONS SERRANO, ALEIX",PENYA ARRABAL A,Titular,Visitante,SP. ATº CIUTAT DE PALMA,12,0,0,0,90
6,"MUÑOZ BAIXAULI, JUAN",PENYA ARRABAL A,Titular,Visitante,SP. ATº CIUTAT DE PALMA,12,0,1,0,56
7,"CASTAÑER PECELLIN, RAFAEL",PENYA ARRABAL A,Titular,Visitante,SP. ATº CIUTAT DE PALMA,12,0,0,0,64
8,"GARCIA HERNANDEZ, JOSE RAMON",PENYA ARRABAL A,Titular,Visitante,SP. ATº CIUTAT DE PALMA,12,0,1,0,90
10,"CRESPI BARRERA, LEONARDO",PENYA ARRABAL A,Titular,Visitante,SP. ATº CIUTAT DE PALMA,12,0,1,0,80
11,"VAZQUEZ SUAREZ, HUGO",PENYA ARRABAL A,Titular,Visitante,SP. ATº CIUTAT DE PALMA,12,0,0,0,64
12,"SEGUI ESTEBAN, IAN",PENYA ARRABAL A,Titular,Visitante,SP. ATº CIUTAT DE PALMA,12,1,0,0,64
14,"MAS MAIMO, JOSEP",PENYA ARRABAL A,Titular,Visitante,SP. ATº CIUTAT DE PALMA,12,0,0,0,90
18,"FIOL ACEITUNO, MIQUEL",PENYA ARRABAL A,Titular,Visitante,SP. ATº CIUTAT DE PALMA,12,0,0,0,90
2,"ROTTLANDER, LENNOX MARKUS",PENYA ARRABAL A,Suplente,Visitante,SP. ATº CIUTAT DE PALMA,12,0,0,0,0
5,"VALLESPIR TIMONER, PERE MARC",PENYA ARRABAL A,Suplente,Visitante,SP. ATº CIUTAT DE PALMA,12,0,0,0,34
9,"LEBRERO BENITEZ, HUGO",PENYA ARRABAL A,Suplente,Visitante,SP. ATº CIUTAT DE PALMA,12,0,0,0,26
13,"REINSHAGEN, EMANUEL",PENYA ARRABAL A,Suplente,Visitante,SP. ATº CIUTAT DE PALMA,12,0,0,0,0
15,"HERRERA IGLESIAS, ADRIAN",PENYA ARRABAL A,Suplente,Visitante,SP. ATº CIUTAT DE PALMA,12,0,0,0,26
16,"MORENO PUJOL, JAVIER",PENYA ARRABAL A,Suplente,Visitante,SP. ATº CIUTAT DE PALMA,12,0,0,0,10
17,"ARIAS BESTARD, ENZO",PENYA ARRABAL A,Suplente,Visitante,SP. ATº CIUTAT DE PALMA,12,0,0,0,26
