numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"MONTES DOMINGUEZ, ALBERTO",U D IBIZA A,Titular,Local,PALMA F.C.,12,0,0,0,90
2,"AGUILAR COSTA, MARTÍ",U D IBIZA A,Titular,Local,PALMA F.C.,12,0,0,0,90
3,"MARTOS VERGARA, DANIEL",U D IBIZA A,Titular,Local,PALMA F.C.,12,0,0,0,70
4,"RODRIGUEZ MARTOS, AARON",U D IBIZA A,Titular,Local,PALMA F.C.,12,0,1,0,90
5,"BALBURE CARDONA, ALEX",U D IBIZA A,Titular,Local,PALMA F.C.,12,0,0,0,90
6,"GORLA, AGUSTIN",U D IBIZA A,Titular,Local,PALMA F.C.,12,0,0,0,80
8,"PERIAÑEZ RODRIGUEZ, DANIEL",U D IBIZA A,Titular,Local,PALMA F.C.,12,0,0,0,70
9,"GARCIA ALBA, JAVIER",U D IBIZA A,Titular,Local,PALMA F.C.,12,0,0,0,43
10,"BERNASCONI, SANTINO",U D IBIZA A,Titular,Local,PALMA F.C.,12,0,0,0,90
11,"PUGLIESE, PAOLO ALBERTO",U D IBIZA A,Titular,Local,PALMA F.C.,12,2,0,0,90
20,"ELIAS ARANDIA, SAMUEL ABEL",U D IBIZA A,Titular,Local,PALMA F.C.,12,0,0,0,80
13,"AVOGADRO, TOMMASO",U D IBIZA A,Suplente,Local,PALMA F.C.,12,0,0,0,0
12,"CUBERO GUASCH, JOAN",U D IBIZA A,Suplente,Local,PALMA F.C.,12,0,0,0,20
14,"GONZALEZ CASURIAGA, THIAGO",U D IBIZA A,Suplente,Local,PALMA F.C.,12,0,0,0,10
15,"TORRES RIERA, LLUC",U D IBIZA A,Suplente,Local,PALMA F.C.,12,1,0,0,20
16,"MARTIN LOPEZ, IKER",U D IBIZA A,Suplente,Local,PALMA F.C.,12,0,0,0,10
18,"BONED GARCIA, ADRIÁ",U D IBIZA A,Suplente,Local,PALMA F.C.,12,0,0,0,0
19,"RODRIGUEZ ROIG, ARIAN",U D IBIZA A,Suplente,Local,PALMA F.C.,12,0,0,0,47
1,"CATRON, URIAS",PALMA F.C.,Titular,Visitante,U D IBIZA A,12,0,1,0,90
2,JOAN,PALMA F.C.,Titular,Visitante,U D IBIZA A,12,0,0,0,90
3,"VICENS VIDAL, PAU",PALMA F.C.,Titular,Visitante,U D IBIZA A,12,0,1,0,59
4,"CONDE, MAMADI",PALMA F.C.,Titular,Visitante,U D IBIZA A,12,0,0,0,74
5,"GOMEZ ACUÑA, RENSON ENRIQUE",PALMA F.C.,Titular,Visitante,U D IBIZA A,12,0,1,0,90
6,"FERRA OSPINA, CARLES JOAN",PALMA F.C.,Titular,Visitante,U D IBIZA A,12,0,1,0,90
8,"GIL GOMILA, XAYRON",PALMA F.C.,Titular,Visitante,U D IBIZA A,12,0,0,0,90
10,"NDIR GUEYE, MOUHAMADOUL LAMIN",PALMA F.C.,Titular,Visitante,U D IBIZA A,12,0,0,0,90
11,"FRANCO SINGEORZAN, ALEX",PALMA F.C.,Titular,Visitante,U D IBIZA A,12,0,0,0,70
17,"VILLALONGA GÓMEZ, IKER",PALMA F.C.,Titular,Visitante,U D IBIZA A,12,0,1,0,70
18,"SAMPOL MARTINEZ, MARC",PALMA F.C.,Titular,Visitante,U D IBIZA A,12,0,0,0,59
13,"AZIZI BAIBOUN, OUSSAMA",PALMA F.C.,Suplente,Visitante,U D IBIZA A,12,0,0,0,0
7,"PORCEL MARTINEZ, JORDI",PALMA F.C.,Suplente,Visitante,U D IBIZA A,12,0,0,0,0
9,"FOLGADO GARNICA, PAULO",PALMA F.C.,Suplente,Visitante,U D IBIZA A,12,0,0,0,20
12,"ROMERO ALASSIA, LUCAS T",PALMA F.C.,Suplente,Visitante,U D IBIZA A,12,0,0,0,31
14,"ALCALDE ORTEGA, JUAN JOSÉ",PALMA F.C.,Suplente,Visitante,U D IBIZA A,12,0,0,0,16
15,"ALLENDES SEPULVEDA, MARTIN ALONSO",PALMA F.C.,Suplente,Visitante,U D IBIZA A,12,0,0,0,31
16,"JIMENEZ JARAMILLO, KARLO ANDREU",PALMA F.C.,Suplente,Visitante,U D IBIZA A,12,0,0,0,20
