numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"AZIZI BAIBOUN, OUSSAMA",PALMA F.C.,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,13,0,0,0,90
2,JOAN,PALMA F.C.,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,13,0,0,0,68
4,"CONDE, MAMADI",PALMA F.C.,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,13,0,0,0,80
5,"GOMEZ ACUÑA, RENSON ENRIQUE",PALMA F.C.,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,13,1,0,0,90
6,"FERRA OSPINA, CARLES JOAN",PALMA F.C.,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,13,0,0,0,90
8,"GIL GOMILA, XAYRON",PALMA F.C.,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,13,1,0,0,68
9,"FERNANDEZ SANTANA, VICTOR",PALMA F.C.,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,13,0,0,0,90
11,"FRANCO SINGEORZAN, ALEX",PALMA F.C.,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,13,0,0,0,90
15,"PELLEGRINO, NICOLA EMANUELE",PALMA F.C.,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,13,0,0,0,90
17,"VILLALONGA GÓMEZ, IKER",PALMA F.C.,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,13,0,0,0,80
18,"JIMENEZ JARAMILLO, KARLO ANDREU",PALMA F.C.,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,13,0,0,0,57
3,"VICENS VIDAL, PAU",PALMA F.C.,Suplente,Local,PENYA CIUTADELLA ESPORTIVA A,13,0,0,0,10
7,"PORCEL MARTINEZ, JORDI",PALMA F.C.,Suplente,Local,PENYA CIUTADELLA ESPORTIVA A,13,0,0,0,22
10,"NDIR GUEYE, MOUHAMADOUL LAMIN",PALMA F.C.,Suplente,Local,PENYA CIUTADELLA ESPORTIVA A,13,0,0,0,33
12,"MARCANO FLORIAN, SEBASTIAN JESUS",PALMA F.C.,Suplente,Local,PENYA CIUTADELLA ESPORTIVA A,13,0,0,0,0
13,"CATRON, URIAS",PALMA F.C.,Suplente,Local,PENYA CIUTADELLA ESPORTIVA A,13,0,0,0,0
14,"ALCALDE ORTEGA, JUAN JOSÉ",PALMA F.C.,Suplente,Local,PENYA CIUTADELLA ESPORTIVA A,13,0,0,0,22
16,"ALLENDES SEPULVEDA, MARTIN ALONSO",PALMA F.C.,Suplente,Local,PENYA CIUTADELLA ESPORTIVA A,13,0,0,0,10
1,"GOMILA GOMILA, JOAN",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,PALMA F.C.,13,0,0,0,90
2,"AGUILAR BOSCH, DAVID",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,PALMA F.C.,13,0,0,0,84
5,"BERNAL VOIGT, YAMPEL RICHARD",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,PALMA F.C.,13,0,0,0,90
7,"DIAZ LLABRES, ISAAC",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,PALMA F.C.,13,0,1,0,90
9,"TRIAY SASTRE, ADRIA",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,PALMA F.C.,13,1,0,0,90
10,"PONS MOLL, FRANCESC",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,PALMA F.C.,13,0,0,0,80
15,"MOLL PONS, ROBERTO",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,PALMA F.C.,13,2,0,0,80
16,"PONCIANO BUESO, JOSEP",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,PALMA F.C.,13,0,1,0,90
18,"LOPEZ GONZALEZ, ALEJANDRO",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,PALMA F.C.,13,0,0,0,62
21,"MARQUES BAGUR, JOAN",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,PALMA F.C.,13,0,0,0,90
22,"CAMPS SEOANE, VICTOR",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,PALMA F.C.,13,0,1,0,90
3,"JUANEDA JUANEDA, JOSEP",PENYA CIUTADELLA ESPORTIVA A,Suplente,Visitante,PALMA F.C.,13,0,0,0,10
8,"RUS FERNANDEZ, IGNASI",PENYA CIUTADELLA ESPORTIVA A,Suplente,Visitante,PALMA F.C.,13,0,0,0,28
13,"RIOJA GUILLEN, ALFONSO",PENYA CIUTADELLA ESPORTIVA A,Suplente,Visitante,PALMA F.C.,13,0,0,0,0
14,"CAPO MORA, MARC",PENYA CIUTADELLA ESPORTIVA A,Suplente,Visitante,PALMA F.C.,13,0,0,0,0
17,"PASCUAL GORNES, ENRIC",PENYA CIUTADELLA ESPORTIVA A,Suplente,Visitante,PALMA F.C.,13,0,0,0,10
20,"TALTAVULL VALVERDE, IAN",PENYA CIUTADELLA ESPORTIVA A,Suplente,Visitante,PALMA F.C.,13,0,0,0,6
