numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"MUÑOZ CAMPOY, IVAN",PENYA ARRABAL A,Titular,Local,ANDRATX A,13,0,0,0,90
2,"ROTTLANDER, LENNOX MARKUS",PENYA ARRABAL A,Titular,Local,ANDRATX A,13,0,0,0,75
3,"RIUTORT GONZALEZ, JUAN FRANCISCO",PENYA ARRABAL A,Titular,Local,ANDRATX A,13,0,1,0,90
9,"SEGUI ESTEBAN, IAN",PENYA ARRABAL A,Titular,Local,ANDRATX A,13,1,1,0,90
10,"CRESPI BARRERA, LEONARDO",PENYA ARRABAL A,Titular,Local,ANDRATX A,13,0,0,0,90
11,"VAZQUEZ SUAREZ, HUGO",PENYA ARRABAL A,Titular,Local,ANDRATX A,13,0,0,0,59
14,"MAS MAIMO, JOSEP",PENYA ARRABAL A,Titular,Local,ANDRATX A,13,0,1,0,45
15,"HERRERA IGLESIAS, ADRIAN",PENYA ARRABAL A,Titular,Local,ANDRATX A,13,0,0,0,82
16,"VALLESPIR TIMONER, PERE MARC",PENYA ARRABAL A,Titular,Local,ANDRATX A,13,0,1,0,45
20,"PASCUAL RIERA, MIGUEL ANGEL",PENYA ARRABAL A,Titular,Local,ANDRATX A,13,0,0,0,90
22,"PONS SERRANO, ALEIX",PENYA ARRABAL A,Titular,Local,ANDRATX A,13,0,0,0,90
5,"BELFAQUIH ZBAT, ANUAR",PENYA ARRABAL A,Suplente,Local,ANDRATX A,13,0,1,0,45
6,"MUÑOZ BAIXAULI, JUAN",PENYA ARRABAL A,Suplente,Local,ANDRATX A,13,0,0,0,0
7,"ARALUCE SERRA, ADRIAN",PENYA ARRABAL A,Suplente,Local,ANDRATX A,13,0,0,0,8
8,"GARCIA HERNANDEZ, JOSE RAMON",PENYA ARRABAL A,Suplente,Local,ANDRATX A,13,0,0,0,45
13,"MANOLACHE POCOVI, DANIEL",PENYA ARRABAL A,Suplente,Local,ANDRATX A,13,0,0,0,0
18,"FIOL ACEITUNO, MIQUEL",PENYA ARRABAL A,Suplente,Local,ANDRATX A,13,0,0,0,15
19,"CASTAÑER PECELLIN, RAFAEL",PENYA ARRABAL A,Suplente,Local,ANDRATX A,13,0,1,0,31
25,"HURTADO LOPEZ, IVAN",ANDRATX A,Titular,Visitante,PENYA ARRABAL A,13,0,1,0,90
2,"PATRICIO TORRRENS, JUAN",ANDRATX A,Titular,Visitante,PENYA ARRABAL A,13,0,0,0,90
6,"TUR HORRACH, HUG",ANDRATX A,Titular,Visitante,PENYA ARRABAL A,13,1,0,0,90
7,"LUPIAÑEZ ALEMANY, TONI",ANDRATX A,Titular,Visitante,PENYA ARRABAL A,13,0,0,0,90
8,"ALMERING, BEPPE",ANDRATX A,Titular,Visitante,PENYA ARRABAL A,13,1,0,0,90
9,"VARGAS RODRIGUEZ, NICOLAS",ANDRATX A,Titular,Visitante,PENYA ARRABAL A,13,0,1,0,84
10,"SANCHEZ RAMIREZ, JAVIER",ANDRATX A,Titular,Visitante,PENYA ARRABAL A,13,0,0,0,90
15,"OPREA, ALESSIO MIHAI",ANDRATX A,Titular,Visitante,PENYA ARRABAL A,13,0,0,0,90
16,"ROGEL ARRIAGA, BRYAN STALIN",ANDRATX A,Titular,Visitante,PENYA ARRABAL A,13,0,0,0,84
18,"AMER CASTILLO, MIGUEL",ANDRATX A,Titular,Visitante,PENYA ARRABAL A,13,0,0,0,90
22,"HOMAR GARCIA, ROMAN",ANDRATX A,Titular,Visitante,PENYA ARRABAL A,13,0,0,0,70
3,"ALARCON FERRER, ADRIAN",ANDRATX A,Suplente,Visitante,PENYA ARRABAL A,13,0,0,0,6
4,"SANCHEZ JIMENEZ, FERNANDO",ANDRATX A,Suplente,Visitante,PENYA ARRABAL A,13,0,0,0,0
11,"JIMENEZ PASTOR, IKER",ANDRATX A,Suplente,Visitante,PENYA ARRABAL A,13,0,0,0,20
12,"CASTELLO FERRA, JOAN",ANDRATX A,Suplente,Visitante,PENYA ARRABAL A,13,0,0,0,6
13,"FERREIRA MENDEZ, RAFAEL",ANDRATX A,Suplente,Visitante,PENYA ARRABAL A,13,0,0,0,0
17,"DOBLAS TORRES, MIGUEL",ANDRATX A,Suplente,Visitante,PENYA ARRABAL A,13,0,0,0,0
20,"BRIOSO SERRANO, EMILIO JOSÉ",ANDRATX A,Suplente,Visitante,PENYA ARRABAL A,13,0,0,0,0
