numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"RAMON DIAZ, HUGO",PENYA INDEPENDENT A,Titular,Local,U D IBIZA A,13,0,0,0,90
3,"VIERA GONZALEZ, SANTIAGO",PENYA INDEPENDENT A,Titular,Local,U D IBIZA A,13,0,0,0,90
4,"MARTINEZ JUAN, MARTIN",PENYA INDEPENDENT A,Titular,Local,U D IBIZA A,13,0,1,0,90
5,"GHARBI KHAMMAL EL BAKKALI, NASROLLAH",PENYA INDEPENDENT A,Titular,Local,U D IBIZA A,13,0,0,0,45
6,"OROZCO RIERA, ASIER",PENYA INDEPENDENT A,Titular,Local,U D IBIZA A,13,0,0,0,63
8,"PRATS RIPOLL, MIQUEL",PENYA INDEPENDENT A,Titular,Local,U D IBIZA A,13,0,0,0,80
9,"CORDOBA TUR, MARC",PENYA INDEPENDENT A,Titular,Local,U D IBIZA A,13,0,2,0,90
11,"FERRER ROIG, JAUME",PENYA INDEPENDENT A,Titular,Local,U D IBIZA A,13,0,0,0,45
15,"FAQUINETTI VERGILIO, SAMUEL",PENYA INDEPENDENT A,Titular,Local,U D IBIZA A,13,0,0,0,90
17,"ODERA PACILIO, SANTIAGO",PENYA INDEPENDENT A,Titular,Local,U D IBIZA A,13,0,0,0,90
19,"LOPEZ MARI, PABLO",PENYA INDEPENDENT A,Titular,Local,U D IBIZA A,13,0,0,0,63
13,"VILLAR MARI, BARTOMEU TONI",PENYA INDEPENDENT A,Suplente,Local,U D IBIZA A,13,0,0,0,0
2,"MARTINEZ GARCIA, ENRIQUE",PENYA INDEPENDENT A,Suplente,Local,U D IBIZA A,13,0,0,0,0
10,"EL HABBOULA EL KORTOBI, ABDELMOIZE",PENYA INDEPENDENT A,Suplente,Local,U D IBIZA A,13,1,0,0,45
12,"CREUHERAS GARCIA, MATHEO",PENYA INDEPENDENT A,Suplente,Local,U D IBIZA A,13,0,0,0,27
14,"FERRER TORRES, PEDRO",PENYA INDEPENDENT A,Suplente,Local,U D IBIZA A,13,0,0,0,27
18,"LLAMAS MARTINEZ, ERIC",PENYA INDEPENDENT A,Suplente,Local,U D IBIZA A,13,0,0,0,45
20,"BERNHARDT, JOEL PIOTR",PENYA INDEPENDENT A,Suplente,Local,U D IBIZA A,13,1,0,0,10
1,"MONTES DOMINGUEZ, ALBERTO",U D IBIZA A,Titular,Visitante,PENYA INDEPENDENT A,13,0,0,0,90
2,"AGUILAR COSTA, MARTÍ",U D IBIZA A,Titular,Visitante,PENYA INDEPENDENT A,13,0,0,0,90
3,"MARTOS VERGARA, DANIEL",U D IBIZA A,Titular,Visitante,PENYA INDEPENDENT A,13,1,0,0,91
4,"RODRIGUEZ MARTOS, AARON",U D IBIZA A,Titular,Visitante,PENYA INDEPENDENT A,13,0,0,0,90
5,"BALBURE CARDONA, ALEX",U D IBIZA A,Titular,Visitante,PENYA INDEPENDENT A,13,0,1,0,90
6,"GORLA, AGUSTIN",U D IBIZA A,Titular,Visitante,PENYA INDEPENDENT A,13,0,0,0,90
8,"PERIAÑEZ RODRIGUEZ, DANIEL",U D IBIZA A,Titular,Visitante,PENYA INDEPENDENT A,13,0,0,0,90
9,"GARCIA ALBA, JAVIER",U D IBIZA A,Titular,Visitante,PENYA INDEPENDENT A,13,0,0,0,60
10,"BERNASCONI, SANTINO",U D IBIZA A,Titular,Visitante,PENYA INDEPENDENT A,13,0,0,0,60
11,"PUGLIESE, PAOLO ALBERTO",U D IBIZA A,Titular,Visitante,PENYA INDEPENDENT A,13,0,1,0,90
20,"ELIAS ARANDIA, SAMUEL ABEL",U D IBIZA A,Titular,Visitante,PENYA INDEPENDENT A,13,1,0,0,90
13,"AVOGADRO, TOMMASO",U D IBIZA A,Suplente,Visitante,PENYA INDEPENDENT A,13,0,0,0,0
12,"GONZALEZ CASURIAGA, THIAGO",U D IBIZA A,Suplente,Visitante,PENYA INDEPENDENT A,13,0,0,0,-1
14,"MEDINA ARANDA, SERGIO",U D IBIZA A,Suplente,Visitante,PENYA INDEPENDENT A,13,0,0,0,30
15,"TORRES RIERA, LLUC",U D IBIZA A,Suplente,Visitante,PENYA INDEPENDENT A,13,0,0,0,30
18,"BONED GARCIA, ADRIÁ",U D IBIZA A,Suplente,Visitante,PENYA INDEPENDENT A,13,0,0,0,0
19,"RODRIGUEZ ROIG, ARIAN",U D IBIZA A,Suplente,Visitante,PENYA INDEPENDENT A,13,0,0,0,0
