numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
13,"ROIG VEGA, MATEO",SANTA CATALINA ATº A,Titular,Local,CONSTANCIA A,13,0,0,0,90
2,"VICH FORTEZA, LLUC",SANTA CATALINA ATº A,Titular,Local,CONSTANCIA A,13,0,0,0,90
4,"FUSTER LATORRE, DANIEL",SANTA CATALINA ATº A,Titular,Local,CONSTANCIA A,13,0,0,0,90
5,"MESQUIDA BAUZA, PAU",SANTA CATALINA ATº A,Titular,Local,CONSTANCIA A,13,0,1,0,90
6,"GARCIAS LLABRES, MIQUEL",SANTA CATALINA ATº A,Titular,Local,CONSTANCIA A,13,0,0,0,90
7,"ADROVER MELIS, FRANCESC",SANTA CATALINA ATº A,Titular,Local,CONSTANCIA A,13,0,0,0,75
8,"LOPEZ FUXA, AARON",SANTA CATALINA ATº A,Titular,Local,CONSTANCIA A,13,0,0,0,81
11,"MENDOZA SOLER, MARIO",SANTA CATALINA ATº A,Titular,Local,CONSTANCIA A,13,0,1,0,75
12,"MARTIN CABALLERO, ANGEL",SANTA CATALINA ATº A,Titular,Local,CONSTANCIA A,13,0,0,0,81
14,"KOPACH, DANIIL",SANTA CATALINA ATº A,Titular,Local,CONSTANCIA A,13,0,0,0,75
15,"PALAU ORDINAS, MIQUEL",SANTA CATALINA ATº A,Titular,Local,CONSTANCIA A,13,0,0,0,90
1,"MADROÑERO CONTRERAS, DAYRON",SANTA CATALINA ATº A,Suplente,Local,CONSTANCIA A,13,0,0,0,0
9,"LOMAS SERVERA, PAU",SANTA CATALINA ATº A,Suplente,Local,CONSTANCIA A,13,0,0,0,15
10,"SASTRE BOTA, JAUME",SANTA CATALINA ATº A,Suplente,Local,CONSTANCIA A,13,0,1,0,9
16,"BARRIGA CATRINA, VICTOR",SANTA CATALINA ATº A,Suplente,Local,CONSTANCIA A,13,0,0,0,9
18,"DEYÀ BELTRÁN, SEBASTIÀ",SANTA CATALINA ATº A,Suplente,Local,CONSTANCIA A,13,0,0,0,15
21,"EZ ZARY SAIDI, ISMAEL",SANTA CATALINA ATº A,Suplente,Local,CONSTANCIA A,13,0,0,0,15
22,"ALARCON RAGO, THIAGO",SANTA CATALINA ATº A,Suplente,Local,CONSTANCIA A,13,0,0,0,0
13,"BOVER LLOMPART, JOSEP",CONSTANCIA A,Titular,Visitante,SANTA CATALINA ATº A,13,0,0,0,90
3,"ROMAN DE REMENTERIA, ASIER",CONSTANCIA A,Titular,Visitante,SANTA CATALINA ATº A,13,0,0,0,90
4,"CRESPI LUCENA, JUAN MIQUEL",CONSTANCIA A,Titular,Visitante,SANTA CATALINA ATº A,13,0,0,0,90
5,"FONTCUBERTA GALINDO, GABRIEL",CONSTANCIA A,Titular,Visitante,SANTA CATALINA ATº A,13,0,0,0,90
6,"BOTELLO CARMONA, PAU",CONSTANCIA A,Titular,Visitante,SANTA CATALINA ATº A,13,0,0,0,69
8,"COMPANY INGLA, JAUME",CONSTANCIA A,Titular,Visitante,SANTA CATALINA ATº A,13,0,0,0,90
10,"CABEZAS GALLARDO, MANUEL",CONSTANCIA A,Titular,Visitante,SANTA CATALINA ATº A,13,0,0,0,52
14,"MORENO GODOY, NICOLAS",CONSTANCIA A,Titular,Visitante,SANTA CATALINA ATº A,13,0,0,0,90
16,"OLIVER GELABERT, PERE",CONSTANCIA A,Titular,Visitante,SANTA CATALINA ATº A,13,1,0,0,69
18,"PATRICIO GUAL, MARC",CONSTANCIA A,Titular,Visitante,SANTA CATALINA ATº A,13,0,0,0,77
23,"BLANCO WEBER, LUCA",CONSTANCIA A,Titular,Visitante,SANTA CATALINA ATº A,13,0,0,0,52
1,"MIR OLMO, JORDI",CONSTANCIA A,Suplente,Visitante,SANTA CATALINA ATº A,13,0,0,0,0
9,"BALLE BRUNET, JOAN",CONSTANCIA A,Suplente,Visitante,SANTA CATALINA ATº A,13,0,0,0,21
11,"COLL AREVALO, JORDI",CONSTANCIA A,Suplente,Visitante,SANTA CATALINA ATº A,13,0,0,0,38
15,"KOUJILI EL TALHAOUI, MAROUAN",CONSTANCIA A,Suplente,Visitante,SANTA CATALINA ATº A,13,0,1,0,13
19,"GALVEZ ESPINOZA, BRAD ANTONY",CONSTANCIA A,Suplente,Visitante,SANTA CATALINA ATº A,13,0,0,0,21
20,"CHUKWUKERE PULLET, GREGORY IKECHUKWU",CONSTANCIA A,Suplente,Visitante,SANTA CATALINA ATº A,13,0,0,0,38
22,"MAIRATA NOGUERA, ADRIA",CONSTANCIA A,Suplente,Visitante,SANTA CATALINA ATº A,13,0,0,0,0
