numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
13,"SILVA GIORGIO, AGUSTIN",SD LA SALLE A,Titular,Local,SP. ATº CIUTAT DE PALMA,13,0,0,0,90
2,"PANEQUE PÉREZ, JOEL",SD LA SALLE A,Titular,Local,SP. ATº CIUTAT DE PALMA,13,0,1,0,90
3,"SANCHEZ LAFUENTE, ARITZ",SD LA SALLE A,Titular,Local,SP. ATº CIUTAT DE PALMA,13,0,0,0,90
4,"PUYA TUR, OSCAR",SD LA SALLE A,Titular,Local,SP. ATº CIUTAT DE PALMA,13,0,0,0,90
6,"AMAYA MALENO, FRANCISCO",SD LA SALLE A,Titular,Local,SP. ATº CIUTAT DE PALMA,13,0,0,0,46
7,"ARBOS DENGRA, DIEGO",SD LA SALLE A,Titular,Local,SP. ATº CIUTAT DE PALMA,13,1,0,0,70
8,"CORTES BOIXO, ALEIX",SD LA SALLE A,Titular,Local,SP. ATº CIUTAT DE PALMA,13,0,0,0,90
9,"TORRALBA TANUGGI, LUIS",SD LA SALLE A,Titular,Local,SP. ATº CIUTAT DE PALMA,13,1,1,0,75
10,"FUSTER CORTES, FERNANDO",SD LA SALLE A,Titular,Local,SP. ATº CIUTAT DE PALMA,13,0,0,0,90
11,"PETRARCA, ELIA",SD LA SALLE A,Titular,Local,SP. ATº CIUTAT DE PALMA,13,0,0,0,46
20,"VIVARES ARANDA, YANNICK",SD LA SALLE A,Titular,Local,SP. ATº CIUTAT DE PALMA,13,0,0,0,70
5,"MARTI RODRIGUEZ, IVAN",SD LA SALLE A,Suplente,Local,SP. ATº CIUTAT DE PALMA,13,0,1,0,20
12,"VIZCAINO SEGURA, ALAN",SD LA SALLE A,Suplente,Local,SP. ATº CIUTAT DE PALMA,13,0,0,0,0
14,"MOYA PEDREGOSA, ALEJANDRO",SD LA SALLE A,Suplente,Local,SP. ATº CIUTAT DE PALMA,13,0,0,0,20
15,"RODRIGUEZ MONGELOS, GAEL PAU",SD LA SALLE A,Suplente,Local,SP. ATº CIUTAT DE PALMA,13,0,0,0,0
17,"ESCUERO PARDOS, MARTI",SD LA SALLE A,Suplente,Local,SP. ATº CIUTAT DE PALMA,13,0,0,0,44
18,"FERNANDEZ CABRERA, DAVID",SD LA SALLE A,Suplente,Local,SP. ATº CIUTAT DE PALMA,13,1,1,0,44
19,"SALMERON SEGURA, JONATHAN",SD LA SALLE A,Suplente,Local,SP. ATº CIUTAT DE PALMA,13,0,0,0,15
13,"CABELLOS CRUZ, ENRIQUE",SP. ATº CIUTAT DE PALMA,Titular,Visitante,SD LA SALLE A,13,0,0,0,90
2,"MUNAR LAZARO, DANIEL",SP. ATº CIUTAT DE PALMA,Titular,Visitante,SD LA SALLE A,13,0,0,0,90
4,"ORDOÑEZ QUETGLAS, MARC",SP. ATº CIUTAT DE PALMA,Titular,Visitante,SD LA SALLE A,13,0,0,0,58
6,"SANS JIMENEZ, MIQUEL ANGEL",SP. ATº CIUTAT DE PALMA,Titular,Visitante,SD LA SALLE A,13,0,0,0,68
7,"SANCHO OLIVER, PEDRO",SP. ATº CIUTAT DE PALMA,Titular,Visitante,SD LA SALLE A,13,0,1,0,90
9,"ABRAHAM BOLAÑOS, ISAAC",SP. ATº CIUTAT DE PALMA,Titular,Visitante,SD LA SALLE A,13,0,0,0,90
10,"SARMIENTO CABAÑIN, GABRIEL A",SP. ATº CIUTAT DE PALMA,Titular,Visitante,SD LA SALLE A,13,1,0,0,90
14,"AMENGUAL LIRIO, IVAN",SP. ATº CIUTAT DE PALMA,Titular,Visitante,SD LA SALLE A,13,0,0,0,90
18,"CORTES MONTANER, LUIS",SP. ATº CIUTAT DE PALMA,Titular,Visitante,SD LA SALLE A,13,0,0,0,63
21,"KRAUSSE, IGNACIO TOMAS",SP. ATº CIUTAT DE PALMA,Titular,Visitante,SD LA SALLE A,13,0,0,0,63
23,"GOMEZ BLANCA, AARON",SP. ATº CIUTAT DE PALMA,Titular,Visitante,SD LA SALLE A,13,0,0,0,58
1,"GONZALEZ VASQUEZ, LUIS JOSE",SP. ATº CIUTAT DE PALMA,Suplente,Visitante,SD LA SALLE A,13,0,0,0,0
5,"CACERES AMOROS, MATEO",SP. ATº CIUTAT DE PALMA,Suplente,Visitante,SD LA SALLE A,13,0,1,0,27
8,"FERNÁNDEZ CASSO, ALBERTO",SP. ATº CIUTAT DE PALMA,Suplente,Visitante,SD LA SALLE A,13,0,0,0,0
11,"KRZYZYK SERRANO, PEDRO",SP. ATº CIUTAT DE PALMA,Suplente,Visitante,SD LA SALLE A,13,1,0,0,32
12,"BLANCO VALERO, DAVID",SP. ATº CIUTAT DE PALMA,Suplente,Visitante,SD LA SALLE A,13,0,0,0,27
17,"AQUINO GUTIERREZ, DAN JOEL",SP. ATº CIUTAT DE PALMA,Suplente,Visitante,SD LA SALLE A,13,0,0,0,22
24,"GAETE MARTINEZ, ISMAEL",SP. ATº CIUTAT DE PALMA,Suplente,Visitante,SD LA SALLE A,13,0,0,0,32
