numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
13,"HURTADO LOPEZ, IVAN",ANDRATX A,Titular,Local,SD LA SALLE A,14,0,0,0,90
2,"PATRICIO TORRRENS, JUAN",ANDRATX A,Titular,Local,SD LA SALLE A,14,0,1,0,46
4,"SANCHEZ RAMIREZ, JAVIER",ANDRATX A,Titular,Local,SD LA SALLE A,14,0,1,0,90
6,"TUR HORRACH, HUG",ANDRATX A,Titular,Local,SD LA SALLE A,14,0,0,0,90
7,"LUPIAÑEZ ALEMANY, TONI",ANDRATX A,Titular,Local,SD LA SALLE A,14,0,0,0,78
8,"ALMERING, BEPPE",ANDRATX A,Titular,Local,SD LA SALLE A,14,0,0,0,90
9,"VARGAS RODRIGUEZ, NICOLAS",ANDRATX A,Titular,Local,SD LA SALLE A,14,0,0,0,67
10,"SANCHEZ JIMENEZ, FERNANDO",ANDRATX A,Titular,Local,SD LA SALLE A,14,0,0,0,90
16,"ROGEL ARRIAGA, BRYAN STALIN",ANDRATX A,Titular,Local,SD LA SALLE A,14,0,0,0,90
18,"AMER CASTILLO, MIGUEL",ANDRATX A,Titular,Local,SD LA SALLE A,14,0,0,0,90
22,"HOMAR GARCIA, ROMAN",ANDRATX A,Titular,Local,SD LA SALLE A,14,0,0,0,67
1,"GAVILAN STAHN, NOAH",ANDRATX A,Suplente,Local,SD LA SALLE A,14,0,1,0,0
3,"ALARCON FERRER, ADRIAN",ANDRATX A,Suplente,Local,SD LA SALLE A,14,0,0,0,0
11,"JIMENEZ PASTOR, IKER",ANDRATX A,Suplente,Local,SD LA SALLE A,14,0,0,0,23
12,"CASTELLO FERRA, JOAN",ANDRATX A,Suplente,Local,SD LA SALLE A,14,0,0,0,23
17,"DOBLAS TORRES, MIGUEL",ANDRATX A,Suplente,Local,SD LA SALLE A,14,0,1,0,44
20,"BRIOSO SERRANO, EMILIO JOSÉ",ANDRATX A,Suplente,Local,SD LA SALLE A,14,0,0,0,12
1,"FONTANET REUS, TOMAS",SD LA SALLE A,Titular,Visitante,ANDRATX A,14,0,0,0,90
2,"PANEQUE PÉREZ, JOEL",SD LA SALLE A,Titular,Visitante,ANDRATX A,14,0,0,0,90
3,"GARCÍA GARCÍA, ÁLVARO",SD LA SALLE A,Titular,Visitante,ANDRATX A,14,0,0,0,90
4,"VIZCAINO SEGURA, ALAN",SD LA SALLE A,Titular,Visitante,ANDRATX A,14,0,1,0,67
5,"PUYA TUR, OSCAR",SD LA SALLE A,Titular,Visitante,ANDRATX A,14,0,0,0,90
6,"ESCUERO PARDOS, MARTI",SD LA SALLE A,Titular,Visitante,ANDRATX A,14,0,0,0,62
7,"ARBOS DENGRA, DIEGO",SD LA SALLE A,Titular,Visitante,ANDRATX A,14,0,0,0,90
8,"CORTES BOIXO, ALEIX",SD LA SALLE A,Titular,Visitante,ANDRATX A,14,0,0,0,90
9,"MARTI RODRIGUEZ, IVAN",SD LA SALLE A,Titular,Visitante,ANDRATX A,14,0,0,0,74
10,"FUSTER CORTES, FERNANDO",SD LA SALLE A,Titular,Visitante,ANDRATX A,14,0,0,0,90
11,"FERNANDEZ CABRERA, DAVID",SD LA SALLE A,Titular,Visitante,ANDRATX A,14,0,0,0,67
25,"FEMENIAS SOTO, LLUC",SD LA SALLE A,Suplente,Visitante,ANDRATX A,14,0,0,0,0
12,"MOYA PEDREGOSA, ALEJANDRO",SD LA SALLE A,Suplente,Visitante,ANDRATX A,14,0,0,0,23
14,"SANCHEZ LAFUENTE, ARITZ",SD LA SALLE A,Suplente,Visitante,ANDRATX A,14,0,0,0,0
15,"AMAYA MALENO, FRANCISCO",SD LA SALLE A,Suplente,Visitante,ANDRATX A,14,0,0,0,0
16,"RODRIGUEZ MONGELOS, GAEL PAU",SD LA SALLE A,Suplente,Visitante,ANDRATX A,14,0,0,0,16
17,"SALMERON SEGURA, JONATHAN",SD LA SALLE A,Suplente,Visitante,ANDRATX A,14,0,0,0,23
18,"COMAS HUTTEN, PAU LLUIS",SD LA SALLE A,Suplente,Visitante,ANDRATX A,14,0,0,0,28
