numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"MIR OLMO, JORDI",CONSTANCIA A,Titular,Local,SAN FRANCISCO B,14,0,0,0,90
3,"ROMAN DE REMENTERIA, ASIER",CONSTANCIA A,Titular,Local,SAN FRANCISCO B,14,0,0,0,79
5,"FONTCUBERTA GALINDO, GABRIEL",CONSTANCIA A,Titular,Local,SAN FRANCISCO B,14,1,0,0,90
8,"COMPANY INGLA, JAUME",CONSTANCIA A,Titular,Local,SAN FRANCISCO B,14,0,0,0,90
10,"CABEZAS GALLARDO, MANUEL",CONSTANCIA A,Titular,Local,SAN FRANCISCO B,14,0,1,0,60
11,"COLL AREVALO, JORDI",CONSTANCIA A,Titular,Local,SAN FRANCISCO B,14,0,0,0,90
14,"MORENO GODOY, NICOLAS",CONSTANCIA A,Titular,Local,SAN FRANCISCO B,14,0,0,0,90
15,"KOUJILI EL TALHAOUI, MAROUAN",CONSTANCIA A,Titular,Local,SAN FRANCISCO B,14,0,0,0,90
16,"OLIVER GELABERT, PERE",CONSTANCIA A,Titular,Local,SAN FRANCISCO B,14,0,0,0,54
18,"PATRICIO GUAL, MARC",CONSTANCIA A,Titular,Local,SAN FRANCISCO B,14,1,0,0,54
20,"CHUKWUKERE PULLET, GREGORY IKECHUKWU",CONSTANCIA A,Titular,Local,SAN FRANCISCO B,14,0,1,0,46
4,"CRESPI LUCENA, JUAN MIQUEL",CONSTANCIA A,Suplente,Local,SAN FRANCISCO B,14,0,0,0,11
6,"BOTELLO CARMONA, PAU",CONSTANCIA A,Suplente,Local,SAN FRANCISCO B,14,0,1,0,30
7,"MARTIN MONSALVE, IAN",CONSTANCIA A,Suplente,Local,SAN FRANCISCO B,14,0,0,0,36
9,"BALLE BRUNET, JOAN",CONSTANCIA A,Suplente,Local,SAN FRANCISCO B,14,0,0,0,36
13,"BOVER LLOMPART, JOSEP",CONSTANCIA A,Suplente,Local,SAN FRANCISCO B,14,0,0,0,0
17,"SABATER SANCHO, MARC",CONSTANCIA A,Suplente,Local,SAN FRANCISCO B,14,0,0,0,44
19,"GALVEZ ESPINOZA, BRAD ANTONY",CONSTANCIA A,Suplente,Local,SAN FRANCISCO B,14,0,0,0,0
1,"MARTINS CORRAL, DIEGO",SAN FRANCISCO B,Titular,Visitante,CONSTANCIA A,14,0,0,0,90
2,"GIRALDE BAUZA, JAVIER",SAN FRANCISCO B,Titular,Visitante,CONSTANCIA A,14,0,0,0,70
3,"BORDOY LEAL, PEDRO",SAN FRANCISCO B,Titular,Visitante,CONSTANCIA A,14,0,0,0,85
4,"BARRAGAN AGUILO, HECTOR DARIO",SAN FRANCISCO B,Titular,Visitante,CONSTANCIA A,14,0,0,0,90
5,"CLADERA SOBERATS, LLORENÇ",SAN FRANCISCO B,Titular,Visitante,CONSTANCIA A,14,0,0,0,90
6,"LEDESMA COR, MATEU",SAN FRANCISCO B,Titular,Visitante,CONSTANCIA A,14,0,0,0,80
7,"SUÁREZ SERRA, ALEX",SAN FRANCISCO B,Titular,Visitante,CONSTANCIA A,14,0,2,0,90
8,"GALLARDO DEL VALLE, BENJAMIN",SAN FRANCISCO B,Titular,Visitante,CONSTANCIA A,14,0,0,0,90
9,"CONDE PEREIRA, ALEJANDRO MANUEL",SAN FRANCISCO B,Titular,Visitante,CONSTANCIA A,14,0,0,0,46
10,"ALARCON CAVERO, JOEL",SAN FRANCISCO B,Titular,Visitante,CONSTANCIA A,14,0,1,0,90
11,"SALAMANCA GALERA, AITOR",SAN FRANCISCO B,Titular,Visitante,CONSTANCIA A,14,0,1,0,80
12,"LUNEGRO, BRUNO",SAN FRANCISCO B,Suplente,Visitante,CONSTANCIA A,14,0,0,0,0
14,"LLEDO SAMPOL, ADRIA",SAN FRANCISCO B,Suplente,Visitante,CONSTANCIA A,14,0,0,0,20
15,"LOPEZ CABRERA, JESUS",SAN FRANCISCO B,Suplente,Visitante,CONSTANCIA A,14,0,0,0,44
16,"MASSANET CABRER, FRANCESC",SAN FRANCISCO B,Suplente,Visitante,CONSTANCIA A,14,0,0,0,10
17,"TEJADA RODRIGUEZ, JOAN",SAN FRANCISCO B,Suplente,Visitante,CONSTANCIA A,14,0,0,0,10
18,"SILVA SALINAS, ALEJANDRO",SAN FRANCISCO B,Suplente,Visitante,CONSTANCIA A,14,0,0,0,5
19,"RIBAS MUÑOZ, SERGI",SAN FRANCISCO B,Suplente,Visitante,CONSTANCIA A,14,0,0,0,0
