numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"RADO ASENCIO, IKER",MANACOR A,Titular,Local,PENYA ARRABAL A,14,0,0,0,90
2,"LAMSIAH AJGHOUF, OSSAMA",MANACOR A,Titular,Local,PENYA ARRABAL A,14,0,0,0,70
4,"GRAHAM, NATHAN STUART",MANACOR A,Titular,Local,PENYA ARRABAL A,14,0,0,0,90
7,"LAKHAL ZEROUALE, SAAD",MANACOR A,Titular,Local,PENYA ARRABAL A,14,0,0,0,90
8,"MARCOS MONGE, IKER",MANACOR A,Titular,Local,PENYA ARRABAL A,14,0,1,0,90
11,"CORCHADO JIMENEZ, ISAAC",MANACOR A,Titular,Local,PENYA ARRABAL A,14,0,0,0,55
16,"MESTRE RIBOT, PAU",MANACOR A,Titular,Local,PENYA ARRABAL A,14,0,0,0,55
18,"SOLER CALDENTEY, JOEL",MANACOR A,Titular,Local,PENYA ARRABAL A,14,0,0,0,90
19,"RODRIGUEZ GALDON, DANIEL",MANACOR A,Titular,Local,PENYA ARRABAL A,14,1,0,0,82
22,"MONTES CARDONA, CHRISTIAN",MANACOR A,Titular,Local,PENYA ARRABAL A,14,0,0,0,90
23,"MARTINEZ ABELLAN, IKER",MANACOR A,Titular,Local,PENYA ARRABAL A,14,0,0,0,70
9,"ADROVER GARRIDO, ALBERT",MANACOR A,Suplente,Local,PENYA ARRABAL A,14,1,0,0,35
14,"GUICHANDUT GOMILA, MARC",MANACOR A,Suplente,Local,PENYA ARRABAL A,14,0,0,0,0
15,"NOLAN MUÑOZ, SERGIO",MANACOR A,Suplente,Local,PENYA ARRABAL A,14,0,0,0,20
20,"ADROVER GARRIDO, GERARD",MANACOR A,Suplente,Local,PENYA ARRABAL A,14,0,0,0,35
21,"TRIAY PETHERAM, TOMAS ISMAEL",MANACOR A,Suplente,Local,PENYA ARRABAL A,14,0,0,0,20
24,"RODRIGUEZ LOPEZ, RAUL",MANACOR A,Suplente,Local,PENYA ARRABAL A,14,0,0,0,8
25,"BURGUERA BONET, JULIÀ",MANACOR A,Suplente,Local,PENYA ARRABAL A,14,0,0,0,0
13,"MANOLACHE POCOVI, DANIEL",PENYA ARRABAL A,Titular,Visitante,MANACOR A,14,0,0,0,90
2,"PASCUAL RIERA, MIGUEL ANGEL",PENYA ARRABAL A,Titular,Visitante,MANACOR A,14,0,0,0,90
3,"MARTINEZ MUNTANER, SERGI",PENYA ARRABAL A,Titular,Visitante,MANACOR A,14,0,0,0,90
8,"GARCIA HERNANDEZ, JOSE RAMON",PENYA ARRABAL A,Titular,Visitante,MANACOR A,14,0,0,0,90
10,"CRESPI BARRERA, LEONARDO",PENYA ARRABAL A,Titular,Visitante,MANACOR A,14,0,0,0,85
11,"SEGUI ESTEBAN, IAN",PENYA ARRABAL A,Titular,Visitante,MANACOR A,14,0,0,0,71
12,"MESQUIDA URIBE, XAVIER",PENYA ARRABAL A,Titular,Visitante,MANACOR A,14,0,0,0,71
14,"MAS MAIMO, JOSEP",PENYA ARRABAL A,Titular,Visitante,MANACOR A,14,0,0,0,90
15,"HERRERA IGLESIAS, ADRIAN",PENYA ARRABAL A,Titular,Visitante,MANACOR A,14,0,0,0,85
18,"FIOL ACEITUNO, MIQUEL",PENYA ARRABAL A,Titular,Visitante,MANACOR A,14,0,0,0,90
19,"CASTAÑER PECELLIN, RAFAEL",PENYA ARRABAL A,Titular,Visitante,MANACOR A,14,2,0,0,47
1,"MUÑOZ BAIXAULI, JUAN",PENYA ARRABAL A,Suplente,Visitante,MANACOR A,14,0,0,0,0
4,"VANEY BEVIONE, LUCAS",PENYA ARRABAL A,Suplente,Visitante,MANACOR A,14,0,0,0,5
5,"BELFAQUIH ZBAT, ANUAR",PENYA ARRABAL A,Suplente,Visitante,MANACOR A,14,0,0,0,0
6,"VALLESPIR TIMONER, PERE MARC",PENYA ARRABAL A,Suplente,Visitante,MANACOR A,14,0,0,0,5
7,"PONS SERRANO, ALEIX",PENYA ARRABAL A,Suplente,Visitante,MANACOR A,14,1,0,0,19
9,"LEBRERO BENITEZ, HUGO",PENYA ARRABAL A,Suplente,Visitante,MANACOR A,14,0,0,0,19
17,"ARIAS BESTARD, ENZO",PENYA ARRABAL A,Suplente,Visitante,MANACOR A,14,0,0,0,43
