numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"GOMILA GOMILA, JOAN",PENYA CIUTADELLA ESPORTIVA A,Titular,Local,PENYA INDEPENDENT A,14,0,0,0,90
2,"AGUILAR BOSCH, DAVID",PENYA CIUTADELLA ESPORTIVA A,Titular,Local,PENYA INDEPENDENT A,14,0,0,0,68
5,"BERNAL VOIGT, YAMPEL RICHARD",PENYA CIUTADELLA ESPORTIVA A,Titular,Local,PENYA INDEPENDENT A,14,1,0,0,90
7,"DIAZ LLABRES, ISAAC",PENYA CIUTADELLA ESPORTIVA A,Titular,Local,PENYA INDEPENDENT A,14,0,1,0,90
9,"TRIAY SASTRE, ADRIA",PENYA CIUTADELLA ESPORTIVA A,Titular,Local,PENYA INDEPENDENT A,14,0,0,0,90
10,"PONS MOLL, FRANCESC",PENYA CIUTADELLA ESPORTIVA A,Titular,Local,PENYA INDEPENDENT A,14,0,0,0,81
15,"MOLL PONS, ROBERTO",PENYA CIUTADELLA ESPORTIVA A,Titular,Local,PENYA INDEPENDENT A,14,0,0,0,78
16,"PONCIANO BUESO, JOSEP",PENYA CIUTADELLA ESPORTIVA A,Titular,Local,PENYA INDEPENDENT A,14,0,0,0,45
18,"LOPEZ GONZALEZ, ALEJANDRO",PENYA CIUTADELLA ESPORTIVA A,Titular,Local,PENYA INDEPENDENT A,14,0,0,0,68
21,"MARQUES BAGUR, JOAN",PENYA CIUTADELLA ESPORTIVA A,Titular,Local,PENYA INDEPENDENT A,14,0,0,0,90
22,"CAMPS SEOANE, VICTOR",PENYA CIUTADELLA ESPORTIVA A,Titular,Local,PENYA INDEPENDENT A,14,0,0,0,90
13,"RIOJA GUILLEN, ALFONSO",PENYA CIUTADELLA ESPORTIVA A,Suplente,Local,PENYA INDEPENDENT A,14,0,0,0,0
4,"FEDELICH MARQUES, JAN",PENYA CIUTADELLA ESPORTIVA A,Suplente,Local,PENYA INDEPENDENT A,14,0,0,0,0
8,"RUS FERNANDEZ, IGNASI",PENYA CIUTADELLA ESPORTIVA A,Suplente,Local,PENYA INDEPENDENT A,14,0,0,0,22
11,"TALTAVULL JUANEDA, JOAN",PENYA CIUTADELLA ESPORTIVA A,Suplente,Local,PENYA INDEPENDENT A,14,0,1,0,12
12,"LEON JUAN, VICTOR",PENYA CIUTADELLA ESPORTIVA A,Suplente,Local,PENYA INDEPENDENT A,14,0,0,0,45
14,"CAPO MORA, MARC",PENYA CIUTADELLA ESPORTIVA A,Suplente,Local,PENYA INDEPENDENT A,14,0,0,0,22
19,"ARGUIMBAU ALLES, MACIA",PENYA CIUTADELLA ESPORTIVA A,Suplente,Local,PENYA INDEPENDENT A,14,0,0,0,9
1,"RAMON DIAZ, HUGO",PENYA INDEPENDENT A,Titular,Visitante,PENYA CIUTADELLA ESPORTIVA A,14,0,0,0,90
3,"VIERA GONZALEZ, SANTIAGO",PENYA INDEPENDENT A,Titular,Visitante,PENYA CIUTADELLA ESPORTIVA A,14,0,0,0,90
4,"MARTINEZ JUAN, MARTIN",PENYA INDEPENDENT A,Titular,Visitante,PENYA CIUTADELLA ESPORTIVA A,14,0,0,0,90
6,"OROZCO RIERA, ASIER",PENYA INDEPENDENT A,Titular,Visitante,PENYA CIUTADELLA ESPORTIVA A,14,0,0,0,90
8,"PRATS RIPOLL, MIQUEL",PENYA INDEPENDENT A,Titular,Visitante,PENYA CIUTADELLA ESPORTIVA A,14,0,0,0,90
11,"FERRER ROIG, JAUME",PENYA INDEPENDENT A,Titular,Visitante,PENYA CIUTADELLA ESPORTIVA A,14,0,0,0,55
15,"FAQUINETTI VERGILIO, SAMUEL",PENYA INDEPENDENT A,Titular,Visitante,PENYA CIUTADELLA ESPORTIVA A,14,0,1,0,90
17,"ODERA PACILIO, SANTIAGO",PENYA INDEPENDENT A,Titular,Visitante,PENYA CIUTADELLA ESPORTIVA A,14,1,2,0,90
18,"LLAMAS MARTINEZ, ERIC",PENYA INDEPENDENT A,Titular,Visitante,PENYA CIUTADELLA ESPORTIVA A,14,0,0,0,72
19,"LOPEZ MARI, PABLO",PENYA INDEPENDENT A,Titular,Visitante,PENYA CIUTADELLA ESPORTIVA A,14,0,0,0,72
20,"BERNHARDT, JOEL PIOTR",PENYA INDEPENDENT A,Titular,Visitante,PENYA CIUTADELLA ESPORTIVA A,14,0,0,0,72
13,"VILLAR MARI, BARTOMEU TONI",PENYA INDEPENDENT A,Suplente,Visitante,PENYA CIUTADELLA ESPORTIVA A,14,0,0,0,0
2,"ARORA, VIRAJ",PENYA INDEPENDENT A,Suplente,Visitante,PENYA CIUTADELLA ESPORTIVA A,14,0,0,0,0
5,"GRANDA VILLAVICENCIO, DAVID JOAN",PENYA INDEPENDENT A,Suplente,Visitante,PENYA CIUTADELLA ESPORTIVA A,14,0,0,0,18
9,"GHARBI KHAMMAL EL BAKKALI, NASROLLAH",PENYA INDEPENDENT A,Suplente,Visitante,PENYA CIUTADELLA ESPORTIVA A,14,0,0,0,18
10,"EL HABBOULA EL KORTOBI, ABDELMOIZE",PENYA INDEPENDENT A,Suplente,Visitante,PENYA CIUTADELLA ESPORTIVA A,14,0,0,0,18
12,"CREUHERAS GARCIA, MATHEO",PENYA INDEPENDENT A,Suplente,Visitante,PENYA CIUTADELLA ESPORTIVA A,14,0,0,0,35
14,"FERRER TORRES, PEDRO",PENYA INDEPENDENT A,Suplente,Visitante,PENYA CIUTADELLA ESPORTIVA A,14,0,1,0,0
