numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"CRUZ SEGUI, SERGIO",PLA DE NA TESA A,Titular,Local,SANTA CATALINA ATº A,14,0,0,0,90
2,"DRAGHI, MAXIMO",PLA DE NA TESA A,Titular,Local,SANTA CATALINA ATº A,14,0,0,0,90
3,"OSEGIE AMADASUN, MARVIN ISOKEN",PLA DE NA TESA A,Titular,Local,SANTA CATALINA ATº A,14,0,0,0,90
4,"GONZALEZ OBRADOR, ENRIC",PLA DE NA TESA A,Titular,Local,SANTA CATALINA ATº A,14,0,0,0,90
5,"NAVARRO BEZARES, JAVIER",PLA DE NA TESA A,Titular,Local,SANTA CATALINA ATº A,14,0,0,0,90
6,"ALONSO MUNICIO, PABLO",PLA DE NA TESA A,Titular,Local,SANTA CATALINA ATº A,14,0,0,0,90
7,"MORA GISPERT, HUGO",PLA DE NA TESA A,Titular,Local,SANTA CATALINA ATº A,14,0,0,0,66
8,"FERNÁNDEZ RODRÍGUEZ, IKER",PLA DE NA TESA A,Titular,Local,SANTA CATALINA ATº A,14,0,1,0,58
9,"HOMAR PELLICER, JOEL",PLA DE NA TESA A,Titular,Local,SANTA CATALINA ATº A,14,0,0,0,31
10,"ONCALA CARAVACA, DANIEL",PLA DE NA TESA A,Titular,Local,SANTA CATALINA ATº A,14,1,0,0,90
11,"AIT SAID TAFZATI, NABIL",PLA DE NA TESA A,Titular,Local,SANTA CATALINA ATº A,14,1,0,0,58
13,"FATY, MALANG",PLA DE NA TESA A,Suplente,Local,SANTA CATALINA ATº A,14,0,0,0,0
14,"MARTINEZ ESPINOSA, DENIS",PLA DE NA TESA A,Suplente,Local,SANTA CATALINA ATº A,14,0,0,0,0
15,"COULIBALY COULIBALY, MADANE",PLA DE NA TESA A,Suplente,Local,SANTA CATALINA ATº A,14,0,0,0,32
16,"MASCARÓ SERVERA, JUAN",PLA DE NA TESA A,Suplente,Local,SANTA CATALINA ATº A,14,1,0,0,24
17,"CACERES COMAS, SERGI",PLA DE NA TESA A,Suplente,Local,SANTA CATALINA ATº A,14,0,0,0,32
18,"MESA ZAFRA, CHRISTIAN",PLA DE NA TESA A,Suplente,Local,SANTA CATALINA ATº A,14,0,0,0,0
19,"ASAMOAH ASANTEWAA, DENIS",PLA DE NA TESA A,Suplente,Local,SANTA CATALINA ATº A,14,1,0,0,59
13,"ROIG VEGA, MATEO",SANTA CATALINA ATº A,Titular,Visitante,PLA DE NA TESA A,14,0,0,0,90
4,"FUSTER LATORRE, DANIEL",SANTA CATALINA ATº A,Titular,Visitante,PLA DE NA TESA A,14,0,1,0,90
5,"MESQUIDA BAUZA, PAU",SANTA CATALINA ATº A,Titular,Visitante,PLA DE NA TESA A,14,0,0,0,90
6,"GARCIAS LLABRES, MIQUEL",SANTA CATALINA ATº A,Titular,Visitante,PLA DE NA TESA A,14,0,0,0,73
8,"LOPEZ FUXA, AARON",SANTA CATALINA ATº A,Titular,Visitante,PLA DE NA TESA A,14,0,0,0,90
9,"LOMAS SERVERA, PAU",SANTA CATALINA ATº A,Titular,Visitante,PLA DE NA TESA A,14,0,0,0,90
10,"SASTRE BOTA, JAUME",SANTA CATALINA ATº A,Titular,Visitante,PLA DE NA TESA A,14,1,0,0,73
12,"HASHIMOTO SEBASTIÁN, GAIZKA",SANTA CATALINA ATº A,Titular,Visitante,PLA DE NA TESA A,14,0,0,0,46
15,"PALAU ORDINAS, MIQUEL",SANTA CATALINA ATº A,Titular,Visitante,PLA DE NA TESA A,14,0,0,0,90
18,"DEYÀ BELTRÁN, SEBASTIÀ",SANTA CATALINA ATº A,Titular,Visitante,PLA DE NA TESA A,14,0,0,0,46
21,"EZ ZARY SAIDI, ISMAEL",SANTA CATALINA ATº A,Titular,Visitante,PLA DE NA TESA A,14,0,0,0,73
1,"MADROÑERO CONTRERAS, DAYRON",SANTA CATALINA ATº A,Suplente,Visitante,PLA DE NA TESA A,14,0,0,0,0
2,"VICH FORTEZA, LLUC",SANTA CATALINA ATº A,Suplente,Visitante,PLA DE NA TESA A,14,0,0,0,44
7,"ADROVER MELIS, FRANCESC",SANTA CATALINA ATº A,Suplente,Visitante,PLA DE NA TESA A,14,0,0,0,44
11,"MENDOZA SOLER, MARIO",SANTA CATALINA ATº A,Suplente,Visitante,PLA DE NA TESA A,14,0,0,0,17
14,"KOPACH, DANIIL",SANTA CATALINA ATº A,Suplente,Visitante,PLA DE NA TESA A,14,1,0,0,17
16,"BARRIGA CATRINA, VICTOR",SANTA CATALINA ATº A,Suplente,Visitante,PLA DE NA TESA A,14,0,0,0,0
22,"ALARCON RAGO, THIAGO",SANTA CATALINA ATº A,Suplente,Visitante,PLA DE NA TESA A,14,0,1,0,17
