numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
25,"VALENZUELA BIERMAN, NOAH",PLATGES DE CALVIA A,Titular,Local,PALMA F.C.,14,0,0,0,90
3,"ALCOLEA ESCORCIA, CARLOS",PLATGES DE CALVIA A,Titular,Local,PALMA F.C.,14,0,0,0,51
4,"LOUNADI MUNAR, SAMUEL",PLATGES DE CALVIA A,Titular,Local,PALMA F.C.,14,0,0,0,90
5,"GARCIA MEDRANO, MARCOS",PLATGES DE CALVIA A,Titular,Local,PALMA F.C.,14,0,0,0,90
6,"MATAS OLIVER, PABLO",PLATGES DE CALVIA A,Titular,Local,PALMA F.C.,14,0,0,1,90
7,"SANCHIS MARTINEZ, DAVID",PLATGES DE CALVIA A,Titular,Local,PALMA F.C.,14,0,0,0,81
8,"GARCÍA RODRÍGUEZ, UNAI",PLATGES DE CALVIA A,Titular,Local,PALMA F.C.,14,0,0,0,64
9,"CASAUS SANCHEZ, JOSE IGNACIO",PLATGES DE CALVIA A,Titular,Local,PALMA F.C.,14,0,0,0,81
10,"EXPOSITO BINNEWIES, ALEJANDRO",PLATGES DE CALVIA A,Titular,Local,PALMA F.C.,14,1,1,0,90
11,"PARRA VIZUETE, DANIEL",PLATGES DE CALVIA A,Titular,Local,PALMA F.C.,14,0,0,0,90
21,"CABRERA FERRA, LIAM",PLATGES DE CALVIA A,Titular,Local,PALMA F.C.,14,0,1,0,90
1,"RODRIGUEZ GUASP, JORDI",PLATGES DE CALVIA A,Suplente,Local,PALMA F.C.,14,0,0,0,0
2,"GAYUBAS GONZALEZ, LUIS MIGUEL",PLATGES DE CALVIA A,Suplente,Local,PALMA F.C.,14,0,0,0,9
14,"MAGAN MITCHELL SMITH, MIGUEL",PLATGES DE CALVIA A,Suplente,Local,PALMA F.C.,14,0,0,0,0
17,"FUENTES RULLAN, PABLO",PLATGES DE CALVIA A,Suplente,Local,PALMA F.C.,14,0,0,0,0
18,"PAYERO MOLINA, NICOLAS",PLATGES DE CALVIA A,Suplente,Local,PALMA F.C.,14,0,1,0,9
20,"PUJOL ALOMAR, TELM",PLATGES DE CALVIA A,Suplente,Local,PALMA F.C.,14,0,0,0,26
22,"HOLLINGSWORTH, HARRY RICHARD",PLATGES DE CALVIA A,Suplente,Local,PALMA F.C.,14,0,0,0,39
1,"CATRON, URIAS",PALMA F.C.,Titular,Visitante,PLATGES DE CALVIA A,14,0,0,0,90
2,"ALCALDE ORTEGA, JUAN JOSÉ",PALMA F.C.,Titular,Visitante,PLATGES DE CALVIA A,14,0,0,0,90
3,"VICENS VIDAL, PAU",PALMA F.C.,Titular,Visitante,PLATGES DE CALVIA A,14,0,1,0,63
4,"GOMEZ ACUÑA, RENSON ENRIQUE",PALMA F.C.,Titular,Visitante,PLATGES DE CALVIA A,14,0,1,0,90
5,JOAN,PALMA F.C.,Titular,Visitante,PLATGES DE CALVIA A,14,0,0,0,90
6,"FERRA OSPINA, CARLES JOAN",PALMA F.C.,Titular,Visitante,PLATGES DE CALVIA A,14,0,0,0,90
7,"NDIR GUEYE, MOUHAMADOUL LAMIN",PALMA F.C.,Titular,Visitante,PLATGES DE CALVIA A,14,0,0,0,90
8,"GIL GOMILA, XAYRON",PALMA F.C.,Titular,Visitante,PLATGES DE CALVIA A,14,0,0,0,83
9,"MORELL SACRISTÁN, CARLOS",PALMA F.C.,Titular,Visitante,PLATGES DE CALVIA A,14,0,0,0,83
10,"VILLALONGA GÓMEZ, IKER",PALMA F.C.,Titular,Visitante,PLATGES DE CALVIA A,14,0,1,0,63
11,"FRANCO SINGEORZAN, ALEX",PALMA F.C.,Titular,Visitante,PLATGES DE CALVIA A,14,0,0,0,90
13,"AZIZI BAIBOUN, OUSSAMA",PALMA F.C.,Suplente,Visitante,PLATGES DE CALVIA A,14,0,0,0,0
12,"CONDE, MAMADI",PALMA F.C.,Suplente,Visitante,PLATGES DE CALVIA A,14,0,0,0,7
14,"PELLEGRINO, NICOLA EMANUELE",PALMA F.C.,Suplente,Visitante,PLATGES DE CALVIA A,14,0,0,0,27
15,"SAMPOL MARTINEZ, MARC",PALMA F.C.,Suplente,Visitante,PLATGES DE CALVIA A,14,0,0,0,27
16,"ALLENDES SEPULVEDA, MARTIN ALONSO",PALMA F.C.,Suplente,Visitante,PLATGES DE CALVIA A,14,0,0,0,0
17,"PORCEL MARTINEZ, JORDI",PALMA F.C.,Suplente,Visitante,PLATGES DE CALVIA A,14,0,0,0,7
18,"MARCANO FLORIAN, SEBASTIAN JESUS",PALMA F.C.,Suplente,Visitante,PLATGES DE CALVIA A,14,0,0,0,0
