numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"GONZALEZ VASQUEZ, LUIS JOSE",SP. ATº CIUTAT DE PALMA,Titular,Local,MALLORCA B,14,0,0,0,90
2,"MUNAR LAZARO, DANIEL",SP. ATº CIUTAT DE PALMA,Titular,Local,MALLORCA B,14,0,0,0,90
4,"ORDOÑEZ QUETGLAS, MARC",SP. ATº CIUTAT DE PALMA,Titular,Local,MALLORCA B,14,0,0,0,90
7,"SANCHO OLIVER, PEDRO",SP. ATº CIUTAT DE PALMA,Titular,Local,MALLORCA B,14,0,0,0,90
9,"ABRAHAM BOLAÑOS, ISAAC",SP. ATº CIUTAT DE PALMA,Titular,Local,MALLORCA B,14,0,0,0,90
10,"SARMIENTO CABAÑIN, GABRIEL A",SP. ATº CIUTAT DE PALMA,Titular,Local,MALLORCA B,14,0,0,0,78
11,"KRZYZYK SERRANO, PEDRO",SP. ATº CIUTAT DE PALMA,Titular,Local,MALLORCA B,14,0,0,0,90
14,"AMENGUAL LIRIO, IVAN",SP. ATº CIUTAT DE PALMA,Titular,Local,MALLORCA B,14,0,1,0,67
18,"CORTES MONTANER, LUIS",SP. ATº CIUTAT DE PALMA,Titular,Local,MALLORCA B,14,0,0,0,61
21,"KRAUSSE, IGNACIO TOMAS",SP. ATº CIUTAT DE PALMA,Titular,Local,MALLORCA B,14,0,1,0,67
24,"GAETE MARTINEZ, ISMAEL",SP. ATº CIUTAT DE PALMA,Titular,Local,MALLORCA B,14,0,0,0,67
13,"CABELLOS CRUZ, ENRIQUE",SP. ATº CIUTAT DE PALMA,Suplente,Local,MALLORCA B,14,0,0,0,0
5,"CACERES AMOROS, MATEO",SP. ATº CIUTAT DE PALMA,Suplente,Local,MALLORCA B,14,0,0,0,29
6,"SANS JIMENEZ, MIQUEL ANGEL",SP. ATº CIUTAT DE PALMA,Suplente,Local,MALLORCA B,14,0,0,0,23
12,"BLANCO VALERO, DAVID",SP. ATº CIUTAT DE PALMA,Suplente,Local,MALLORCA B,14,0,0,0,12
17,"AQUINO GUTIERREZ, DAN JOEL",SP. ATº CIUTAT DE PALMA,Suplente,Local,MALLORCA B,14,0,0,0,0
23,"GOMEZ BLANCA, AARON",SP. ATº CIUTAT DE PALMA,Suplente,Local,MALLORCA B,14,0,1,0,23
29,"KEITA SIDIBE, MADY",SP. ATº CIUTAT DE PALMA,Suplente,Local,MALLORCA B,14,0,0,0,23
1,"MERCADAL CARRERAS, JOSEP",MALLORCA B,Titular,Visitante,SP. ATº CIUTAT DE PALMA,14,0,0,0,90
2,"VERD ALONSO, ABEL",MALLORCA B,Titular,Visitante,SP. ATº CIUTAT DE PALMA,14,0,0,0,67
3,"FRESNEDA HIDALGO, HUGO",MALLORCA B,Titular,Visitante,SP. ATº CIUTAT DE PALMA,14,0,0,0,60
4,"VERA SALINAS, ERIK",MALLORCA B,Titular,Visitante,SP. ATº CIUTAT DE PALMA,14,0,0,0,90
5,"VAN DER MEER GARI, YANNICK",MALLORCA B,Titular,Visitante,SP. ATº CIUTAT DE PALMA,14,0,0,0,90
6,"BURGAYA GENOVART, FERRAN",MALLORCA B,Titular,Visitante,SP. ATº CIUTAT DE PALMA,14,0,0,0,90
7,"DIALLO CONDE, ABDOURAHAMANE",MALLORCA B,Titular,Visitante,SP. ATº CIUTAT DE PALMA,14,1,0,0,46
8,"BIARNES MORENO, ALEJANDRO",MALLORCA B,Titular,Visitante,SP. ATº CIUTAT DE PALMA,14,0,0,0,90
9,"WHYTE ODUNZE, MICHAEL IKENNA",MALLORCA B,Titular,Visitante,SP. ATº CIUTAT DE PALMA,14,0,0,0,85
10,"LAZARO TORRES, MARIO",MALLORCA B,Titular,Visitante,SP. ATº CIUTAT DE PALMA,14,0,0,0,67
11,"AVILÉS MAESTRE, JOEL",MALLORCA B,Titular,Visitante,SP. ATº CIUTAT DE PALMA,14,0,0,0,90
13,"VALLBONA SERRA, JOAN",MALLORCA B,Suplente,Visitante,SP. ATº CIUTAT DE PALMA,14,0,0,0,0
12,"TEJADA LLADONET, ORIOL",MALLORCA B,Suplente,Visitante,SP. ATº CIUTAT DE PALMA,14,0,0,0,30
14,"D'VAZ AFONSO, SPENCER GARCIA",MALLORCA B,Suplente,Visitante,SP. ATº CIUTAT DE PALMA,14,0,0,0,23
15,"HORRACH LLABRES, GERARDO",MALLORCA B,Suplente,Visitante,SP. ATº CIUTAT DE PALMA,14,0,0,0,0
16,"CORCINO MUÑOZ, ANDRES",MALLORCA B,Suplente,Visitante,SP. ATº CIUTAT DE PALMA,14,0,0,0,5
17,"MARTINEZ BELA, JAVIER",MALLORCA B,Suplente,Visitante,SP. ATº CIUTAT DE PALMA,14,0,0,0,23
18,"MOLINA DONAIRE, DANIEL",MALLORCA B,Suplente,Visitante,SP. ATº CIUTAT DE PALMA,14,1,0,0,44
