numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"MONTES DOMINGUEZ, ALBERTO",U D IBIZA A,Titular,Local,FERRERIES A,14,0,0,0,90
2,"AGUILAR COSTA, MARTÍ",U D IBIZA A,Titular,Local,FERRERIES A,14,0,0,0,90
3,"MARTOS VERGARA, DANIEL",U D IBIZA A,Titular,Local,FERRERIES A,14,0,1,0,90
5,"BALBURE CARDONA, ALEX",U D IBIZA A,Titular,Local,FERRERIES A,14,0,1,0,90
6,"GORLA, AGUSTIN",U D IBIZA A,Titular,Local,FERRERIES A,14,0,0,0,90
7,"RODRIGUEZ ROIG, ARIAN",U D IBIZA A,Titular,Local,FERRERIES A,14,0,0,0,65
8,"PERIAÑEZ RODRIGUEZ, DANIEL",U D IBIZA A,Titular,Local,FERRERIES A,14,0,0,0,90
9,"GARCIA ALBA, JAVIER",U D IBIZA A,Titular,Local,FERRERIES A,14,2,0,0,76
10,"BERNASCONI, SANTINO",U D IBIZA A,Titular,Local,FERRERIES A,14,1,1,0,90
11,"PUGLIESE, PAOLO ALBERTO",U D IBIZA A,Titular,Local,FERRERIES A,14,0,1,0,90
20,"ELIAS ARANDIA, SAMUEL ABEL",U D IBIZA A,Titular,Local,FERRERIES A,14,1,1,0,90
13,"AVOGADRO, TOMMASO",U D IBIZA A,Suplente,Local,FERRERIES A,14,0,0,0,0
4,"MEDINA ARANDA, SERGIO",U D IBIZA A,Suplente,Local,FERRERIES A,14,0,0,0,0
12,"GONZALEZ CASURIAGA, THIAGO",U D IBIZA A,Suplente,Local,FERRERIES A,14,0,0,0,0
15,"TORRES RIERA, LLUC",U D IBIZA A,Suplente,Local,FERRERIES A,14,0,0,0,25
16,"MARTIN LOPEZ, IKER",U D IBIZA A,Suplente,Local,FERRERIES A,14,0,0,0,0
18,"BONED GARCIA, ADRIÁ",U D IBIZA A,Suplente,Local,FERRERIES A,14,0,0,0,0
19,"BELTRAN ALVAREZ, SERGIO",U D IBIZA A,Suplente,Local,FERRERIES A,14,0,0,0,14
1,"SCHMIDT LOPEZ, JHAIRO EWELL",FERRERIES A,Titular,Visitante,U D IBIZA A,14,0,0,0,90
2,"FLORES BARRERA, GERARD",FERRERIES A,Titular,Visitante,U D IBIZA A,14,0,0,0,90
3,"FLORIT TAJUELO, HECTOR",FERRERIES A,Titular,Visitante,U D IBIZA A,14,1,0,0,90
5,"PULIDO COLL, IZAN",FERRERIES A,Titular,Visitante,U D IBIZA A,14,0,1,0,38
6,"BAGUR MOYA, HUGO",FERRERIES A,Titular,Visitante,U D IBIZA A,14,0,1,0,58
7,"DE LA PUERTA MARTORELL, JAUME",FERRERIES A,Titular,Visitante,U D IBIZA A,14,0,0,0,46
8,"GOMILA BOSCH, LLUÍS",FERRERIES A,Titular,Visitante,U D IBIZA A,14,2,0,0,90
9,"FEBRER VILLALONGA, ALBERT",FERRERIES A,Titular,Visitante,U D IBIZA A,14,1,1,0,90
14,"FAMIGLIETTI MARQUEZ, LUCA",FERRERIES A,Titular,Visitante,U D IBIZA A,14,0,0,0,90
17,"PONS CARRERAS, ANGEL",FERRERIES A,Titular,Visitante,U D IBIZA A,14,0,0,0,58
22,"SINTES PONS, PAU",FERRERIES A,Titular,Visitante,U D IBIZA A,14,0,2,0,90
25,"PONS MOLL, JOSEP LLUIS",FERRERIES A,Suplente,Visitante,U D IBIZA A,14,0,0,0,0
10,"BOSCH PULIDO, NIL",FERRERIES A,Suplente,Visitante,U D IBIZA A,14,0,0,0,44
11,"CANTALAPIEDRA LOBATO, IKER",FERRERIES A,Suplente,Visitante,U D IBIZA A,14,0,0,0,32
16,"MBAYE RUIZ, MOUHAMAD YASIN",FERRERIES A,Suplente,Visitante,U D IBIZA A,14,0,0,0,52
21,"ROTGER LÓPEZ, LLUC",FERRERIES A,Suplente,Visitante,U D IBIZA A,14,0,1,0,32
