numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"SCHMIDT LOPEZ, JHAIRO EWELL",FERRERIES A,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,15,0,0,0,90
2,"FLORES BARRERA, GERARD",FERRERIES A,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,15,0,0,0,90
3,"FLORIT TAJUELO, HECTOR",FERRERIES A,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,15,0,0,0,82
5,"PULIDO COLL, IZAN",FERRERIES A,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,15,0,0,0,90
6,"BAGUR MOYA, HUGO",FERRERIES A,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,15,0,0,0,90
7,"JANER BOSCH, NOFRE",FERRERIES A,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,15,0,0,0,50
8,"GOMILA BOSCH, LLUÍS",FERRERIES A,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,15,1,1,0,82
9,"FEBRER VILLALONGA, ALBERT",FERRERIES A,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,15,2,0,0,90
11,"CANTALAPIEDRA LOBATO, IKER",FERRERIES A,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,15,0,0,0,63
12,"TRIAY HIERRO, TEO",FERRERIES A,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,15,0,0,0,50
16,"MBAYE RUIZ, MOUHAMAD YASIN",FERRERIES A,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,15,0,1,0,90
10,"BOSCH PULIDO, NIL",FERRERIES A,Suplente,Local,PENYA CIUTADELLA ESPORTIVA A,15,0,1,0,27
14,"FAMIGLIETTI MARQUEZ, LUCA",FERRERIES A,Suplente,Local,PENYA CIUTADELLA ESPORTIVA A,15,0,0,0,8
17,"PONS CARRERAS, ANGEL",FERRERIES A,Suplente,Local,PENYA CIUTADELLA ESPORTIVA A,15,0,0,0,40
19,"DE LA PUERTA MARTORELL, JAUME",FERRERIES A,Suplente,Local,PENYA CIUTADELLA ESPORTIVA A,15,0,1,0,40
20,"BOSCH VALDERRABANO, TONI",FERRERIES A,Suplente,Local,PENYA CIUTADELLA ESPORTIVA A,15,0,0,0,8
21,"CAMPS CARETA, PERE",FERRERIES A,Suplente,Local,PENYA CIUTADELLA ESPORTIVA A,15,0,0,0,0
25,"PONS MOLL, JOSEP LLUIS",FERRERIES A,Suplente,Local,PENYA CIUTADELLA ESPORTIVA A,15,0,0,0,0
1,"GOMILA GOMILA, JOAN",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,FERRERIES A,15,0,0,0,90
2,"AGUILAR BOSCH, DAVID",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,FERRERIES A,15,0,1,0,57
3,"JUANEDA JUANEDA, JOSEP",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,FERRERIES A,15,0,0,0,86
5,"BERNAL VOIGT, YAMPEL RICHARD",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,FERRERIES A,15,0,1,0,86
7,"DIAZ LLABRES, ISAAC",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,FERRERIES A,15,1,0,0,90
9,"TRIAY SASTRE, ADRIA",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,FERRERIES A,15,0,1,0,90
10,"PONS MOLL, FRANCESC",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,FERRERIES A,15,1,1,0,90
11,"TALTAVULL JUANEDA, JOAN",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,FERRERIES A,15,0,0,0,57
15,"MOLL PONS, ROBERTO",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,FERRERIES A,15,0,0,0,81
21,"MARQUES BAGUR, JOAN",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,FERRERIES A,15,0,0,0,90
22,"CAMPS SEOANE, VICTOR",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,FERRERIES A,15,0,0,0,90
4,"FEDELICH MARQUES, JAN",PENYA CIUTADELLA ESPORTIVA A,Suplente,Visitante,FERRERIES A,15,0,0,0,4
8,"HUGUET ANGLADA, LLUIS",PENYA CIUTADELLA ESPORTIVA A,Suplente,Visitante,FERRERIES A,15,0,0,0,9
12,"ACHEKHLAF BENSSAID, AYOUD",PENYA CIUTADELLA ESPORTIVA A,Suplente,Visitante,FERRERIES A,15,0,0,0,4
13,"RIOJA GUILLEN, ALFONSO",PENYA CIUTADELLA ESPORTIVA A,Suplente,Visitante,FERRERIES A,15,0,0,0,0
14,"CAPO MORA, MARC",PENYA CIUTADELLA ESPORTIVA A,Suplente,Visitante,FERRERIES A,15,0,0,0,33
16,"PONCIANO BUESO, JOSEP",PENYA CIUTADELLA ESPORTIVA A,Suplente,Visitante,FERRERIES A,15,0,0,0,33
