numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"VALLBONA SERRA, JOAN",MALLORCA B,Titular,Local,ANDRATX A,15,0,0,0,90
2,"VERD ALONSO, ABEL",MALLORCA B,Titular,Local,ANDRATX A,15,0,0,0,90
3,"TEJADA LLADONET, ORIOL",MALLORCA B,Titular,Local,ANDRATX A,15,0,0,0,78
4,"D'VAZ AFONSO, SPENCER GARCIA",MALLORCA B,Titular,Local,ANDRATX A,15,0,0,0,90
5,"ALEMANY TOUS, MARC",MALLORCA B,Titular,Local,ANDRATX A,15,0,0,0,90
6,"BIARNES MORENO, ALEJANDRO",MALLORCA B,Titular,Local,ANDRATX A,15,0,0,0,90
7,"GARCIA LLOMPART, RAFEL",MALLORCA B,Titular,Local,ANDRATX A,15,0,0,0,65
8,"CORCINO MUÑOZ, ANDRES",MALLORCA B,Titular,Local,ANDRATX A,15,1,0,0,65
9,"WHYTE ODUNZE, MICHAEL IKENNA",MALLORCA B,Titular,Local,ANDRATX A,15,1,0,0,90
10,"MARTINEZ BELA, JAVIER",MALLORCA B,Titular,Local,ANDRATX A,15,0,0,0,46
11,"MOLINA DONAIRE, DANIEL",MALLORCA B,Titular,Local,ANDRATX A,15,0,0,0,78
13,"MERCADAL CARRERAS, JOSEP",MALLORCA B,Suplente,Local,ANDRATX A,15,0,0,0,0
12,"VERA SALINAS, ERIK",MALLORCA B,Suplente,Local,ANDRATX A,15,0,0,0,0
14,"FRESNEDA HIDALGO, HUGO",MALLORCA B,Suplente,Local,ANDRATX A,15,0,0,0,12
15,"BURGAYA GENOVART, FERRAN",MALLORCA B,Suplente,Local,ANDRATX A,15,0,0,0,25
16,"HORRACH LLABRES, GERARDO",MALLORCA B,Suplente,Local,ANDRATX A,15,0,0,0,44
17,"LAZARO TORRES, MARIO",MALLORCA B,Suplente,Local,ANDRATX A,15,0,0,0,12
18,"DIALLO CONDE, ABDOURAHAMANE",MALLORCA B,Suplente,Local,ANDRATX A,15,0,0,0,25
25,"HURTADO LOPEZ, IVAN",ANDRATX A,Titular,Visitante,MALLORCA B,15,0,0,0,90
2,"PATRICIO TORRRENS, JUAN",ANDRATX A,Titular,Visitante,MALLORCA B,15,0,2,0,90
4,"SANCHEZ JIMENEZ, FERNANDO",ANDRATX A,Titular,Visitante,MALLORCA B,15,0,0,0,90
6,"TUR HORRACH, HUG",ANDRATX A,Titular,Visitante,MALLORCA B,15,0,0,0,90
7,"LUPIAÑEZ ALEMANY, TONI",ANDRATX A,Titular,Visitante,MALLORCA B,15,0,0,0,61
8,"ALMERING, BEPPE",ANDRATX A,Titular,Visitante,MALLORCA B,15,0,1,0,90
10,"SANCHEZ RAMIREZ, JAVIER",ANDRATX A,Titular,Visitante,MALLORCA B,15,0,0,0,90
11,"JIMENEZ PASTOR, IKER",ANDRATX A,Titular,Visitante,MALLORCA B,15,0,0,0,61
16,"ROGEL ARRIAGA, BRYAN STALIN",ANDRATX A,Titular,Visitante,MALLORCA B,15,0,1,0,68
17,"DOBLAS TORRES, MIGUEL",ANDRATX A,Titular,Visitante,MALLORCA B,15,0,0,0,68
18,"AMER CASTILLO, MIGUEL",ANDRATX A,Titular,Visitante,MALLORCA B,15,0,0,0,90
1,"GAVILAN STAHN, NOAH",ANDRATX A,Suplente,Visitante,MALLORCA B,15,0,0,0,0
3,"ALARCON FERRER, ADRIAN",ANDRATX A,Suplente,Visitante,MALLORCA B,15,0,1,0,22
9,"VARGAS RODRIGUEZ, NICOLAS",ANDRATX A,Suplente,Visitante,MALLORCA B,15,0,0,0,29
12,"CASTELLO FERRA, JOAN",ANDRATX A,Suplente,Visitante,MALLORCA B,15,0,1,0,29
22,"HOMAR GARCIA, ROMAN",ANDRATX A,Suplente,Visitante,MALLORCA B,15,0,0,0,22
