numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"CATRON, URIAS",PALMA F.C.,Titular,Local,CONSTANCIA A,15,0,0,0,90
2,"ALCALDE ORTEGA, JUAN JOSÉ",PALMA F.C.,Titular,Local,CONSTANCIA A,15,0,0,0,90
3,"ROMERO ALASSIA, LUCAS T",PALMA F.C.,Titular,Local,CONSTANCIA A,15,0,1,0,46
4,JOAN,PALMA F.C.,Titular,Local,CONSTANCIA A,15,0,1,0,90
5,"FERRA OSPINA, CARLES JOAN",PALMA F.C.,Titular,Local,CONSTANCIA A,15,0,1,0,46
6,"GIL GOMILA, XAYRON",PALMA F.C.,Titular,Local,CONSTANCIA A,15,1,0,0,90
7,"VICENS VIDAL, PAU",PALMA F.C.,Titular,Local,CONSTANCIA A,15,0,0,0,54
8,"VILLALONGA GÓMEZ, IKER",PALMA F.C.,Titular,Local,CONSTANCIA A,15,0,0,0,54
9,"FRANCO SINGEORZAN, ALEX",PALMA F.C.,Titular,Local,CONSTANCIA A,15,0,0,0,90
10,"PORCEL MARTINEZ, JORDI",PALMA F.C.,Titular,Local,CONSTANCIA A,15,0,0,0,63
11,"NDIR GUEYE, MOUHAMADOUL LAMIN",PALMA F.C.,Titular,Local,CONSTANCIA A,15,0,0,0,90
12,"ORTEGA CASTILLA, HUGO",PALMA F.C.,Suplente,Local,CONSTANCIA A,15,0,0,0,0
13,"AZIZI BAIBOUN, OUSSAMA",PALMA F.C.,Suplente,Local,CONSTANCIA A,15,0,0,0,0
14,"MARCANO FLORIAN, SEBASTIAN JESUS",PALMA F.C.,Suplente,Local,CONSTANCIA A,15,0,0,0,36
15,"FOLGADO GARNICA, PAULO",PALMA F.C.,Suplente,Local,CONSTANCIA A,15,0,0,0,27
16,"JIMENEZ JARAMILLO, KARLO ANDREU",PALMA F.C.,Suplente,Local,CONSTANCIA A,15,0,0,0,36
17,"GOMEZ ACUÑA, RENSON ENRIQUE",PALMA F.C.,Suplente,Local,CONSTANCIA A,15,0,0,0,44
18,"MORELL SACRISTÁN, CARLOS",PALMA F.C.,Suplente,Local,CONSTANCIA A,15,0,0,0,44
13,"BOVER LLOMPART, JOSEP",CONSTANCIA A,Titular,Visitante,PALMA F.C.,15,0,0,0,90
3,"ROMAN DE REMENTERIA, ASIER",CONSTANCIA A,Titular,Visitante,PALMA F.C.,15,0,0,0,76
4,"CRESPI LUCENA, JUAN MIQUEL",CONSTANCIA A,Titular,Visitante,PALMA F.C.,15,0,0,0,90
5,"FONTCUBERTA GALINDO, GABRIEL",CONSTANCIA A,Titular,Visitante,PALMA F.C.,15,0,0,0,90
6,"BOTELLO CARMONA, PAU",CONSTANCIA A,Titular,Visitante,PALMA F.C.,15,0,0,0,76
7,"MARTIN MONSALVE, IAN",CONSTANCIA A,Titular,Visitante,PALMA F.C.,15,0,1,0,72
8,"COMPANY INGLA, JAUME",CONSTANCIA A,Titular,Visitante,PALMA F.C.,15,0,0,0,90
9,"BALLE BRUNET, JOAN",CONSTANCIA A,Titular,Visitante,PALMA F.C.,15,0,0,0,61
11,"COLL AREVALO, JORDI",CONSTANCIA A,Titular,Visitante,PALMA F.C.,15,2,0,0,90
14,"MORENO GODOY, NICOLAS",CONSTANCIA A,Titular,Visitante,PALMA F.C.,15,0,0,0,90
23,"BLANCO WEBER, LUCA",CONSTANCIA A,Titular,Visitante,PALMA F.C.,15,0,0,0,76
1,"MIR OLMO, JORDI",CONSTANCIA A,Suplente,Visitante,PALMA F.C.,15,0,0,0,0
10,"CABEZAS GALLARDO, MANUEL",CONSTANCIA A,Suplente,Visitante,PALMA F.C.,15,0,0,0,0
15,"KOUJILI EL TALHAOUI, MAROUAN",CONSTANCIA A,Suplente,Visitante,PALMA F.C.,15,0,0,0,14
16,"OLIVER GELABERT, PERE",CONSTANCIA A,Suplente,Visitante,PALMA F.C.,15,0,0,0,14
18,"PATRICIO GUAL, MARC",CONSTANCIA A,Suplente,Visitante,PALMA F.C.,15,0,0,0,29
19,"GALVEZ ESPINOZA, BRAD ANTONY",CONSTANCIA A,Suplente,Visitante,PALMA F.C.,15,0,0,0,14
20,"CHUKWUKERE PULLET, GREGORY IKECHUKWU",CONSTANCIA A,Suplente,Visitante,PALMA F.C.,15,0,0,0,18
