numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"MUÑOZ CAMPOY, IVAN",PENYA ARRABAL A,Titular,Local,U D IBIZA A,15,0,0,0,90
3,"MARTINEZ MUNTANER, SERGI",PENYA ARRABAL A,Titular,Local,U D IBIZA A,15,0,0,0,90
7,"ARIAS BESTARD, ENZO",PENYA ARRABAL A,Titular,Local,U D IBIZA A,15,0,0,0,66
8,"GARCIA HERNANDEZ, JOSE RAMON",PENYA ARRABAL A,Titular,Local,U D IBIZA A,15,0,0,0,90
10,"CRESPI BARRERA, LEONARDO",PENYA ARRABAL A,Titular,Local,U D IBIZA A,15,0,1,0,75
12,"MESQUIDA URIBE, XAVIER",PENYA ARRABAL A,Titular,Local,U D IBIZA A,15,0,0,0,90
14,"MAS MAIMO, JOSEP",PENYA ARRABAL A,Titular,Local,U D IBIZA A,15,1,0,0,90
15,"HERRERA IGLESIAS, ADRIAN",PENYA ARRABAL A,Titular,Local,U D IBIZA A,15,0,0,0,80
18,"FIOL ACEITUNO, MIQUEL",PENYA ARRABAL A,Titular,Local,U D IBIZA A,15,0,0,0,90
20,"PASCUAL RIERA, MIGUEL ANGEL",PENYA ARRABAL A,Titular,Local,U D IBIZA A,15,0,0,0,90
23,"SEGUI ESTEBAN, IAN",PENYA ARRABAL A,Titular,Local,U D IBIZA A,15,0,0,0,80
2,"ROTTLANDER, LENNOX MARKUS",PENYA ARRABAL A,Suplente,Local,U D IBIZA A,15,0,0,0,10
4,"VALLESPIR TIMONER, PERE MARC",PENYA ARRABAL A,Suplente,Local,U D IBIZA A,15,0,0,0,15
5,"BELFAQUIH ZBAT, ANUAR",PENYA ARRABAL A,Suplente,Local,U D IBIZA A,15,0,0,0,0
6,"MUÑOZ BAIXAULI, JUAN",PENYA ARRABAL A,Suplente,Local,U D IBIZA A,15,0,1,0,0
9,"LEBRERO BENITEZ, HUGO",PENYA ARRABAL A,Suplente,Local,U D IBIZA A,15,0,0,0,10
11,"VANEY BEVIONE, LUCAS",PENYA ARRABAL A,Suplente,Local,U D IBIZA A,15,0,0,0,24
13,"MANOLACHE POCOVI, DANIEL",PENYA ARRABAL A,Suplente,Local,U D IBIZA A,15,0,0,0,0
1,"MONTES DOMINGUEZ, ALBERTO",U D IBIZA A,Titular,Visitante,PENYA ARRABAL A,15,0,0,0,90
2,"AGUILAR COSTA, MARTÍ",U D IBIZA A,Titular,Visitante,PENYA ARRABAL A,15,0,0,0,1
3,"PERIAÑEZ RODRIGUEZ, DANIEL",U D IBIZA A,Titular,Visitante,PENYA ARRABAL A,15,0,0,0,90
4,"RODRIGUEZ MARTOS, AARON",U D IBIZA A,Titular,Visitante,PENYA ARRABAL A,15,0,0,0,90
5,"BALBURE CARDONA, ALEX",U D IBIZA A,Titular,Visitante,PENYA ARRABAL A,15,0,0,0,90
6,"GORLA, AGUSTIN",U D IBIZA A,Titular,Visitante,PENYA ARRABAL A,15,0,0,0,90
7,"MARTOS VERGARA, DANIEL",U D IBIZA A,Titular,Visitante,PENYA ARRABAL A,15,0,0,0,75
8,"TORRES RIERA, LLUC",U D IBIZA A,Titular,Visitante,PENYA ARRABAL A,15,0,0,0,46
9,"GARCIA ALBA, JAVIER",U D IBIZA A,Titular,Visitante,PENYA ARRABAL A,15,0,0,0,53
10,"BERNASCONI, SANTINO",U D IBIZA A,Titular,Visitante,PENYA ARRABAL A,15,0,0,0,90
11,"ELIAS ARANDIA, SAMUEL ABEL",U D IBIZA A,Titular,Visitante,PENYA ARRABAL A,15,0,0,0,90
12,"BONED GARCIA, ADRIÁ",U D IBIZA A,Suplente,Visitante,PENYA ARRABAL A,15,0,0,0,15
13,"AVOGADRO, TOMMASO",U D IBIZA A,Suplente,Visitante,PENYA ARRABAL A,15,0,0,0,0
14,"MEDINA ARANDA, SERGIO",U D IBIZA A,Suplente,Visitante,PENYA ARRABAL A,15,0,0,0,0
15,"LOPEZ CAPACETE, KENAI",U D IBIZA A,Suplente,Visitante,PENYA ARRABAL A,15,0,0,0,89
16,"BELTRAN ALVAREZ, SERGIO",U D IBIZA A,Suplente,Visitante,PENYA ARRABAL A,15,0,0,0,37
18,"RODRIGUEZ ROIG, ARIAN",U D IBIZA A,Suplente,Visitante,PENYA ARRABAL A,15,0,0,0,44
