numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"MARTINS CORRAL, DIEGO",SAN FRANCISCO B,Titular,Local,PLA DE NA TESA A,15,0,0,0,90
2,"LOPEZ CABRERA, JESUS",SAN FRANCISCO B,Titular,Local,PLA DE NA TESA A,15,0,0,0,90
3,"BORDOY LEAL, PEDRO",SAN FRANCISCO B,Titular,Local,PLA DE NA TESA A,15,0,0,0,77
4,"RIBAS MUÑOZ, SERGI",SAN FRANCISCO B,Titular,Local,PLA DE NA TESA A,15,0,0,0,90
5,"CLADERA SOBERATS, LLORENÇ",SAN FRANCISCO B,Titular,Local,PLA DE NA TESA A,15,0,0,0,90
6,"LEDESMA COR, MATEU",SAN FRANCISCO B,Titular,Local,PLA DE NA TESA A,15,0,0,0,90
7,"SALAMANCA GALERA, AITOR",SAN FRANCISCO B,Titular,Local,PLA DE NA TESA A,15,0,0,0,77
8,"GALLARDO DEL VALLE, BENJAMIN",SAN FRANCISCO B,Titular,Local,PLA DE NA TESA A,15,0,0,0,90
9,"CONDE PEREIRA, ALEJANDRO MANUEL",SAN FRANCISCO B,Titular,Local,PLA DE NA TESA A,15,0,0,0,45
10,"ALARCON CAVERO, JOEL",SAN FRANCISCO B,Titular,Local,PLA DE NA TESA A,15,0,0,0,90
11,"TEJADA RODRIGUEZ, JOAN",SAN FRANCISCO B,Titular,Local,PLA DE NA TESA A,15,0,0,0,45
13,"PRIOR, JUDE HARRY",SAN FRANCISCO B,Suplente,Local,PLA DE NA TESA A,15,0,0,0,0
12,"MASSANET CABRER, FRANCESC",SAN FRANCISCO B,Suplente,Local,PLA DE NA TESA A,15,0,0,0,45
14,"LLEDO SAMPOL, ADRIA",SAN FRANCISCO B,Suplente,Local,PLA DE NA TESA A,15,0,0,0,45
15,"BARRAGAN AGUILO, HECTOR DARIO",SAN FRANCISCO B,Suplente,Local,PLA DE NA TESA A,15,0,0,0,0
16,"SILVA SALINAS, ALEJANDRO",SAN FRANCISCO B,Suplente,Local,PLA DE NA TESA A,15,0,0,0,13
17,"LUNEGRO, BRUNO",SAN FRANCISCO B,Suplente,Local,PLA DE NA TESA A,15,0,0,0,13
18,"GIRALDE BAUZA, JAVIER",SAN FRANCISCO B,Suplente,Local,PLA DE NA TESA A,15,0,0,0,0
13,"FATY, MALANG",PLA DE NA TESA A,Titular,Visitante,SAN FRANCISCO B,15,0,0,0,90
2,"DRAGHI, MAXIMO",PLA DE NA TESA A,Titular,Visitante,SAN FRANCISCO B,15,0,0,0,90
3,"OSEGIE AMADASUN, MARVIN ISOKEN",PLA DE NA TESA A,Titular,Visitante,SAN FRANCISCO B,15,0,0,0,90
4,"GONZALEZ OBRADOR, ENRIC",PLA DE NA TESA A,Titular,Visitante,SAN FRANCISCO B,15,2,1,0,90
5,"ALONSO MUNICIO, PABLO",PLA DE NA TESA A,Titular,Visitante,SAN FRANCISCO B,15,0,0,0,90
6,"MARTINEZ ESPINOSA, DENIS",PLA DE NA TESA A,Titular,Visitante,SAN FRANCISCO B,15,0,0,0,69
7,"MORA GISPERT, HUGO",PLA DE NA TESA A,Titular,Visitante,SAN FRANCISCO B,15,0,0,0,90
8,"COULIBALY COULIBALY, MADANE",PLA DE NA TESA A,Titular,Visitante,SAN FRANCISCO B,15,0,0,0,90
10,"ONCALA CARAVACA, DANIEL",PLA DE NA TESA A,Titular,Visitante,SAN FRANCISCO B,15,0,0,0,90
11,"MASCARÓ SERVERA, JUAN",PLA DE NA TESA A,Titular,Visitante,SAN FRANCISCO B,15,0,0,0,81
19,"ASAMOAH ASANTEWAA, DENIS",PLA DE NA TESA A,Titular,Visitante,SAN FRANCISCO B,15,0,0,0,69
1,"CRUZ SEGUI, SERGIO",PLA DE NA TESA A,Suplente,Visitante,SAN FRANCISCO B,15,0,0,0,0
14,"NAVARRO BEZARES, JAVIER",PLA DE NA TESA A,Suplente,Visitante,SAN FRANCISCO B,15,0,0,0,21
15,"CACERES COMAS, SERGI",PLA DE NA TESA A,Suplente,Visitante,SAN FRANCISCO B,15,0,0,0,9
16,"FERNÁNDEZ RODRÍGUEZ, IKER",PLA DE NA TESA A,Suplente,Visitante,SAN FRANCISCO B,15,0,1,0,0
17,"AIT SAID TAFZATI, NABIL",PLA DE NA TESA A,Suplente,Visitante,SAN FRANCISCO B,15,0,0,0,0
18,"MONTES MORALES, ADRIAN",PLA DE NA TESA A,Suplente,Visitante,SAN FRANCISCO B,15,0,0,0,0
20,"MONTALBAN ROMERO, MILO JERONIMO",PLA DE NA TESA A,Suplente,Visitante,SAN FRANCISCO B,15,0,0,0,21
