numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
13,"SILVA GIORGIO, AGUSTIN",SD LA SALLE A,Titular,Local,MANACOR A,15,0,0,0,90
2,"PANEQUE PÉREZ, JOEL",SD LA SALLE A,Titular,Local,MANACOR A,15,0,0,0,90
3,"MOYA PEDREGOSA, ALEJANDRO",SD LA SALLE A,Titular,Local,MANACOR A,15,0,0,0,90
4,"VIZCAINO SEGURA, ALAN",SD LA SALLE A,Titular,Local,MANACOR A,15,0,0,0,58
6,"AMAYA MALENO, FRANCISCO",SD LA SALLE A,Titular,Local,MANACOR A,15,0,0,0,58
7,"FERNANDEZ CABRERA, DAVID",SD LA SALLE A,Titular,Local,MANACOR A,15,0,0,0,90
8,"CORTES BOIXO, ALEIX",SD LA SALLE A,Titular,Local,MANACOR A,15,0,0,0,90
9,"PETRARCA, ELIA",SD LA SALLE A,Titular,Local,MANACOR A,15,1,0,0,64
10,"FUSTER CORTES, FERNANDO",SD LA SALLE A,Titular,Local,MANACOR A,15,1,0,0,70
11,"RODRIGUEZ MONGELOS, GAEL PAU",SD LA SALLE A,Titular,Local,MANACOR A,15,1,0,0,58
20,"VIVARES ARANDA, YANNICK",SD LA SALLE A,Titular,Local,MANACOR A,15,1,0,0,90
1,"FONTANET REUS, TOMAS",SD LA SALLE A,Suplente,Local,MANACOR A,15,0,0,0,0
12,"COMAS HUTTEN, PAU LLUIS",SD LA SALLE A,Suplente,Local,MANACOR A,15,0,0,0,32
14,"ESCUERO PARDOS, MARTI",SD LA SALLE A,Suplente,Local,MANACOR A,15,0,0,0,32
15,"MARTI RODRIGUEZ, IVAN",SD LA SALLE A,Suplente,Local,MANACOR A,15,1,0,0,32
16,"SALMERON SEGURA, JONATHAN",SD LA SALLE A,Suplente,Local,MANACOR A,15,0,0,0,26
17,"GIL MASSANET, LLUIS",SD LA SALLE A,Suplente,Local,MANACOR A,15,0,0,0,20
1,"RADO ASENCIO, IKER",MANACOR A,Titular,Visitante,SD LA SALLE A,15,0,0,0,90
2,"LAMSIAH AJGHOUF, OSSAMA",MANACOR A,Titular,Visitante,SD LA SALLE A,15,0,0,0,90
7,"LAKHAL ZEROUALE, SAAD",MANACOR A,Titular,Visitante,SD LA SALLE A,15,0,0,0,58
8,"MARCOS MONGE, IKER",MANACOR A,Titular,Visitante,SD LA SALLE A,15,0,0,0,70
9,"ADROVER GARRIDO, ALBERT",MANACOR A,Titular,Visitante,SD LA SALLE A,15,0,0,0,90
11,"CORCHADO JIMENEZ, ISAAC",MANACOR A,Titular,Visitante,SD LA SALLE A,15,0,0,0,90
14,"GUICHANDUT GOMILA, MARC",MANACOR A,Titular,Visitante,SD LA SALLE A,15,0,0,0,90
19,"RODRIGUEZ GALDON, DANIEL",MANACOR A,Titular,Visitante,SD LA SALLE A,15,0,0,0,58
20,"ADROVER GARRIDO, GERARD",MANACOR A,Titular,Visitante,SD LA SALLE A,15,0,0,0,64
22,"MONTES CARDONA, CHRISTIAN",MANACOR A,Titular,Visitante,SD LA SALLE A,15,0,0,0,90
23,"MARTINEZ ABELLAN, IKER",MANACOR A,Titular,Visitante,SD LA SALLE A,15,0,0,0,46
4,"GRAHAM, NATHAN STUART",MANACOR A,Suplente,Visitante,SD LA SALLE A,15,0,0,0,44
15,"NOLAN MUÑOZ, SERGIO",MANACOR A,Suplente,Visitante,SD LA SALLE A,15,0,0,0,32
16,"DOMINICI ALMONTE, ANTHONY DE JESUS",MANACOR A,Suplente,Visitante,SD LA SALLE A,15,0,0,0,0
18,"SOLER CALDENTEY, JOEL",MANACOR A,Suplente,Visitante,SD LA SALLE A,15,0,0,0,32
21,"TRIAY PETHERAM, TOMAS ISMAEL",MANACOR A,Suplente,Visitante,SD LA SALLE A,15,0,0,0,20
24,"RODRIGUEZ LOPEZ, RAUL",MANACOR A,Suplente,Visitante,SD LA SALLE A,15,0,0,0,26
25,"BURGUERA BONET, JULIÀ",MANACOR A,Suplente,Visitante,SD LA SALLE A,15,0,0,0,0
