numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"GONZALEZ VASQUEZ, LUIS JOSE",SP. ATº CIUTAT DE PALMA,Titular,Local,POBLENSE A,15,0,0,0,90
3,"PUJOL FONT, JAUME",SP. ATº CIUTAT DE PALMA,Titular,Local,POBLENSE A,15,0,0,0,86
4,"ORDOÑEZ QUETGLAS, MARC",SP. ATº CIUTAT DE PALMA,Titular,Local,POBLENSE A,15,0,0,0,90
5,"CACERES AMOROS, MATEO",SP. ATº CIUTAT DE PALMA,Titular,Local,POBLENSE A,15,0,1,0,86
6,"SANS JIMENEZ, MIQUEL ANGEL",SP. ATº CIUTAT DE PALMA,Titular,Local,POBLENSE A,15,0,0,0,55
7,"SANCHO OLIVER, PEDRO",SP. ATº CIUTAT DE PALMA,Titular,Local,POBLENSE A,15,0,0,0,90
10,"SARMIENTO CABAÑIN, GABRIEL A",SP. ATº CIUTAT DE PALMA,Titular,Local,POBLENSE A,15,0,1,0,90
11,"KRZYZYK SERRANO, PEDRO",SP. ATº CIUTAT DE PALMA,Titular,Local,POBLENSE A,15,0,0,0,90
17,"AQUINO GUTIERREZ, DAN JOEL",SP. ATº CIUTAT DE PALMA,Titular,Local,POBLENSE A,15,0,0,0,55
18,"CORTES MONTANER, LUIS",SP. ATº CIUTAT DE PALMA,Titular,Local,POBLENSE A,15,0,0,0,90
21,"KRAUSSE, IGNACIO TOMAS",SP. ATº CIUTAT DE PALMA,Titular,Local,POBLENSE A,15,0,0,0,80
8,"FERNÁNDEZ CASSO, ALBERTO",SP. ATº CIUTAT DE PALMA,Suplente,Local,POBLENSE A,15,0,1,0,4
9,"ABRAHAM BOLAÑOS, ISAAC",SP. ATº CIUTAT DE PALMA,Suplente,Local,POBLENSE A,15,0,0,0,35
13,"CABELLOS CRUZ, ENRIQUE",SP. ATº CIUTAT DE PALMA,Suplente,Local,POBLENSE A,15,0,0,0,0
14,"AMENGUAL LIRIO, IVAN",SP. ATº CIUTAT DE PALMA,Suplente,Local,POBLENSE A,15,0,0,0,0
20,"BARRY DIALLO, MAMADOU ALIOU",SP. ATº CIUTAT DE PALMA,Suplente,Local,POBLENSE A,15,0,0,0,4
23,"GOMEZ BLANCA, AARON",SP. ATº CIUTAT DE PALMA,Suplente,Local,POBLENSE A,15,0,1,0,35
29,"KEITA SIDIBE, MADY",SP. ATº CIUTAT DE PALMA,Suplente,Local,POBLENSE A,15,0,0,0,10
1,"BOUJJIA, AMIN",POBLENSE A,Titular,Visitante,SP. ATº CIUTAT DE PALMA,15,0,0,0,90
4,"ENSEÑAT RAMIS, MIQUEL",POBLENSE A,Titular,Visitante,SP. ATº CIUTAT DE PALMA,15,0,0,0,90
6,"AGUILERA PERELLO, ADRIÀ",POBLENSE A,Titular,Visitante,SP. ATº CIUTAT DE PALMA,15,0,1,0,90
8,"THIAM BORRAS, KARIM",POBLENSE A,Titular,Visitante,SP. ATº CIUTAT DE PALMA,15,0,0,0,37
10,"CHICA COMAS, JUAN A",POBLENSE A,Titular,Visitante,SP. ATº CIUTAT DE PALMA,15,0,1,0,90
11,"RETTICH SOLER, JOSEP",POBLENSE A,Titular,Visitante,SP. ATº CIUTAT DE PALMA,15,0,0,0,90
18,"MORAGUES MORAGUES, JOAN",POBLENSE A,Titular,Visitante,SP. ATº CIUTAT DE PALMA,15,0,0,0,62
21,"VIVES COMAS, JOAN JORDI",POBLENSE A,Titular,Visitante,SP. ATº CIUTAT DE PALMA,15,0,0,0,90
22,"GONZÁLEZ ONETO, ASSIER",POBLENSE A,Titular,Visitante,SP. ATº CIUTAT DE PALMA,15,0,0,0,62
23,"RIERA MARTÍNEZ, FERRAN",POBLENSE A,Titular,Visitante,SP. ATº CIUTAT DE PALMA,15,1,0,0,90
25,"TUR ESCALAS, TONI",POBLENSE A,Titular,Visitante,SP. ATº CIUTAT DE PALMA,15,0,1,0,90
2,"GIBSON, JASPER",POBLENSE A,Suplente,Visitante,SP. ATº CIUTAT DE PALMA,15,1,0,0,28
5,"DE LA CRUZ RIERA, JOAN MATEU",POBLENSE A,Suplente,Visitante,SP. ATº CIUTAT DE PALMA,15,0,0,0,0
7,"CAIMARI FIGUEROLA, JAUME",POBLENSE A,Suplente,Visitante,SP. ATº CIUTAT DE PALMA,15,0,0,0,53
9,"FERRER RIGO, SEBASTIÀ",POBLENSE A,Suplente,Visitante,SP. ATº CIUTAT DE PALMA,15,0,0,0,0
12,"MEFTAH ES SALEMY, BILAL",POBLENSE A,Suplente,Visitante,SP. ATº CIUTAT DE PALMA,15,0,0,0,28
13,"OLIVER RAMIS, PEP",POBLENSE A,Suplente,Visitante,SP. ATº CIUTAT DE PALMA,15,0,0,0,0
17,"CANTARELLAS CRESPI, MATEU",POBLENSE A,Suplente,Visitante,SP. ATº CIUTAT DE PALMA,15,0,0,0,0
