numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
25,"HURTADO LOPEZ, IVAN",ANDRATX A,Titular,Local,POBLENSE A,16,0,0,0,90
3,"ALARCON FERRER, ADRIAN",ANDRATX A,Titular,Local,POBLENSE A,16,0,0,0,88
4,"SANCHEZ JIMENEZ, FERNANDO",ANDRATX A,Titular,Local,POBLENSE A,16,0,1,0,90
6,"TUR HORRACH, HUG",ANDRATX A,Titular,Local,POBLENSE A,16,0,0,0,88
7,"LUPIAÑEZ ALEMANY, TONI",ANDRATX A,Titular,Local,POBLENSE A,16,0,2,0,90
8,"ALMERING, BEPPE",ANDRATX A,Titular,Local,POBLENSE A,16,0,1,0,90
9,"VARGAS RODRIGUEZ, NICOLAS",ANDRATX A,Titular,Local,POBLENSE A,16,0,0,0,71
10,"SANCHEZ RAMIREZ, JAVIER",ANDRATX A,Titular,Local,POBLENSE A,16,0,0,0,90
11,"JIMENEZ PASTOR, IKER",ANDRATX A,Titular,Local,POBLENSE A,16,0,0,0,71
16,"ROGEL ARRIAGA, BRYAN STALIN",ANDRATX A,Titular,Local,POBLENSE A,16,0,1,0,90
22,"HOMAR GARCIA, ROMAN",ANDRATX A,Titular,Local,POBLENSE A,16,0,0,0,83
13,"FERREIRA MENDEZ, RAFAEL",ANDRATX A,Suplente,Local,POBLENSE A,16,0,0,0,0
12,"CASTELLO FERRA, JOAN",ANDRATX A,Suplente,Local,POBLENSE A,16,0,0,0,19
15,"LEFTER, ANDREI FABIAN",ANDRATX A,Suplente,Local,POBLENSE A,16,0,0,0,7
17,"DOBLAS TORRES, MIGUEL",ANDRATX A,Suplente,Local,POBLENSE A,16,0,0,0,19
18,"AMER CASTILLO, MIGUEL",ANDRATX A,Suplente,Local,POBLENSE A,16,0,0,0,2
19,"SEOANE MACIAS, DANIEL",ANDRATX A,Suplente,Local,POBLENSE A,16,0,0,0,2
24,"ORDOÑEZ SANSO, MIGUEL A",ANDRATX A,Suplente,Local,POBLENSE A,16,0,0,0,0
13,"OLIVER RAMIS, PEP",POBLENSE A,Titular,Visitante,ANDRATX A,16,0,0,0,90
4,"ENSEÑAT RAMIS, MIQUEL",POBLENSE A,Titular,Visitante,ANDRATX A,16,0,0,0,90
5,"DE LA CRUZ RIERA, JOAN MATEU",POBLENSE A,Titular,Visitante,ANDRATX A,16,0,0,0,90
6,"AGUILERA PERELLO, ADRIÀ",POBLENSE A,Titular,Visitante,ANDRATX A,16,0,1,0,90
8,"THIAM BORRAS, KARIM",POBLENSE A,Titular,Visitante,ANDRATX A,16,0,0,0,90
9,"FERRER RIGO, SEBASTIÀ",POBLENSE A,Titular,Visitante,ANDRATX A,16,0,0,0,76
10,"CHICA COMAS, JUAN A",POBLENSE A,Titular,Visitante,ANDRATX A,16,0,0,0,90
11,"RETTICH SOLER, JOSEP",POBLENSE A,Titular,Visitante,ANDRATX A,16,1,1,0,90
21,"VIVES COMAS, JOAN JORDI",POBLENSE A,Titular,Visitante,ANDRATX A,16,0,0,0,90
23,"RIERA MARTÍNEZ, FERRAN",POBLENSE A,Titular,Visitante,ANDRATX A,16,0,0,0,90
25,"TUR ESCALAS, TONI",POBLENSE A,Titular,Visitante,ANDRATX A,16,0,0,0,90
1,"BOUJJIA, AMIN",POBLENSE A,Suplente,Visitante,ANDRATX A,16,0,0,0,0
2,"GIBSON, JASPER",POBLENSE A,Suplente,Visitante,ANDRATX A,16,0,0,0,0
3,"MENDEZ DUARTE, IVAN",POBLENSE A,Suplente,Visitante,ANDRATX A,16,0,0,0,0
7,"CAIMARI FIGUEROLA, JAUME",POBLENSE A,Suplente,Visitante,ANDRATX A,16,0,0,0,0
12,"MEFTAH ES SALEMY, BILAL",POBLENSE A,Suplente,Visitante,ANDRATX A,16,0,0,0,0
14,"GONZÁLEZ ONETO, ASSIER",POBLENSE A,Suplente,Visitante,ANDRATX A,16,0,0,0,14
18,"MORAGUES MORAGUES, JOAN",POBLENSE A,Suplente,Visitante,ANDRATX A,16,0,0,0,0
