numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"MIR OLMO, JORDI",CONSTANCIA A,Titular,Local,PENYA INDEPENDENT A,16,0,0,0,90
5,"FONTCUBERTA GALINDO, GABRIEL",CONSTANCIA A,Titular,Local,PENYA INDEPENDENT A,16,0,0,0,90
6,"BOTELLO CARMONA, PAU",CONSTANCIA A,Titular,Local,PENYA INDEPENDENT A,16,0,1,0,46
8,"COMPANY INGLA, JAUME",CONSTANCIA A,Titular,Local,PENYA INDEPENDENT A,16,0,0,0,90
10,"CABEZAS GALLARDO, MANUEL",CONSTANCIA A,Titular,Local,PENYA INDEPENDENT A,16,0,0,0,61
11,"COLL AREVALO, JORDI",CONSTANCIA A,Titular,Local,PENYA INDEPENDENT A,16,0,0,0,71
14,"MORENO GODOY, NICOLAS",CONSTANCIA A,Titular,Local,PENYA INDEPENDENT A,16,0,0,0,90
15,"KOUJILI EL TALHAOUI, MAROUAN",CONSTANCIA A,Titular,Local,PENYA INDEPENDENT A,16,0,0,0,46
18,"PATRICIO GUAL, MARC",CONSTANCIA A,Titular,Local,PENYA INDEPENDENT A,16,0,1,0,90
22,"MAIRATA NOGUERA, ADRIA",CONSTANCIA A,Titular,Local,PENYA INDEPENDENT A,16,0,1,0,90
23,"BLANCO WEBER, LUCA",CONSTANCIA A,Titular,Local,PENYA INDEPENDENT A,16,1,0,0,65
13,"BOVER LLOMPART, JOSEP",CONSTANCIA A,Suplente,Local,PENYA INDEPENDENT A,16,0,0,0,0
4,"CRESPI LUCENA, JUAN MIQUEL",CONSTANCIA A,Suplente,Local,PENYA INDEPENDENT A,16,0,0,0,44
9,"BALLE BRUNET, JOAN",CONSTANCIA A,Suplente,Local,PENYA INDEPENDENT A,16,0,0,0,44
16,"OLIVER GELABERT, PERE",CONSTANCIA A,Suplente,Local,PENYA INDEPENDENT A,16,0,0,0,19
17,"SABATER SANCHO, MARC",CONSTANCIA A,Suplente,Local,PENYA INDEPENDENT A,16,0,0,0,25
19,"GALVEZ ESPINOZA, BRAD ANTONY",CONSTANCIA A,Suplente,Local,PENYA INDEPENDENT A,16,0,0,0,29
20,"CHUKWUKERE PULLET, GREGORY IKECHUKWU",CONSTANCIA A,Suplente,Local,PENYA INDEPENDENT A,16,0,0,0,0
1,"RAMON DIAZ, HUGO",PENYA INDEPENDENT A,Titular,Visitante,CONSTANCIA A,16,0,0,0,90
2,"MARTINEZ GARCIA, ENRIQUE",PENYA INDEPENDENT A,Titular,Visitante,CONSTANCIA A,16,0,0,0,90
3,"VIERA GONZALEZ, SANTIAGO",PENYA INDEPENDENT A,Titular,Visitante,CONSTANCIA A,16,0,0,0,90
4,"MARTINEZ JUAN, MARTIN",PENYA INDEPENDENT A,Titular,Visitante,CONSTANCIA A,16,0,0,0,90
6,"OROZCO RIERA, ASIER",PENYA INDEPENDENT A,Titular,Visitante,CONSTANCIA A,16,0,0,0,77
7,"LOPEZ MARI, PABLO",PENYA INDEPENDENT A,Titular,Visitante,CONSTANCIA A,16,0,0,0,90
9,"CORDOBA TUR, MARC",PENYA INDEPENDENT A,Titular,Visitante,CONSTANCIA A,16,0,0,0,58
14,"FERRER TORRES, PEDRO",PENYA INDEPENDENT A,Titular,Visitante,CONSTANCIA A,16,0,0,0,46
15,"FAQUINETTI VERGILIO, SAMUEL",PENYA INDEPENDENT A,Titular,Visitante,CONSTANCIA A,16,0,0,0,90
17,"ODERA PACILIO, SANTIAGO",PENYA INDEPENDENT A,Titular,Visitante,CONSTANCIA A,16,0,1,0,65
20,"BERNHARDT, JOEL PIOTR",PENYA INDEPENDENT A,Titular,Visitante,CONSTANCIA A,16,0,0,0,58
5,"GRANDA VILLAVICENCIO, DAVID JOAN",PENYA INDEPENDENT A,Suplente,Visitante,CONSTANCIA A,16,0,0,0,0
8,"GHARBI KHAMMAL EL BAKKALI, NASROLLAH",PENYA INDEPENDENT A,Suplente,Visitante,CONSTANCIA A,16,0,0,0,44
10,"EL HABBOULA EL KORTOBI, ABDELMOIZE",PENYA INDEPENDENT A,Suplente,Visitante,CONSTANCIA A,16,0,0,0,32
11,"FERRER ROIG, JAUME",PENYA INDEPENDENT A,Suplente,Visitante,CONSTANCIA A,16,0,0,0,32
18,"LLAMAS MARTINEZ, ERIC",PENYA INDEPENDENT A,Suplente,Visitante,CONSTANCIA A,16,0,0,0,13
19,"ARORA, VIRAJ",PENYA INDEPENDENT A,Suplente,Visitante,CONSTANCIA A,16,0,0,0,25
