numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"GOMILA GOMILA, JOAN",PENYA CIUTADELLA ESPORTIVA A,Titular,Local,PENYA ARRABAL A,16,0,0,0,90
2,"AGUILAR BOSCH, DAVID",PENYA CIUTADELLA ESPORTIVA A,Titular,Local,PENYA ARRABAL A,16,0,0,0,45
4,"FEDELICH MARQUES, JAN",PENYA CIUTADELLA ESPORTIVA A,Titular,Local,PENYA ARRABAL A,16,0,0,0,63
5,"BERNAL VOIGT, YAMPEL RICHARD",PENYA CIUTADELLA ESPORTIVA A,Titular,Local,PENYA ARRABAL A,16,0,0,0,90
7,"DIAZ LLABRES, ISAAC",PENYA CIUTADELLA ESPORTIVA A,Titular,Local,PENYA ARRABAL A,16,1,0,0,90
9,"TRIAY SASTRE, ADRIA",PENYA CIUTADELLA ESPORTIVA A,Titular,Local,PENYA ARRABAL A,16,0,1,0,83
10,"PONS MOLL, FRANCESC",PENYA CIUTADELLA ESPORTIVA A,Titular,Local,PENYA ARRABAL A,16,0,0,0,90
12,"LEON JUAN, VICTOR",PENYA CIUTADELLA ESPORTIVA A,Titular,Local,PENYA ARRABAL A,16,0,0,0,54
15,"MOLL PONS, ROBERTO",PENYA CIUTADELLA ESPORTIVA A,Titular,Local,PENYA ARRABAL A,16,0,0,0,63
16,"PONCIANO BUESO, JOSEP",PENYA CIUTADELLA ESPORTIVA A,Titular,Local,PENYA ARRABAL A,16,0,0,0,90
22,"CAMPS SEOANE, VICTOR",PENYA CIUTADELLA ESPORTIVA A,Titular,Local,PENYA ARRABAL A,16,0,0,0,90
3,"JUANEDA JUANEDA, JOSEP",PENYA CIUTADELLA ESPORTIVA A,Suplente,Local,PENYA ARRABAL A,16,0,0,0,36
13,"RIOJA GUILLEN, ALFONSO",PENYA CIUTADELLA ESPORTIVA A,Suplente,Local,PENYA ARRABAL A,16,0,0,0,0
14,"CAPO MORA, MARC",PENYA CIUTADELLA ESPORTIVA A,Suplente,Local,PENYA ARRABAL A,16,0,1,0,45
18,"LOPEZ GONZALEZ, ALEJANDRO",PENYA CIUTADELLA ESPORTIVA A,Suplente,Local,PENYA ARRABAL A,16,1,0,0,27
19,"ARGUIMBAU ALLES, MACIA",PENYA CIUTADELLA ESPORTIVA A,Suplente,Local,PENYA ARRABAL A,16,0,0,0,7
21,"MARQUES BAGUR, JOAN",PENYA CIUTADELLA ESPORTIVA A,Suplente,Local,PENYA ARRABAL A,16,0,0,0,27
13,"MANOLACHE POCOVI, DANIEL",PENYA ARRABAL A,Titular,Visitante,PENYA CIUTADELLA ESPORTIVA A,16,0,0,0,90
2,"ROTTLANDER, LENNOX MARKUS",PENYA ARRABAL A,Titular,Visitante,PENYA CIUTADELLA ESPORTIVA A,16,0,0,0,45
3,"MARTINEZ MUNTANER, SERGI",PENYA ARRABAL A,Titular,Visitante,PENYA CIUTADELLA ESPORTIVA A,16,0,0,0,90
7,"VALLESPIR TIMONER, PERE MARC",PENYA ARRABAL A,Titular,Visitante,PENYA CIUTADELLA ESPORTIVA A,16,0,0,0,66
8,"FIOL ACEITUNO, MIQUEL",PENYA ARRABAL A,Titular,Visitante,PENYA CIUTADELLA ESPORTIVA A,16,0,0,0,90
10,"CRESPI BARRERA, LEONARDO",PENYA ARRABAL A,Titular,Visitante,PENYA CIUTADELLA ESPORTIVA A,16,0,0,0,90
11,"VAZQUEZ SUAREZ, HUGO",PENYA ARRABAL A,Titular,Visitante,PENYA CIUTADELLA ESPORTIVA A,16,0,0,0,66
12,"MESQUIDA URIBE, XAVIER",PENYA ARRABAL A,Titular,Visitante,PENYA CIUTADELLA ESPORTIVA A,16,0,1,0,90
14,"MAS MAIMO, JOSEP",PENYA ARRABAL A,Titular,Visitante,PENYA CIUTADELLA ESPORTIVA A,16,0,0,0,90
15,"HERRERA IGLESIAS, ADRIAN",PENYA ARRABAL A,Titular,Visitante,PENYA CIUTADELLA ESPORTIVA A,16,0,0,0,90
19,"SEGUI ESTEBAN, IAN",PENYA ARRABAL A,Titular,Visitante,PENYA CIUTADELLA ESPORTIVA A,16,0,0,0,30
1,"MUÑOZ CAMPOY, IVAN",PENYA ARRABAL A,Suplente,Visitante,PENYA CIUTADELLA ESPORTIVA A,16,0,0,0,0
5,"BELFAQUIH ZBAT, ANUAR",PENYA ARRABAL A,Suplente,Visitante,PENYA CIUTADELLA ESPORTIVA A,16,0,0,0,0
9,"LEBRERO BENITEZ, HUGO",PENYA ARRABAL A,Suplente,Visitante,PENYA CIUTADELLA ESPORTIVA A,16,0,0,0,60
17,"ARIAS BESTARD, ENZO",PENYA ARRABAL A,Suplente,Visitante,PENYA CIUTADELLA ESPORTIVA A,16,0,0,0,24
20,"PASCUAL RIERA, MIGUEL ANGEL",PENYA ARRABAL A,Suplente,Visitante,PENYA CIUTADELLA ESPORTIVA A,16,0,0,0,45
22,"PONS SERRANO, ALEIX",PENYA ARRABAL A,Suplente,Visitante,PENYA CIUTADELLA ESPORTIVA A,16,0,0,0,24
