numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
13,"FATY, MALANG",PLA DE NA TESA A,Titular,Local,PALMA F.C.,16,0,0,0,90
2,"DRAGHI, MAXIMO",PLA DE NA TESA A,Titular,Local,PALMA F.C.,16,0,0,0,90
3,"OSEGIE AMADASUN, MARVIN ISOKEN",PLA DE NA TESA A,Titular,Local,PALMA F.C.,16,0,0,0,90
4,"GONZALEZ OBRADOR, ENRIC",PLA DE NA TESA A,Titular,Local,PALMA F.C.,16,1,1,0,90
5,"NAVARRO BEZARES, JAVIER",PLA DE NA TESA A,Titular,Local,PALMA F.C.,16,0,1,0,82
6,"ALONSO MUNICIO, PABLO",PLA DE NA TESA A,Titular,Local,PALMA F.C.,16,0,0,0,90
7,"MORA GISPERT, HUGO",PLA DE NA TESA A,Titular,Local,PALMA F.C.,16,0,0,0,90
8,"COULIBALY COULIBALY, MADANE",PLA DE NA TESA A,Titular,Local,PALMA F.C.,16,0,1,0,82
9,"MONTALBAN ROMERO, MILO JERONIMO",PLA DE NA TESA A,Titular,Local,PALMA F.C.,16,1,0,0,46
10,"ONCALA CARAVACA, DANIEL",PLA DE NA TESA A,Titular,Local,PALMA F.C.,16,0,0,0,90
11,"MASCARÓ SERVERA, JUAN",PLA DE NA TESA A,Titular,Local,PALMA F.C.,16,0,1,0,75
1,"CRUZ SEGUI, SERGIO",PLA DE NA TESA A,Suplente,Local,PALMA F.C.,16,0,0,0,0
14,"MARTINEZ ESPINOSA, DENIS",PLA DE NA TESA A,Suplente,Local,PALMA F.C.,16,0,0,0,8
15,"CACERES COMAS, SERGI",PLA DE NA TESA A,Suplente,Local,PALMA F.C.,16,0,0,0,15
16,"MESA ZAFRA, CHRISTIAN",PLA DE NA TESA A,Suplente,Local,PALMA F.C.,16,0,0,0,8
17,"AIT SAID TAFZATI, NABIL",PLA DE NA TESA A,Suplente,Local,PALMA F.C.,16,0,0,0,0
18,"PORCEL ESTELRICH, ALBERT",PLA DE NA TESA A,Suplente,Local,PALMA F.C.,16,0,0,0,0
19,"ASAMOAH ASANTEWAA, DENIS",PLA DE NA TESA A,Suplente,Local,PALMA F.C.,16,0,0,0,44
1,"AZIZI BAIBOUN, OUSSAMA",PALMA F.C.,Titular,Visitante,PLA DE NA TESA A,16,0,0,0,90
2,"PELLEGRINO, NICOLA EMANUELE",PALMA F.C.,Titular,Visitante,PLA DE NA TESA A,16,0,0,0,46
3,"CONDE, MAMADI",PALMA F.C.,Titular,Visitante,PLA DE NA TESA A,16,0,0,0,57
4,"ALCALDE ORTEGA, JUAN JOSÉ",PALMA F.C.,Titular,Visitante,PLA DE NA TESA A,16,0,1,0,90
5,"GOMEZ ACUÑA, RENSON ENRIQUE",PALMA F.C.,Titular,Visitante,PLA DE NA TESA A,16,0,0,0,90
6,"MARCANO FLORIAN, SEBASTIAN JESUS",PALMA F.C.,Titular,Visitante,PLA DE NA TESA A,16,0,0,0,46
7,"SAMPOL MARTINEZ, MARC",PALMA F.C.,Titular,Visitante,PLA DE NA TESA A,16,0,0,0,80
8,"GIL GOMILA, XAYRON",PALMA F.C.,Titular,Visitante,PLA DE NA TESA A,16,0,0,0,90
9,"MORELL SACRISTÁN, CARLOS",PALMA F.C.,Titular,Visitante,PLA DE NA TESA A,16,1,0,0,90
10,"NDIR GUEYE, MOUHAMADOUL LAMIN",PALMA F.C.,Titular,Visitante,PLA DE NA TESA A,16,0,0,0,68
11,"FRANCO SINGEORZAN, ALEX",PALMA F.C.,Titular,Visitante,PLA DE NA TESA A,16,1,0,0,90
12,"VILLALONGA GÓMEZ, IKER",PALMA F.C.,Suplente,Visitante,PLA DE NA TESA A,16,1,2,0,33
13,"CATRON, URIAS",PALMA F.C.,Suplente,Visitante,PLA DE NA TESA A,16,0,0,0,0
14,"JIMENEZ JARAMILLO, KARLO ANDREU",PALMA F.C.,Suplente,Visitante,PLA DE NA TESA A,16,0,0,0,0
15,"FOLGADO GARNICA, PAULO",PALMA F.C.,Suplente,Visitante,PLA DE NA TESA A,16,0,0,0,22
16,"ROMERO ALASSIA, LUCAS T",PALMA F.C.,Suplente,Visitante,PLA DE NA TESA A,16,0,0,0,44
17,"PORCEL MARTINEZ, JORDI",PALMA F.C.,Suplente,Visitante,PLA DE NA TESA A,16,0,1,0,44
18,"ALLENDES SEPULVEDA, MARTIN ALONSO",PALMA F.C.,Suplente,Visitante,PLA DE NA TESA A,16,0,0,0,10
