numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"RODRIGUEZ GUASP, JORDI",PLATGES DE CALVIA A,Titular,Local,FERRERIES A,16,0,0,0,90
3,"ALCOLEA ESCORCIA, CARLOS",PLATGES DE CALVIA A,Titular,Local,FERRERIES A,16,0,0,0,83
5,"GARCIA MEDRANO, MARCOS",PLATGES DE CALVIA A,Titular,Local,FERRERIES A,16,0,0,0,90
6,"MATAS OLIVER, PABLO",PLATGES DE CALVIA A,Titular,Local,FERRERIES A,16,0,1,0,90
8,"GOST ORMAZABAL, HUGO",PLATGES DE CALVIA A,Titular,Local,FERRERIES A,16,0,0,0,83
9,"CASAUS SANCHEZ, JOSE IGNACIO",PLATGES DE CALVIA A,Titular,Local,FERRERIES A,16,1,1,0,90
10,"EXPOSITO BINNEWIES, ALEJANDRO",PLATGES DE CALVIA A,Titular,Local,FERRERIES A,16,0,1,0,90
14,"MAGAN MITCHELL SMITH, MIGUEL",PLATGES DE CALVIA A,Titular,Local,FERRERIES A,16,0,0,0,53
20,"PUJOL ALOMAR, TELM",PLATGES DE CALVIA A,Titular,Local,FERRERIES A,16,0,0,0,66
21,"CABRERA FERRA, LIAM",PLATGES DE CALVIA A,Titular,Local,FERRERIES A,16,0,1,0,90
22,"HOLLINGSWORTH, HARRY RICHARD",PLATGES DE CALVIA A,Titular,Local,FERRERIES A,16,0,0,0,90
2,"GAYUBAS GONZALEZ, LUIS MIGUEL",PLATGES DE CALVIA A,Suplente,Local,FERRERIES A,16,0,0,0,7
7,"SANCHIS MARTINEZ, DAVID",PLATGES DE CALVIA A,Suplente,Local,FERRERIES A,16,1,0,0,37
11,"PARRA VIZUETE, DANIEL",PLATGES DE CALVIA A,Suplente,Local,FERRERIES A,16,0,0,0,0
15,"SOLIVELLAS LLOMPART, JOAQUÍN",PLATGES DE CALVIA A,Suplente,Local,FERRERIES A,16,0,0,0,7
17,"PEREZ SILVENTE, ALEJANDRO",PLATGES DE CALVIA A,Suplente,Local,FERRERIES A,16,0,0,0,0
19,"VIOLA, RICCARDO",PLATGES DE CALVIA A,Suplente,Local,FERRERIES A,16,0,0,0,24
25,"VALENZUELA BIERMAN, NOAH",PLATGES DE CALVIA A,Suplente,Local,FERRERIES A,16,0,0,0,0
1,"SCHMIDT LOPEZ, JHAIRO EWELL",FERRERIES A,Titular,Visitante,PLATGES DE CALVIA A,16,0,0,0,90
2,"FLORES BARRERA, GERARD",FERRERIES A,Titular,Visitante,PLATGES DE CALVIA A,16,0,0,0,90
4,"AMELLER RIUDAVETS, JOSEP",FERRERIES A,Titular,Visitante,PLATGES DE CALVIA A,16,0,1,0,90
5,"PULIDO COLL, IZAN",FERRERIES A,Titular,Visitante,PLATGES DE CALVIA A,16,0,0,0,46
6,"BAGUR MOYA, HUGO",FERRERIES A,Titular,Visitante,PLATGES DE CALVIA A,16,0,1,0,90
8,"GOMILA BOSCH, LLUÍS",FERRERIES A,Titular,Visitante,PLATGES DE CALVIA A,16,0,0,0,90
9,"FEBRER VILLALONGA, ALBERT",FERRERIES A,Titular,Visitante,PLATGES DE CALVIA A,16,2,0,0,90
10,"BOSCH PULIDO, NIL",FERRERIES A,Titular,Visitante,PLATGES DE CALVIA A,16,0,0,0,88
14,"FAMIGLIETTI MARQUEZ, LUCA",FERRERIES A,Titular,Visitante,PLATGES DE CALVIA A,16,0,0,0,90
17,"PONS CARRERAS, ANGEL",FERRERIES A,Titular,Visitante,PLATGES DE CALVIA A,16,0,0,0,53
19,"DE LA PUERTA MARTORELL, JAUME",FERRERIES A,Titular,Visitante,PLATGES DE CALVIA A,16,0,0,0,68
3,"FLORIT TAJUELO, HECTOR",FERRERIES A,Suplente,Visitante,PLATGES DE CALVIA A,16,0,0,0,44
11,"CANTALAPIEDRA LOBATO, IKER",FERRERIES A,Suplente,Visitante,PLATGES DE CALVIA A,16,0,0,0,2
21,"CAMPS CARETA, PERE",FERRERIES A,Suplente,Visitante,PLATGES DE CALVIA A,16,0,0,0,22
23,"ROTGER LÓPEZ, LLUC",FERRERIES A,Suplente,Visitante,PLATGES DE CALVIA A,16,0,0,0,37
25,"PONS MOLL, JOSEP LLUIS",FERRERIES A,Suplente,Visitante,PLATGES DE CALVIA A,16,0,0,0,0
