numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"MADROÑERO CONTRERAS, DAYRON",SANTA CATALINA ATº A,Titular,Local,SAN FRANCISCO B,16,0,1,0,90
4,"FUSTER LATORRE, DANIEL",SANTA CATALINA ATº A,Titular,Local,SAN FRANCISCO B,16,0,1,0,90
6,"GARCIAS LLABRES, MIQUEL",SANTA CATALINA ATº A,Titular,Local,SAN FRANCISCO B,16,0,0,0,56
7,"ADROVER MELIS, FRANCESC",SANTA CATALINA ATº A,Titular,Local,SAN FRANCISCO B,16,0,0,0,60
9,"LOMAS SERVERA, PAU",SANTA CATALINA ATº A,Titular,Local,SAN FRANCISCO B,16,0,0,0,56
11,"FERNANDEZ REY, RAUL",SANTA CATALINA ATº A,Titular,Local,SAN FRANCISCO B,16,0,0,0,90
12,"HASHIMOTO SEBASTIÁN, GAIZKA",SANTA CATALINA ATº A,Titular,Local,SAN FRANCISCO B,16,0,1,0,90
15,"PALAU ORDINAS, MIQUEL",SANTA CATALINA ATº A,Titular,Local,SAN FRANCISCO B,16,0,0,0,90
16,"BARRIGA CATRINA, VICTOR",SANTA CATALINA ATº A,Titular,Local,SAN FRANCISCO B,16,0,0,0,90
18,"MARTIN CABALLERO, ANGEL",SANTA CATALINA ATº A,Titular,Local,SAN FRANCISCO B,16,0,0,0,56
22,"ALARCON RAGO, THIAGO",SANTA CATALINA ATº A,Titular,Local,SAN FRANCISCO B,16,0,0,0,90
13,"ROIG VEGA, MATEO",SANTA CATALINA ATº A,Suplente,Local,SAN FRANCISCO B,16,0,0,0,0
2,"VICH FORTEZA, LLUC",SANTA CATALINA ATº A,Suplente,Local,SAN FRANCISCO B,16,0,0,0,34
3,"AOUATE OHANA, YARIN",SANTA CATALINA ATº A,Suplente,Local,SAN FRANCISCO B,16,0,0,0,0
5,"MESQUIDA BAUZA, PAU",SANTA CATALINA ATº A,Suplente,Local,SAN FRANCISCO B,16,0,0,0,0
8,"LOPEZ FUXA, AARON",SANTA CATALINA ATº A,Suplente,Local,SAN FRANCISCO B,16,0,0,0,34
19,"MENDOZA SOLER, MARIO",SANTA CATALINA ATº A,Suplente,Local,SAN FRANCISCO B,16,1,1,0,30
21,"EZ ZARY SAIDI, ISMAEL",SANTA CATALINA ATº A,Suplente,Local,SAN FRANCISCO B,16,0,0,0,34
1,"MARTINS CORRAL, DIEGO",SAN FRANCISCO B,Titular,Visitante,SANTA CATALINA ATº A,16,0,0,0,90
2,"LOPEZ CABRERA, JESUS",SAN FRANCISCO B,Titular,Visitante,SANTA CATALINA ATº A,16,0,0,0,88
3,"SILVA SALINAS, ALEJANDRO",SAN FRANCISCO B,Titular,Visitante,SANTA CATALINA ATº A,16,0,0,0,90
4,"BARRAGAN AGUILO, HECTOR DARIO",SAN FRANCISCO B,Titular,Visitante,SANTA CATALINA ATº A,16,0,0,0,90
5,"CLADERA SOBERATS, LLORENÇ",SAN FRANCISCO B,Titular,Visitante,SANTA CATALINA ATº A,16,0,0,0,90
6,"ANDEBUELA BARRIOS, PABLO",SAN FRANCISCO B,Titular,Visitante,SANTA CATALINA ATº A,16,0,1,0,69
7,"SUÁREZ SERRA, ALEX",SAN FRANCISCO B,Titular,Visitante,SANTA CATALINA ATº A,16,0,1,0,90
8,"GALLARDO DEL VALLE, BENJAMIN",SAN FRANCISCO B,Titular,Visitante,SANTA CATALINA ATº A,16,0,0,0,88
9,"ALARCON CAVERO, JOEL",SAN FRANCISCO B,Titular,Visitante,SANTA CATALINA ATº A,16,0,0,0,46
10,"LUNEGRO, BRUNO",SAN FRANCISCO B,Titular,Visitante,SANTA CATALINA ATº A,16,1,0,0,80
11,"SALAMANCA GALERA, AITOR",SAN FRANCISCO B,Titular,Visitante,SANTA CATALINA ATº A,16,0,0,0,90
12,"GIRALDE BAUZA, JAVIER",SAN FRANCISCO B,Suplente,Visitante,SANTA CATALINA ATº A,16,0,0,0,2
13,"CONDE PEREIRA, ALEJANDRO MANUEL",SAN FRANCISCO B,Suplente,Visitante,SANTA CATALINA ATº A,16,0,0,0,10
14,"LEDESMA COR, MATEU",SAN FRANCISCO B,Suplente,Visitante,SANTA CATALINA ATº A,16,0,0,0,21
15,"RIBAS MUÑOZ, SERGI",SAN FRANCISCO B,Suplente,Visitante,SANTA CATALINA ATº A,16,0,0,0,2
16,"BORDOY LEAL, PEDRO",SAN FRANCISCO B,Suplente,Visitante,SANTA CATALINA ATº A,16,0,0,0,0
17,"MASSANET CABRER, FRANCESC",SAN FRANCISCO B,Suplente,Visitante,SANTA CATALINA ATº A,16,0,0,0,0
18,"LLEDO SAMPOL, ADRIA",SAN FRANCISCO B,Suplente,Visitante,SANTA CATALINA ATº A,16,0,0,0,44
