numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
13,"AVOGADRO, TOMMASO",U D IBIZA A,Titular,Local,SD LA SALLE A,16,0,0,0,90
2,"PERIAÑEZ RODRIGUEZ, DANIEL",U D IBIZA A,Titular,Local,SD LA SALLE A,16,0,0,0,90
3,"PUGLIESE, PAOLO ALBERTO",U D IBIZA A,Titular,Local,SD LA SALLE A,16,0,0,0,90
4,"RODRIGUEZ MARTOS, AARON",U D IBIZA A,Titular,Local,SD LA SALLE A,16,0,0,0,90
5,"BALBURE CARDONA, ALEX",U D IBIZA A,Titular,Local,SD LA SALLE A,16,0,0,0,90
6,"GORLA, AGUSTIN",U D IBIZA A,Titular,Local,SD LA SALLE A,16,0,0,0,85
7,"MARTOS VERGARA, DANIEL",U D IBIZA A,Titular,Local,SD LA SALLE A,16,0,1,0,45
8,"BERNASCONI, SANTINO",U D IBIZA A,Titular,Local,SD LA SALLE A,16,1,0,0,73
9,"BELTRAN ALVAREZ, SERGIO",U D IBIZA A,Titular,Local,SD LA SALLE A,16,1,0,0,73
10,"LOPEZ CAPACETE, KENAI",U D IBIZA A,Titular,Local,SD LA SALLE A,16,0,1,0,90
11,"ELIAS ARANDIA, SAMUEL ABEL",U D IBIZA A,Titular,Local,SD LA SALLE A,16,0,0,0,87
1,"MONTES DOMINGUEZ, ALBERTO",U D IBIZA A,Suplente,Local,SD LA SALLE A,16,0,0,0,0
12,"GONZALEZ CASURIAGA, THIAGO",U D IBIZA A,Suplente,Local,SD LA SALLE A,16,0,0,0,45
14,"MEDINA ARANDA, SERGIO",U D IBIZA A,Suplente,Local,SD LA SALLE A,16,0,0,0,3
15,"OKROGLIC SOMOZA, LUKA",U D IBIZA A,Suplente,Local,SD LA SALLE A,16,0,0,0,5
16,"TORRES RIERA, LLUC",U D IBIZA A,Suplente,Local,SD LA SALLE A,16,0,0,0,17
19,"GARCIA ALBA, JAVIER",U D IBIZA A,Suplente,Local,SD LA SALLE A,16,0,1,0,17
1,"SILVA GIORGIO, AGUSTIN",SD LA SALLE A,Titular,Visitante,U D IBIZA A,16,0,0,0,90
2,"PANEQUE PÉREZ, JOEL",SD LA SALLE A,Titular,Visitante,U D IBIZA A,16,0,1,0,60
3,"MOYA PEDREGOSA, ALEJANDRO",SD LA SALLE A,Titular,Visitante,U D IBIZA A,16,0,0,0,60
4,"VIZCAINO SEGURA, ALAN",SD LA SALLE A,Titular,Visitante,U D IBIZA A,16,0,0,0,90
6,"CORTES BOIXO, ALEIX",SD LA SALLE A,Titular,Visitante,U D IBIZA A,16,0,0,0,66
7,"ARBOS DENGRA, DIEGO",SD LA SALLE A,Titular,Visitante,U D IBIZA A,16,0,0,0,90
8,"ESCUERO PARDOS, MARTI",SD LA SALLE A,Titular,Visitante,U D IBIZA A,16,0,0,0,70
9,"PETRARCA, ELIA",SD LA SALLE A,Titular,Visitante,U D IBIZA A,16,0,0,0,90
10,"MARTI RODRIGUEZ, IVAN",SD LA SALLE A,Titular,Visitante,U D IBIZA A,16,0,0,0,66
11,"RODRIGUEZ MONGELOS, GAEL PAU",SD LA SALLE A,Titular,Visitante,U D IBIZA A,16,1,1,0,90
20,"VIVARES ARANDA, YANNICK",SD LA SALLE A,Titular,Visitante,U D IBIZA A,16,0,0,0,90
12,"PUYA TUR, OSCAR",SD LA SALLE A,Suplente,Visitante,U D IBIZA A,16,0,0,0,20
13,"FONTANET REUS, TOMAS",SD LA SALLE A,Suplente,Visitante,U D IBIZA A,16,0,0,0,0
14,"GARCÍA GARCÍA, ÁLVARO",SD LA SALLE A,Suplente,Visitante,U D IBIZA A,16,0,0,0,30
15,"SALMERON SEGURA, JONATHAN",SD LA SALLE A,Suplente,Visitante,U D IBIZA A,16,0,1,0,24
16,"AMAYA MALENO, FRANCISCO",SD LA SALLE A,Suplente,Visitante,U D IBIZA A,16,0,0,0,0
17,"SANCHEZ LAFUENTE, ARITZ",SD LA SALLE A,Suplente,Visitante,U D IBIZA A,16,0,1,0,30
18,"GIL MASSANET, LLUIS",SD LA SALLE A,Suplente,Visitante,U D IBIZA A,16,0,0,0,24
