numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"ORFILA QUINTANA, AARON",UD MAHON,Titular,Local,SP. ATº CIUTAT DE PALMA,16,0,1,0,90
2,"IZAGUIRRE RODRIGUEZ, RICARDO ABRAHAM",UD MAHON,Titular,Local,SP. ATº CIUTAT DE PALMA,16,2,0,0,90
3,"DE LA PUENTE JAÑEZ, NICOLAS",UD MAHON,Titular,Local,SP. ATº CIUTAT DE PALMA,16,0,0,0,90
4,"GOMEZ GORDILLO, RAUL",UD MAHON,Titular,Local,SP. ATº CIUTAT DE PALMA,16,0,0,0,36
5,"GOMEZ SANTOS, JUAN",UD MAHON,Titular,Local,SP. ATº CIUTAT DE PALMA,16,1,0,0,90
6,"DIALLO, FODE",UD MAHON,Titular,Local,SP. ATº CIUTAT DE PALMA,16,0,0,0,75
7,"DE OLIVEIRA MESSIAS, EMMANUEL",UD MAHON,Titular,Local,SP. ATº CIUTAT DE PALMA,16,0,0,0,90
8,"BOLIVAR PERAL, ROGER",UD MAHON,Titular,Local,SP. ATº CIUTAT DE PALMA,16,0,0,0,46
9,"TEJEDOR MORENO, ALEJANDRO",UD MAHON,Titular,Local,SP. ATº CIUTAT DE PALMA,16,0,1,0,90
10,"DE OLIVEIRA MESSIAS, KLAYVER",UD MAHON,Titular,Local,SP. ATº CIUTAT DE PALMA,16,0,0,0,70
11,"MASCARO MARTINEZ, IKER",UD MAHON,Titular,Local,SP. ATº CIUTAT DE PALMA,16,0,0,0,70
12,"PEREZ MARTIN, IGNACIO",UD MAHON,Suplente,Local,SP. ATº CIUTAT DE PALMA,16,0,0,0,44
13,"LASSO VIAFARA, ANDRES FELIPE",UD MAHON,Suplente,Local,SP. ATº CIUTAT DE PALMA,16,0,0,0,0
14,"GRUBAC, NOA",UD MAHON,Suplente,Local,SP. ATº CIUTAT DE PALMA,16,0,0,0,20
15,"ELHADJ ABDOULAYE, BALDE",UD MAHON,Suplente,Local,SP. ATº CIUTAT DE PALMA,16,0,1,0,15
16,"ESPINOZA ARMIJOS, CARLOS ANDRES",UD MAHON,Suplente,Local,SP. ATº CIUTAT DE PALMA,16,0,0,0,54
17,"NGONG NGO, FABRICE",UD MAHON,Suplente,Local,SP. ATº CIUTAT DE PALMA,16,0,0,0,0
18,"LOPEZ FERNANDEZ, MARC",UD MAHON,Suplente,Local,SP. ATº CIUTAT DE PALMA,16,1,0,0,20
13,"CABELLOS CRUZ, ENRIQUE",SP. ATº CIUTAT DE PALMA,Titular,Visitante,UD MAHON,16,0,1,0,90
3,"PUJOL FONT, JAUME",SP. ATº CIUTAT DE PALMA,Titular,Visitante,UD MAHON,16,0,0,0,90
5,"CACERES AMOROS, MATEO",SP. ATº CIUTAT DE PALMA,Titular,Visitante,UD MAHON,16,0,1,0,51
6,"SANS JIMENEZ, MIQUEL ANGEL",SP. ATº CIUTAT DE PALMA,Titular,Visitante,UD MAHON,16,0,1,0,90
7,"SANCHO OLIVER, PEDRO",SP. ATº CIUTAT DE PALMA,Titular,Visitante,UD MAHON,16,2,0,0,90
9,"ABRAHAM BOLAÑOS, ISAAC",SP. ATº CIUTAT DE PALMA,Titular,Visitante,UD MAHON,16,0,0,0,90
10,"SARMIENTO CABAÑIN, GABRIEL A",SP. ATº CIUTAT DE PALMA,Titular,Visitante,UD MAHON,16,0,0,0,90
12,"BLANCO VALERO, DAVID",SP. ATº CIUTAT DE PALMA,Titular,Visitante,UD MAHON,16,0,1,0,51
21,"KRAUSSE, IGNACIO TOMAS",SP. ATº CIUTAT DE PALMA,Titular,Visitante,UD MAHON,16,0,0,0,51
23,"GOMEZ BLANCA, AARON",SP. ATº CIUTAT DE PALMA,Titular,Visitante,UD MAHON,16,0,0,0,51
24,"GAETE MARTINEZ, ISMAEL",SP. ATº CIUTAT DE PALMA,Titular,Visitante,UD MAHON,16,0,0,0,70
1,"GONZALEZ VASQUEZ, LUIS JOSE",SP. ATº CIUTAT DE PALMA,Suplente,Visitante,UD MAHON,16,0,0,0,0
4,"ORDOÑEZ QUETGLAS, MARC",SP. ATº CIUTAT DE PALMA,Suplente,Visitante,UD MAHON,16,0,0,0,39
8,"FERNÁNDEZ CASSO, ALBERTO",SP. ATº CIUTAT DE PALMA,Suplente,Visitante,UD MAHON,16,0,0,0,39
14,"AMENGUAL LIRIO, IVAN",SP. ATº CIUTAT DE PALMA,Suplente,Visitante,UD MAHON,16,0,0,0,39
18,"CORTES MONTANER, LUIS",SP. ATº CIUTAT DE PALMA,Suplente,Visitante,UD MAHON,16,0,0,0,20
20,"BARRY DIALLO, MAMADOU ALIOU",SP. ATº CIUTAT DE PALMA,Suplente,Visitante,UD MAHON,16,0,0,0,0
29,"KEITA SIDIBE, MADY",SP. ATº CIUTAT DE PALMA,Suplente,Visitante,UD MAHON,16,0,0,0,39
