numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"SCHMIDT LOPEZ, JHAIRO EWELL",FERRERIES A,Titular,Local,CONSTANCIA A,17,0,0,0,90
3,"FLORIT TAJUELO, HECTOR",FERRERIES A,Titular,Local,CONSTANCIA A,17,0,0,0,90
4,"AMELLER RIUDAVETS, JOSEP",FERRERIES A,Titular,Local,CONSTANCIA A,17,0,0,0,90
5,"PULIDO COLL, IZAN",FERRERIES A,Titular,Local,CONSTANCIA A,17,0,0,0,90
6,"BAGUR MOYA, HUGO",FERRERIES A,Titular,Local,CONSTANCIA A,17,0,0,0,90
8,"GOMILA BOSCH, LLUÍS",FERRERIES A,Titular,Local,CONSTANCIA A,17,0,0,0,22
10,"BOSCH PULIDO, NIL",FERRERIES A,Titular,Local,CONSTANCIA A,17,0,1,0,57
16,"MBAYE RUIZ, MOUHAMAD YASIN",FERRERIES A,Titular,Local,CONSTANCIA A,17,0,1,0,90
19,"DE LA PUERTA MARTORELL, JAUME",FERRERIES A,Titular,Local,CONSTANCIA A,17,0,0,0,90
20,"BOSCH VALDERRABANO, TONI",FERRERIES A,Titular,Local,CONSTANCIA A,17,0,0,0,77
23,"ROTGER LÓPEZ, LLUC",FERRERIES A,Titular,Local,CONSTANCIA A,17,0,0,0,77
7,"JANER BOSCH, NOFRE",FERRERIES A,Suplente,Local,CONSTANCIA A,17,0,0,0,13
11,"CANTALAPIEDRA LOBATO, IKER",FERRERIES A,Suplente,Local,CONSTANCIA A,17,0,0,0,33
14,"FAMIGLIETTI MARQUEZ, LUCA",FERRERIES A,Suplente,Local,CONSTANCIA A,17,0,0,0,0
17,"PONS CARRERAS, ANGEL",FERRERIES A,Suplente,Local,CONSTANCIA A,17,1,0,0,68
21,"CAMPS CARETA, PERE",FERRERIES A,Suplente,Local,CONSTANCIA A,17,0,0,0,13
22,"SINTES PONS, PAU",FERRERIES A,Suplente,Local,CONSTANCIA A,17,0,0,0,0
25,"PONS MOLL, JOSEP LLUIS",FERRERIES A,Suplente,Local,CONSTANCIA A,17,0,0,0,0
1,"MIR OLMO, JORDI",CONSTANCIA A,Titular,Visitante,FERRERIES A,17,0,0,0,90
4,"CRESPI LUCENA, JUAN MIQUEL",CONSTANCIA A,Titular,Visitante,FERRERIES A,17,1,0,0,90
5,"FONTCUBERTA GALINDO, GABRIEL",CONSTANCIA A,Titular,Visitante,FERRERIES A,17,0,0,0,90
7,"MARTIN MONSALVE, IAN",CONSTANCIA A,Titular,Visitante,FERRERIES A,17,1,0,0,90
8,"COMPANY INGLA, JAUME",CONSTANCIA A,Titular,Visitante,FERRERIES A,17,0,0,0,90
14,"MORENO GODOY, NICOLAS",CONSTANCIA A,Titular,Visitante,FERRERIES A,17,0,0,0,90
16,"OLIVER GELABERT, PERE",CONSTANCIA A,Titular,Visitante,FERRERIES A,17,0,0,0,59
19,"GALVEZ ESPINOZA, BRAD ANTONY",CONSTANCIA A,Titular,Visitante,FERRERIES A,17,0,0,0,59
20,"CHUKWUKERE PULLET, GREGORY IKECHUKWU",CONSTANCIA A,Titular,Visitante,FERRERIES A,17,1,0,0,59
22,"MAIRATA NOGUERA, ADRIA",CONSTANCIA A,Titular,Visitante,FERRERIES A,17,0,0,0,68
23,"BLANCO WEBER, LUCA",CONSTANCIA A,Titular,Visitante,FERRERIES A,17,0,0,0,76
3,"ROMAN DE REMENTERIA, ASIER",CONSTANCIA A,Suplente,Visitante,FERRERIES A,17,0,0,0,22
6,"BOTELLO CARMONA, PAU",CONSTANCIA A,Suplente,Visitante,FERRERIES A,17,0,0,0,14
10,"CABEZAS GALLARDO, MANUEL",CONSTANCIA A,Suplente,Visitante,FERRERIES A,17,0,0,0,31
11,"COLL AREVALO, JORDI",CONSTANCIA A,Suplente,Visitante,FERRERIES A,17,0,0,0,31
13,"BOVER LLOMPART, JOSEP",CONSTANCIA A,Suplente,Visitante,FERRERIES A,17,0,0,0,0
15,"KOUJILI EL TALHAOUI, MAROUAN",CONSTANCIA A,Suplente,Visitante,FERRERIES A,17,0,0,0,0
18,"PATRICIO GUAL, MARC",CONSTANCIA A,Suplente,Visitante,FERRERIES A,17,0,0,0,31
