numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"VALLBONA SERRA, JOAN",MALLORCA B,Titular,Local,U D IBIZA A,17,0,0,0,90
2,"VERD ALONSO, ABEL",MALLORCA B,Titular,Local,U D IBIZA A,17,0,0,0,90
3,"VAN DER MEER GARI, YANNICK",MALLORCA B,Titular,Local,U D IBIZA A,17,0,0,0,66
4,"VERA SALINAS, ERIK",MALLORCA B,Titular,Local,U D IBIZA A,17,0,0,0,90
5,"ALEMANY TOUS, MARC",MALLORCA B,Titular,Local,U D IBIZA A,17,0,0,0,90
6,"BURGAYA GENOVART, FERRAN",MALLORCA B,Titular,Local,U D IBIZA A,17,0,1,0,90
7,"AVILÉS MAESTRE, JOEL",MALLORCA B,Titular,Local,U D IBIZA A,17,1,0,0,57
8,"BIARNES MORENO, ALEJANDRO",MALLORCA B,Titular,Local,U D IBIZA A,17,0,0,0,76
9,"WHYTE ODUNZE, MICHAEL IKENNA",MALLORCA B,Titular,Local,U D IBIZA A,17,3,0,0,90
10,"MARTINEZ BELA, JAVIER",MALLORCA B,Titular,Local,U D IBIZA A,17,0,0,0,66
11,"MOLINA DONAIRE, DANIEL",MALLORCA B,Titular,Local,U D IBIZA A,17,0,0,0,76
12,"TEJADA LLADONET, ORIOL",MALLORCA B,Suplente,Local,U D IBIZA A,17,0,0,0,24
13,"MERCADAL CARRERAS, JOSEP",MALLORCA B,Suplente,Local,U D IBIZA A,17,0,0,0,0
14,"D'VAZ AFONSO, SPENCER GARCIA",MALLORCA B,Suplente,Local,U D IBIZA A,17,0,0,0,0
15,"COCA ANTELO, ANDREW",MALLORCA B,Suplente,Local,U D IBIZA A,17,0,0,0,14
16,"CORCINO MUÑOZ, ANDRES",MALLORCA B,Suplente,Local,U D IBIZA A,17,1,0,0,33
17,"DIALLO CONDE, ABDOURAHAMANE",MALLORCA B,Suplente,Local,U D IBIZA A,17,0,0,0,24
18,"GARCIA LLOMPART, RAFEL",MALLORCA B,Suplente,Local,U D IBIZA A,17,0,0,0,14
13,"AVOGADRO, TOMMASO",U D IBIZA A,Titular,Visitante,MALLORCA B,17,0,0,0,90
2,"PERIAÑEZ RODRIGUEZ, DANIEL",U D IBIZA A,Titular,Visitante,MALLORCA B,17,0,0,0,59
3,"PUGLIESE, PAOLO ALBERTO",U D IBIZA A,Titular,Visitante,MALLORCA B,17,0,0,0,90
4,"RODRIGUEZ MARTOS, AARON",U D IBIZA A,Titular,Visitante,MALLORCA B,17,0,0,0,90
5,"BALBURE CARDONA, ALEX",U D IBIZA A,Titular,Visitante,MALLORCA B,17,0,0,0,90
6,"GORLA, AGUSTIN",U D IBIZA A,Titular,Visitante,MALLORCA B,17,0,0,0,90
7,"VALLS ANIORTE, TARIKU",U D IBIZA A,Titular,Visitante,MALLORCA B,17,0,0,0,76
8,"BERNASCONI, SANTINO",U D IBIZA A,Titular,Visitante,MALLORCA B,17,0,0,0,90
9,"BELTRAN ALVAREZ, SERGIO",U D IBIZA A,Titular,Visitante,MALLORCA B,17,0,0,0,71
10,"LOPEZ CAPACETE, KENAI",U D IBIZA A,Titular,Visitante,MALLORCA B,17,0,1,0,59
11,"MARTOS VERGARA, DANIEL",U D IBIZA A,Titular,Visitante,MALLORCA B,17,0,0,0,59
1,"MONTES DOMINGUEZ, ALBERTO",U D IBIZA A,Suplente,Visitante,MALLORCA B,17,0,0,0,0
12,"ROMAN MUÑOZ, ETHAN",U D IBIZA A,Suplente,Visitante,MALLORCA B,17,0,0,0,0
14,"MEDINA ARANDA, SERGIO",U D IBIZA A,Suplente,Visitante,MALLORCA B,17,0,0,0,14
15,"TORRES RIERA, LLUC",U D IBIZA A,Suplente,Visitante,MALLORCA B,17,0,0,0,31
16,"ELIAS ARANDIA, SAMUEL ABEL",U D IBIZA A,Suplente,Visitante,MALLORCA B,17,0,0,0,31
18,"RODRIGUEZ ROIG, ARIAN",U D IBIZA A,Suplente,Visitante,MALLORCA B,17,1,0,0,19
19,"GARCIA ALBA, JAVIER",U D IBIZA A,Suplente,Visitante,MALLORCA B,17,0,0,0,31
