numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"AZIZI BAIBOUN, OUSSAMA",PALMA F.C.,Titular,Local,SANTA CATALINA ATº A,17,0,0,0,90
2,"ORTEGA CASTILLA, HUGO",PALMA F.C.,Titular,Local,SANTA CATALINA ATº A,17,0,0,0,57
3,"VICENS VIDAL, PAU",PALMA F.C.,Titular,Local,SANTA CATALINA ATº A,17,0,0,0,76
4,"ALCALDE ORTEGA, JUAN JOSÉ",PALMA F.C.,Titular,Local,SANTA CATALINA ATº A,17,0,0,0,90
5,"GOMEZ ACUÑA, RENSON ENRIQUE",PALMA F.C.,Titular,Local,SANTA CATALINA ATº A,17,1,0,0,90
6,"SAMPOL MARTINEZ, MARC",PALMA F.C.,Titular,Local,SANTA CATALINA ATº A,17,0,0,0,90
7,"NDIR GUEYE, MOUHAMADOUL LAMIN",PALMA F.C.,Titular,Local,SANTA CATALINA ATº A,17,0,0,0,68
8,"PORCEL MARTINEZ, JORDI",PALMA F.C.,Titular,Local,SANTA CATALINA ATº A,17,0,0,0,76
9,"MORELL SACRISTÁN, CARLOS",PALMA F.C.,Titular,Local,SANTA CATALINA ATº A,17,1,0,0,68
10,"FRANCO SINGEORZAN, ALEX",PALMA F.C.,Titular,Local,SANTA CATALINA ATº A,17,1,0,0,90
11,"GIL GOMILA, XAYRON",PALMA F.C.,Titular,Local,SANTA CATALINA ATº A,17,0,0,0,90
12,"ROMERO ALASSIA, LUCAS T",PALMA F.C.,Suplente,Local,SANTA CATALINA ATº A,17,0,0,0,0
13,"CATRON, URIAS",PALMA F.C.,Suplente,Local,SANTA CATALINA ATº A,17,0,0,0,0
14,JOAN,PALMA F.C.,Suplente,Local,SANTA CATALINA ATº A,17,0,0,0,33
15,"FERRA OSPINA, CARLES JOAN",PALMA F.C.,Suplente,Local,SANTA CATALINA ATº A,17,0,0,0,14
16,"MARCANO FLORIAN, SEBASTIAN JESUS",PALMA F.C.,Suplente,Local,SANTA CATALINA ATº A,17,0,0,0,14
17,"FOLGADO GARNICA, PAULO",PALMA F.C.,Suplente,Local,SANTA CATALINA ATº A,17,0,0,0,22
18,"PELLEGRINO, NICOLA EMANUELE",PALMA F.C.,Suplente,Local,SANTA CATALINA ATº A,17,0,0,0,22
13,"ROIG VEGA, MATEO",SANTA CATALINA ATº A,Titular,Visitante,PALMA F.C.,17,0,0,0,90
2,"VICH FORTEZA, LLUC",SANTA CATALINA ATº A,Titular,Visitante,PALMA F.C.,17,0,0,0,90
4,"FUSTER LATORRE, DANIEL",SANTA CATALINA ATº A,Titular,Visitante,PALMA F.C.,17,0,0,0,90
5,"DEYÀ BELTRÁN, SEBASTIÀ",SANTA CATALINA ATº A,Titular,Visitante,PALMA F.C.,17,0,0,0,79
6,"GARCIAS LLABRES, MIQUEL",SANTA CATALINA ATº A,Titular,Visitante,PALMA F.C.,17,0,0,0,90
7,"ADROVER MELIS, FRANCESC",SANTA CATALINA ATº A,Titular,Visitante,PALMA F.C.,17,0,0,1,90
10,"SASTRE BOTA, JAUME",SANTA CATALINA ATº A,Titular,Visitante,PALMA F.C.,17,0,0,0,60
12,"HASHIMOTO SEBASTIÁN, GAIZKA",SANTA CATALINA ATº A,Titular,Visitante,PALMA F.C.,17,0,0,0,60
15,"PALAU ORDINAS, MIQUEL",SANTA CATALINA ATº A,Titular,Visitante,PALMA F.C.,17,0,0,0,34
18,"MARTIN CABALLERO, ANGEL",SANTA CATALINA ATº A,Titular,Visitante,PALMA F.C.,17,0,0,0,90
24,"FERNANDEZ REY, RAUL",SANTA CATALINA ATº A,Titular,Visitante,PALMA F.C.,17,0,0,0,60
1,"MADROÑERO CONTRERAS, DAYRON",SANTA CATALINA ATº A,Suplente,Visitante,PALMA F.C.,17,0,0,0,0
3,"EZ ZARY SAIDI, ISMAEL",SANTA CATALINA ATº A,Suplente,Visitante,PALMA F.C.,17,0,0,0,30
8,"LOPEZ FUXA, AARON",SANTA CATALINA ATº A,Suplente,Visitante,PALMA F.C.,17,0,0,0,30
9,"LOMAS SERVERA, PAU",SANTA CATALINA ATº A,Suplente,Visitante,PALMA F.C.,17,0,0,0,0
14,"MASCARELL LLABRES, MARC",SANTA CATALINA ATº A,Suplente,Visitante,PALMA F.C.,17,0,0,0,11
16,"BARRIGA CATRINA, VICTOR",SANTA CATALINA ATº A,Suplente,Visitante,PALMA F.C.,17,0,0,0,56
19,"MENDOZA SOLER, MARIO",SANTA CATALINA ATº A,Suplente,Visitante,PALMA F.C.,17,0,1,0,30
