numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"MUÑOZ CAMPOY, IVAN",PENYA ARRABAL A,Titular,Local,PLATGES DE CALVIA A,17,0,0,0,90
2,"ROTTLANDER, LENNOX MARKUS",PENYA ARRABAL A,Titular,Local,PLATGES DE CALVIA A,17,0,0,0,67
3,"MARTINEZ MUNTANER, SERGI",PENYA ARRABAL A,Titular,Local,PLATGES DE CALVIA A,17,0,0,0,90
7,"PONS SERRANO, ALEIX",PENYA ARRABAL A,Titular,Local,PLATGES DE CALVIA A,17,0,0,0,73
8,"GARCIA HERNANDEZ, JOSE RAMON",PENYA ARRABAL A,Titular,Local,PLATGES DE CALVIA A,17,0,1,0,90
9,"SEGUI ESTEBAN, IAN",PENYA ARRABAL A,Titular,Local,PLATGES DE CALVIA A,17,0,1,0,81
10,"CRESPI BARRERA, LEONARDO",PENYA ARRABAL A,Titular,Local,PLATGES DE CALVIA A,17,0,0,0,90
12,"MESQUIDA URIBE, XAVIER",PENYA ARRABAL A,Titular,Local,PLATGES DE CALVIA A,17,0,0,0,67
14,"MAS MAIMO, JOSEP",PENYA ARRABAL A,Titular,Local,PLATGES DE CALVIA A,17,0,0,0,90
20,"PASCUAL RIERA, MIGUEL ANGEL",PENYA ARRABAL A,Titular,Local,PLATGES DE CALVIA A,17,0,0,0,90
21,"RIUTORT GONZALEZ, JUAN FRANCISCO",PENYA ARRABAL A,Titular,Local,PLATGES DE CALVIA A,17,0,0,0,73
5,"VALLESPIR TIMONER, PERE MARC",PENYA ARRABAL A,Suplente,Local,PLATGES DE CALVIA A,17,0,0,0,17
6,"MUÑOZ BAIXAULI, JUAN",PENYA ARRABAL A,Suplente,Local,PLATGES DE CALVIA A,17,0,0,0,9
13,"MANOLACHE POCOVI, DANIEL",PENYA ARRABAL A,Suplente,Local,PLATGES DE CALVIA A,17,0,0,0,0
15,"HERRERA IGLESIAS, ADRIAN",PENYA ARRABAL A,Suplente,Local,PLATGES DE CALVIA A,17,1,0,0,23
17,"ARIAS BESTARD, ENZO",PENYA ARRABAL A,Suplente,Local,PLATGES DE CALVIA A,17,0,0,0,17
18,"FIOL ACEITUNO, MIQUEL",PENYA ARRABAL A,Suplente,Local,PLATGES DE CALVIA A,17,0,0,0,23
25,"VALENZUELA BIERMAN, NOAH",PLATGES DE CALVIA A,Titular,Visitante,PENYA ARRABAL A,17,0,0,0,90
4,"LOUNADI MUNAR, SAMUEL",PLATGES DE CALVIA A,Titular,Visitante,PENYA ARRABAL A,17,0,0,0,90
5,"SOLIVELLAS LLOMPART, JOAQUÍN",PLATGES DE CALVIA A,Titular,Visitante,PENYA ARRABAL A,17,0,0,0,90
6,"MATAS OLIVER, PABLO",PLATGES DE CALVIA A,Titular,Visitante,PENYA ARRABAL A,17,0,0,0,90
7,"SANCHIS MARTINEZ, DAVID",PLATGES DE CALVIA A,Titular,Visitante,PENYA ARRABAL A,17,0,0,0,60
8,"GARCÍA RODRÍGUEZ, UNAI",PLATGES DE CALVIA A,Titular,Visitante,PENYA ARRABAL A,17,0,0,0,90
10,"EXPOSITO BINNEWIES, ALEJANDRO",PLATGES DE CALVIA A,Titular,Visitante,PENYA ARRABAL A,17,0,1,0,90
11,"PARRA VIZUETE, DANIEL",PLATGES DE CALVIA A,Titular,Visitante,PENYA ARRABAL A,17,0,0,0,80
20,"PUJOL ALOMAR, TELM",PLATGES DE CALVIA A,Titular,Visitante,PENYA ARRABAL A,17,0,0,0,69
21,"CABRERA FERRA, LIAM",PLATGES DE CALVIA A,Titular,Visitante,PENYA ARRABAL A,17,0,0,0,90
22,"HOLLINGSWORTH, HARRY RICHARD",PLATGES DE CALVIA A,Titular,Visitante,PENYA ARRABAL A,17,0,1,0,90
1,"RODRIGUEZ GUASP, JORDI",PLATGES DE CALVIA A,Suplente,Visitante,PENYA ARRABAL A,17,0,0,0,0
2,"GAYUBAS GONZALEZ, LUIS MIGUEL",PLATGES DE CALVIA A,Suplente,Visitante,PENYA ARRABAL A,17,0,0,0,0
3,"ALCOLEA ESCORCIA, CARLOS",PLATGES DE CALVIA A,Suplente,Visitante,PENYA ARRABAL A,17,0,0,0,0
9,"CASAUS SANCHEZ, JOSE IGNACIO",PLATGES DE CALVIA A,Suplente,Visitante,PENYA ARRABAL A,17,0,0,0,30
17,"PEREZ SILVENTE, ALEJANDRO",PLATGES DE CALVIA A,Suplente,Visitante,PENYA ARRABAL A,17,0,0,0,10
18,"PAYERO MOLINA, NICOLAS",PLATGES DE CALVIA A,Suplente,Visitante,PENYA ARRABAL A,17,0,0,0,21
