numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"RAMON DIAZ, HUGO",PENYA INDEPENDENT A,Titular,Local,PLA DE NA TESA A,17,0,0,0,90
3,"VIERA GONZALEZ, SANTIAGO",PENYA INDEPENDENT A,Titular,Local,PLA DE NA TESA A,17,0,1,0,90
4,"MARTINEZ JUAN, MARTIN",PENYA INDEPENDENT A,Titular,Local,PLA DE NA TESA A,17,0,0,0,90
6,"OROZCO RIERA, ASIER",PENYA INDEPENDENT A,Titular,Local,PLA DE NA TESA A,17,0,0,0,46
7,"LOPEZ MARI, PABLO",PENYA INDEPENDENT A,Titular,Local,PLA DE NA TESA A,17,0,0,0,90
8,"PRATS RIPOLL, MIQUEL",PENYA INDEPENDENT A,Titular,Local,PLA DE NA TESA A,17,0,0,0,90
9,"CORDOBA TUR, MARC",PENYA INDEPENDENT A,Titular,Local,PLA DE NA TESA A,17,0,0,0,90
11,"GHARBI KHAMMAL EL BAKKALI, NASROLLAH",PENYA INDEPENDENT A,Titular,Local,PLA DE NA TESA A,17,0,0,0,46
14,"FERRER TORRES, PEDRO",PENYA INDEPENDENT A,Titular,Local,PLA DE NA TESA A,17,0,0,0,40
15,"FAQUINETTI VERGILIO, SAMUEL",PENYA INDEPENDENT A,Titular,Local,PLA DE NA TESA A,17,0,0,0,69
20,"BERNHARDT, JOEL PIOTR",PENYA INDEPENDENT A,Titular,Local,PLA DE NA TESA A,17,0,0,0,90
2,"MARTINEZ GARCIA, ENRIQUE",PENYA INDEPENDENT A,Suplente,Local,PLA DE NA TESA A,17,0,0,0,44
5,"BASILIO FERNANDEZ, MARC",PENYA INDEPENDENT A,Suplente,Local,PLA DE NA TESA A,17,0,0,0,0
10,"EL HABBOULA EL KORTOBI, ABDELMOIZE",PENYA INDEPENDENT A,Suplente,Local,PLA DE NA TESA A,17,0,0,0,50
13,"VILLAR MARI, BARTOMEU TONI",PENYA INDEPENDENT A,Suplente,Local,PLA DE NA TESA A,17,0,0,0,0
17,"ODERA PACILIO, SANTIAGO",PENYA INDEPENDENT A,Suplente,Local,PLA DE NA TESA A,17,1,0,0,44
18,"LLAMAS MARTINEZ, ERIC",PENYA INDEPENDENT A,Suplente,Local,PLA DE NA TESA A,17,1,0,0,21
13,"FATY, MALANG",PLA DE NA TESA A,Titular,Visitante,PENYA INDEPENDENT A,17,0,0,0,90
2,"MESA ZAFRA, CHRISTIAN",PLA DE NA TESA A,Titular,Visitante,PENYA INDEPENDENT A,17,0,0,0,90
3,"OSEGIE AMADASUN, MARVIN ISOKEN",PLA DE NA TESA A,Titular,Visitante,PENYA INDEPENDENT A,17,0,0,0,90
4,"GONZALEZ OBRADOR, ENRIC",PLA DE NA TESA A,Titular,Visitante,PENYA INDEPENDENT A,17,0,0,0,90
5,"MARTINEZ ESPINOSA, DENIS",PLA DE NA TESA A,Titular,Visitante,PENYA INDEPENDENT A,17,0,0,0,90
6,"ALONSO MUNICIO, PABLO",PLA DE NA TESA A,Titular,Visitante,PENYA INDEPENDENT A,17,0,0,0,90
7,"CACERES COMAS, SERGI",PLA DE NA TESA A,Titular,Visitante,PENYA INDEPENDENT A,17,0,0,0,58
8,"NAVARRO BEZARES, JAVIER",PLA DE NA TESA A,Titular,Visitante,PENYA INDEPENDENT A,17,0,0,0,90
9,"MONTES MORALES, ADRIAN",PLA DE NA TESA A,Titular,Visitante,PENYA INDEPENDENT A,17,0,0,0,90
10,"ONCALA CARAVACA, DANIEL",PLA DE NA TESA A,Titular,Visitante,PENYA INDEPENDENT A,17,0,0,0,83
11,"AIT SAID TAFZATI, NABIL",PLA DE NA TESA A,Titular,Visitante,PENYA INDEPENDENT A,17,1,0,0,58
1,"CRUZ SEGUI, SERGIO",PLA DE NA TESA A,Suplente,Visitante,PENYA INDEPENDENT A,17,0,0,0,0
14,"DRAGHI, MAXIMO",PLA DE NA TESA A,Suplente,Visitante,PENYA INDEPENDENT A,17,0,0,0,0
15,"MORA GISPERT, HUGO",PLA DE NA TESA A,Suplente,Visitante,PENYA INDEPENDENT A,17,0,0,0,32
16,"MASCARÓ SERVERA, JUAN",PLA DE NA TESA A,Suplente,Visitante,PENYA INDEPENDENT A,17,0,0,0,7
17,"ASAMOAH ASANTEWAA, DENIS",PLA DE NA TESA A,Suplente,Visitante,PENYA INDEPENDENT A,17,0,0,0,0
18,"MONTALBAN ROMERO, MILO JERONIMO",PLA DE NA TESA A,Suplente,Visitante,PENYA INDEPENDENT A,17,1,0,0,32
