numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"FONTANET REUS, TOMAS",SD LA SALLE A,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,17,0,0,0,90
2,"PANEQUE PÉREZ, JOEL",SD LA SALLE A,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,17,0,0,0,90
3,"MOYA PEDREGOSA, ALEJANDRO",SD LA SALLE A,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,17,0,0,0,90
4,"VIZCAINO SEGURA, ALAN",SD LA SALLE A,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,17,0,0,0,90
5,"PUYA TUR, OSCAR",SD LA SALLE A,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,17,0,0,0,90
6,"COMAS HUTTEN, PAU LLUIS",SD LA SALLE A,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,17,0,0,0,61
7,"SALMERON SEGURA, JONATHAN",SD LA SALLE A,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,17,0,1,0,46
8,"CORTES BOIXO, ALEIX",SD LA SALLE A,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,17,0,0,0,77
9,"TORRALBA TANUGGI, LUIS",SD LA SALLE A,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,17,0,0,0,90
11,"FERNANDEZ CABRERA, DAVID",SD LA SALLE A,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,17,1,0,0,61
12,"RODRIGUEZ MONGELOS, GAEL PAU",SD LA SALLE A,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,17,1,0,0,69
13,"SILVA GIORGIO, AGUSTIN",SD LA SALLE A,Suplente,Local,PENYA CIUTADELLA ESPORTIVA A,17,0,0,0,0
14,"GIL MASSANET, LLUIS",SD LA SALLE A,Suplente,Local,PENYA CIUTADELLA ESPORTIVA A,17,0,0,0,29
15,"AMAYA MALENO, FRANCISCO",SD LA SALLE A,Suplente,Local,PENYA CIUTADELLA ESPORTIVA A,17,0,0,0,21
16,"ARBOS DENGRA, DIEGO",SD LA SALLE A,Suplente,Local,PENYA CIUTADELLA ESPORTIVA A,17,0,0,0,44
17,"MARTI RODRIGUEZ, IVAN",SD LA SALLE A,Suplente,Local,PENYA CIUTADELLA ESPORTIVA A,17,0,0,0,0
18,"PETRARCA, ELIA",SD LA SALLE A,Suplente,Local,PENYA CIUTADELLA ESPORTIVA A,17,0,0,0,29
20,"VIVARES ARANDA, YANNICK",SD LA SALLE A,Suplente,Local,PENYA CIUTADELLA ESPORTIVA A,17,0,0,0,13
1,"GOMILA GOMILA, JOAN",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,SD LA SALLE A,17,0,0,0,90
3,"JUANEDA JUANEDA, JOSEP",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,SD LA SALLE A,17,0,0,0,61
5,"BERNAL VOIGT, YAMPEL RICHARD",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,SD LA SALLE A,17,0,0,0,90
6,"RUS FERNANDEZ, IGNASI",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,SD LA SALLE A,17,0,0,0,77
7,"DIAZ LLABRES, ISAAC",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,SD LA SALLE A,17,0,0,0,90
9,"TRIAY SASTRE, ADRIA",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,SD LA SALLE A,17,0,0,0,90
10,"PONS MOLL, FRANCESC",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,SD LA SALLE A,17,0,0,0,90
11,"LOPEZ GONZALEZ, ALEJANDRO",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,SD LA SALLE A,17,0,0,0,61
14,"CAPO MORA, MARC",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,SD LA SALLE A,17,0,0,0,53
16,"PONCIANO BUESO, JOSEP",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,SD LA SALLE A,17,0,0,0,77
21,"MARQUES BAGUR, JOAN",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,SD LA SALLE A,17,0,0,0,90
4,"FEDELICH MARQUES, JAN",PENYA CIUTADELLA ESPORTIVA A,Suplente,Visitante,SD LA SALLE A,17,0,0,0,13
8,"FLORIT ANGLADA, JOSEP",PENYA CIUTADELLA ESPORTIVA A,Suplente,Visitante,SD LA SALLE A,17,0,0,0,13
12,"LEON JUAN, VICTOR",PENYA CIUTADELLA ESPORTIVA A,Suplente,Visitante,SD LA SALLE A,17,0,0,0,29
13,"RIOJA GUILLEN, ALFONSO",PENYA CIUTADELLA ESPORTIVA A,Suplente,Visitante,SD LA SALLE A,17,0,0,0,0
15,"MOLL PONS, ROBERTO",PENYA CIUTADELLA ESPORTIVA A,Suplente,Visitante,SD LA SALLE A,17,0,0,0,37
19,"ARGUIMBAU ALLES, MACIA",PENYA CIUTADELLA ESPORTIVA A,Suplente,Visitante,SD LA SALLE A,17,0,0,0,29
