numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
13,"CABELLOS CRUZ, ENRIQUE",SP. ATº CIUTAT DE PALMA,Titular,Local,ANDRATX A,17,0,0,0,90
3,"PUJOL FONT, JAUME",SP. ATº CIUTAT DE PALMA,Titular,Local,ANDRATX A,17,0,0,0,90
4,"ORDOÑEZ QUETGLAS, MARC",SP. ATº CIUTAT DE PALMA,Titular,Local,ANDRATX A,17,0,0,0,90
6,"SANS JIMENEZ, MIQUEL ANGEL",SP. ATº CIUTAT DE PALMA,Titular,Local,ANDRATX A,17,1,0,0,77
7,"SANCHO OLIVER, PEDRO",SP. ATº CIUTAT DE PALMA,Titular,Local,ANDRATX A,17,1,0,0,90
9,"ABRAHAM BOLAÑOS, ISAAC",SP. ATº CIUTAT DE PALMA,Titular,Local,ANDRATX A,17,0,0,0,90
11,"KRZYZYK SERRANO, PEDRO",SP. ATº CIUTAT DE PALMA,Titular,Local,ANDRATX A,17,0,0,0,77
14,"AMENGUAL LIRIO, IVAN",SP. ATº CIUTAT DE PALMA,Titular,Local,ANDRATX A,17,0,0,0,57
18,"CORTES MONTANER, LUIS",SP. ATº CIUTAT DE PALMA,Titular,Local,ANDRATX A,17,0,1,0,46
21,"KRAUSSE, IGNACIO TOMAS",SP. ATº CIUTAT DE PALMA,Titular,Local,ANDRATX A,17,1,1,0,57
24,"GAETE MARTINEZ, ISMAEL",SP. ATº CIUTAT DE PALMA,Titular,Local,ANDRATX A,17,0,0,0,90
1,"GONZALEZ VASQUEZ, LUIS JOSE",SP. ATº CIUTAT DE PALMA,Suplente,Local,ANDRATX A,17,0,0,0,0
2,"MUNAR LAZARO, DANIEL",SP. ATº CIUTAT DE PALMA,Suplente,Local,ANDRATX A,17,0,0,0,44
8,"FERNÁNDEZ CASSO, ALBERTO",SP. ATº CIUTAT DE PALMA,Suplente,Local,ANDRATX A,17,1,0,0,33
10,"SARMIENTO CABAÑIN, GABRIEL A",SP. ATº CIUTAT DE PALMA,Suplente,Local,ANDRATX A,17,0,0,0,33
12,"BLANCO VALERO, DAVID",SP. ATº CIUTAT DE PALMA,Suplente,Local,ANDRATX A,17,0,0,0,0
17,"AQUINO GUTIERREZ, DAN JOEL",SP. ATº CIUTAT DE PALMA,Suplente,Local,ANDRATX A,17,0,0,0,13
29,"KEITA SIDIBE, MADY",SP. ATº CIUTAT DE PALMA,Suplente,Local,ANDRATX A,17,1,0,0,13
25,"HURTADO LOPEZ, IVAN",ANDRATX A,Titular,Visitante,SP. ATº CIUTAT DE PALMA,17,0,0,0,90
3,"ALARCON FERRER, ADRIAN",ANDRATX A,Titular,Visitante,SP. ATº CIUTAT DE PALMA,17,0,0,0,90
6,"TUR HORRACH, HUG",ANDRATX A,Titular,Visitante,SP. ATº CIUTAT DE PALMA,17,0,0,0,90
8,"ALMERING, BEPPE",ANDRATX A,Titular,Visitante,SP. ATº CIUTAT DE PALMA,17,0,0,0,61
9,"VARGAS RODRIGUEZ, NICOLAS",ANDRATX A,Titular,Visitante,SP. ATº CIUTAT DE PALMA,17,0,0,0,79
10,"SANCHEZ RAMIREZ, JAVIER",ANDRATX A,Titular,Visitante,SP. ATº CIUTAT DE PALMA,17,0,0,0,83
11,"JIMENEZ PASTOR, IKER",ANDRATX A,Titular,Visitante,SP. ATº CIUTAT DE PALMA,17,0,0,0,61
12,"CASTELLO FERRA, JOAN",ANDRATX A,Titular,Visitante,SP. ATº CIUTAT DE PALMA,17,0,0,0,90
16,"ROGEL ARRIAGA, BRYAN STALIN",ANDRATX A,Titular,Visitante,SP. ATº CIUTAT DE PALMA,17,0,0,0,90
17,"DOBLAS TORRES, MIGUEL",ANDRATX A,Titular,Visitante,SP. ATº CIUTAT DE PALMA,17,0,0,0,90
18,"AMER CASTILLO, MIGUEL",ANDRATX A,Titular,Visitante,SP. ATº CIUTAT DE PALMA,17,0,0,0,90
1,"DAM, NEO DUPONT",ANDRATX A,Suplente,Visitante,SP. ATº CIUTAT DE PALMA,17,0,0,0,0
5,"OPREA, ALESSIO MIHAI",ANDRATX A,Suplente,Visitante,SP. ATº CIUTAT DE PALMA,17,0,0,0,0
7,"FATAH NAIMI, ISMAEL",ANDRATX A,Suplente,Visitante,SP. ATº CIUTAT DE PALMA,17,0,0,0,7
15,"ACOSTA MORENAS, GERMAN",ANDRATX A,Suplente,Visitante,SP. ATº CIUTAT DE PALMA,17,0,0,0,29
20,"BRIOSO SERRANO, EMILIO JOSÉ",ANDRATX A,Suplente,Visitante,SP. ATº CIUTAT DE PALMA,17,0,0,0,29
23,"CAÑELLAS FIOL, AGUSTIN",ANDRATX A,Suplente,Visitante,SP. ATº CIUTAT DE PALMA,17,0,0,0,11
