numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
25,"HURTADO LOPEZ, IVAN",ANDRATX A,Titular,Local,UD MAHON,18,0,1,0,90
5,"OPREA, ALESSIO MIHAI",ANDRATX A,Titular,Local,UD MAHON,18,0,0,0,46
6,"TUR HORRACH, HUG",ANDRATX A,Titular,Local,UD MAHON,18,0,0,0,90
7,"LUPIAÑEZ ALEMANY, TONI",ANDRATX A,Titular,Local,UD MAHON,18,0,0,0,90
8,"ALMERING, BEPPE",ANDRATX A,Titular,Local,UD MAHON,18,1,0,0,90
9,"VARGAS RODRIGUEZ, NICOLAS",ANDRATX A,Titular,Local,UD MAHON,18,0,0,0,75
10,"SANCHEZ RAMIREZ, JAVIER",ANDRATX A,Titular,Local,UD MAHON,18,1,0,0,90
15,"DE JUANA QUETGLAS, SERGIO",ANDRATX A,Titular,Local,UD MAHON,18,0,1,0,90
16,"ROGEL ARRIAGA, BRYAN STALIN",ANDRATX A,Titular,Local,UD MAHON,18,0,1,0,75
18,"AMER CASTILLO, MIGUEL",ANDRATX A,Titular,Local,UD MAHON,18,0,0,0,59
21,"SINTES DIAZ, JOAN",ANDRATX A,Titular,Local,UD MAHON,18,0,0,0,59
1,"DAM, NEO DUPONT",ANDRATX A,Suplente,Local,UD MAHON,18,0,0,0,0
3,"ALARCON FERRER, ADRIAN",ANDRATX A,Suplente,Local,UD MAHON,18,0,0,0,15
4,"DE JUANA QUETGLAS, DIEGO",ANDRATX A,Suplente,Local,UD MAHON,18,0,0,0,44
11,"JIMENEZ PASTOR, IKER",ANDRATX A,Suplente,Local,UD MAHON,18,0,0,0,31
17,"DOBLAS TORRES, MIGUEL",ANDRATX A,Suplente,Local,UD MAHON,18,0,1,0,31
20,"VILLARRAMIEL PIÑEIRO, IVAN",ANDRATX A,Suplente,Local,UD MAHON,18,0,0,0,0
22,"HOMAR GARCIA, ROMAN",ANDRATX A,Suplente,Local,UD MAHON,18,0,0,0,15
13,"LASSO VIAFARA, DUVAN FELIPE",UD MAHON,Titular,Visitante,ANDRATX A,18,0,0,0,90
2,"NGONG NGO, FABRICE",UD MAHON,Titular,Visitante,ANDRATX A,18,0,0,0,54
3,"DE LA PUENTE JAÑEZ, NICOLAS",UD MAHON,Titular,Visitante,ANDRATX A,18,0,0,0,69
4,"GOMEZ GORDILLO, RAUL",UD MAHON,Titular,Visitante,ANDRATX A,18,0,1,0,90
5,"GOMEZ SANTOS, JUAN",UD MAHON,Titular,Visitante,ANDRATX A,18,0,0,0,90
6,"BOLIVAR PERAL, ROGER",UD MAHON,Titular,Visitante,ANDRATX A,18,0,0,0,90
7,"DE OLIVEIRA MESSIAS, EMMANUEL",UD MAHON,Titular,Visitante,ANDRATX A,18,2,0,0,76
8,"GRUBAC, NOA",UD MAHON,Titular,Visitante,ANDRATX A,18,0,0,0,76
9,"ELHADJ ABDOULAYE, BALDE",UD MAHON,Titular,Visitante,ANDRATX A,18,1,0,0,69
10,"PEREZ MARTIN, IGNACIO",UD MAHON,Titular,Visitante,ANDRATX A,18,1,0,0,90
11,"DE OLIVEIRA MESSIAS, KLAYVER",UD MAHON,Titular,Visitante,ANDRATX A,18,0,1,0,90
12,"IZAGUIRRE RODRIGUEZ, RICARDO ABRAHAM",UD MAHON,Suplente,Visitante,ANDRATX A,18,0,0,0,36
14,"FERNANDEZ ALONSO, ASIER",UD MAHON,Suplente,Visitante,ANDRATX A,18,0,0,0,14
15,"MASCARO MARTINEZ, IKER",UD MAHON,Suplente,Visitante,ANDRATX A,18,0,0,0,0
16,"ESPINOZA ARMIJOS, CARLOS ANDRES",UD MAHON,Suplente,Visitante,ANDRATX A,18,0,0,0,14
17,"LASSO VIAFARA, ANDRES FELIPE",UD MAHON,Suplente,Visitante,ANDRATX A,18,0,0,0,21
18,"SINTES MELERO, ALVARO",UD MAHON,Suplente,Visitante,ANDRATX A,18,0,0,0,21
25,"GASCON SASTRE, IKER",UD MAHON,Suplente,Visitante,ANDRATX A,18,0,0,0,0
