numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"SCHMIDT LOPEZ, JHAIRO EWELL",FERRERIES A,Titular,Local,PLA DE NA TESA A,18,0,0,0,90
3,"FLORIT TAJUELO, HECTOR",FERRERIES A,Titular,Local,PLA DE NA TESA A,18,0,1,0,87
5,"PULIDO COLL, IZAN",FERRERIES A,Titular,Local,PLA DE NA TESA A,18,0,0,0,90
6,"BAGUR MOYA, HUGO",FERRERIES A,Titular,Local,PLA DE NA TESA A,18,0,1,0,90
7,"JANER BOSCH, NOFRE",FERRERIES A,Titular,Local,PLA DE NA TESA A,18,0,0,0,90
9,"FEBRER VILLALONGA, ALBERT",FERRERIES A,Titular,Local,PLA DE NA TESA A,18,1,1,0,87
11,"CANTALAPIEDRA LOBATO, IKER",FERRERIES A,Titular,Local,PLA DE NA TESA A,18,0,0,0,63
17,"PONS CARRERAS, ANGEL",FERRERIES A,Titular,Local,PLA DE NA TESA A,18,0,0,0,90
19,"DE LA PUERTA MARTORELL, JAUME",FERRERIES A,Titular,Local,PLA DE NA TESA A,18,1,0,0,78
22,"SINTES PONS, PAU",FERRERIES A,Titular,Local,PLA DE NA TESA A,18,0,0,0,90
23,"ROTGER LÓPEZ, LLUC",FERRERIES A,Titular,Local,PLA DE NA TESA A,18,0,0,0,78
25,"PONS MOLL, JOSEP LLUIS",FERRERIES A,Suplente,Local,PLA DE NA TESA A,18,0,0,0,0
4,"AMELLER RIUDAVETS, JOSEP",FERRERIES A,Suplente,Local,PLA DE NA TESA A,18,0,0,0,3
10,"BOSCH PULIDO, NIL",FERRERIES A,Suplente,Local,PLA DE NA TESA A,18,0,0,0,3
12,"TRIAY HIERRO, TEO",FERRERIES A,Suplente,Local,PLA DE NA TESA A,18,0,0,0,12
16,"MBAYE RUIZ, MOUHAMAD YASIN",FERRERIES A,Suplente,Local,PLA DE NA TESA A,18,0,0,0,0
20,"BOSCH VALDERRABANO, TONI",FERRERIES A,Suplente,Local,PLA DE NA TESA A,18,0,0,0,27
21,"CAMPS CARETA, PERE",FERRERIES A,Suplente,Local,PLA DE NA TESA A,18,0,0,0,12
1,"CRUZ SEGUI, SERGIO",PLA DE NA TESA A,Titular,Visitante,FERRERIES A,18,0,0,0,90
2,"DRAGHI, MAXIMO",PLA DE NA TESA A,Titular,Visitante,FERRERIES A,18,0,0,0,90
3,"OSEGIE AMADASUN, MARVIN ISOKEN",PLA DE NA TESA A,Titular,Visitante,FERRERIES A,18,0,0,0,90
4,"GONZALEZ OBRADOR, ENRIC",PLA DE NA TESA A,Titular,Visitante,FERRERIES A,18,0,0,0,90
5,"MARTINEZ ESPINOSA, DENIS",PLA DE NA TESA A,Titular,Visitante,FERRERIES A,18,0,0,0,90
6,"ALONSO MUNICIO, PABLO",PLA DE NA TESA A,Titular,Visitante,FERRERIES A,18,0,0,0,74
7,"CACERES COMAS, SERGI",PLA DE NA TESA A,Titular,Visitante,FERRERIES A,18,0,0,0,46
8,"ONCALA CARAVACA, DANIEL",PLA DE NA TESA A,Titular,Visitante,FERRERIES A,18,0,0,0,90
9,"MONTES MORALES, ADRIAN",PLA DE NA TESA A,Titular,Visitante,FERRERIES A,18,0,0,0,82
10,"MORA GISPERT, HUGO",PLA DE NA TESA A,Titular,Visitante,FERRERIES A,18,0,0,0,90
11,"AIT SAID TAFZATI, NABIL",PLA DE NA TESA A,Titular,Visitante,FERRERIES A,18,0,0,0,46
13,"FATY, MALANG",PLA DE NA TESA A,Suplente,Visitante,FERRERIES A,18,0,0,0,0
14,"NAVARRO BEZARES, JAVIER",PLA DE NA TESA A,Suplente,Visitante,FERRERIES A,18,0,0,0,0
15,"COULIBALY COULIBALY, MADANE",PLA DE NA TESA A,Suplente,Visitante,FERRERIES A,18,0,0,0,16
16,"MASCARÓ SERVERA, JUAN",PLA DE NA TESA A,Suplente,Visitante,FERRERIES A,18,1,0,0,44
17,"ASAMOAH ASANTEWAA, DENIS",PLA DE NA TESA A,Suplente,Visitante,FERRERIES A,18,0,0,0,8
18,"MONTALBAN ROMERO, MILO JERONIMO",PLA DE NA TESA A,Suplente,Visitante,FERRERIES A,18,0,1,0,44
