numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"VALLBONA SERRA, JOAN",MALLORCA B,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,18,0,0,0,90
2,"VERD ALONSO, ABEL",MALLORCA B,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,18,0,0,0,90
3,"TEJADA LLADONET, ORIOL",MALLORCA B,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,18,0,0,0,83
4,"D'VAZ AFONSO, SPENCER GARCIA",MALLORCA B,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,18,1,1,0,90
5,"ALEMANY TOUS, MARC",MALLORCA B,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,18,0,0,0,90
6,"BURGAYA GENOVART, FERRAN",MALLORCA B,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,18,0,0,0,46
7,"DIALLO CONDE, ABDOURAHAMANE",MALLORCA B,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,18,0,0,0,90
8,"HORRACH LLABRES, GERARDO",MALLORCA B,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,18,0,0,0,90
9,"SIDIROPOULOS, ANASTASIOS",MALLORCA B,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,18,1,0,0,74
10,"MARTINEZ BELA, JAVIER",MALLORCA B,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,18,0,0,0,74
11,"MOLINA DONAIRE, DANIEL",MALLORCA B,Titular,Local,PENYA CIUTADELLA ESPORTIVA A,18,0,0,0,63
13,"MERCADAL CARRERAS, JOSEP",MALLORCA B,Suplente,Local,PENYA CIUTADELLA ESPORTIVA A,18,0,0,0,0
12,"VERA SALINAS, ERIK",MALLORCA B,Suplente,Local,PENYA CIUTADELLA ESPORTIVA A,18,0,0,0,0
14,"FRESNEDA HIDALGO, HUGO",MALLORCA B,Suplente,Local,PENYA CIUTADELLA ESPORTIVA A,18,0,0,0,7
15,"BIARNES MORENO, ALEJANDRO",MALLORCA B,Suplente,Local,PENYA CIUTADELLA ESPORTIVA A,18,0,0,0,44
16,"CORCINO MUÑOZ, ANDRES",MALLORCA B,Suplente,Local,PENYA CIUTADELLA ESPORTIVA A,18,0,0,0,16
17,"LAZARO TORRES, MARIO",MALLORCA B,Suplente,Local,PENYA CIUTADELLA ESPORTIVA A,18,0,0,0,16
18,"AVILÉS MAESTRE, JOEL",MALLORCA B,Suplente,Local,PENYA CIUTADELLA ESPORTIVA A,18,0,0,0,27
13,"RIOJA GUILLEN, ALFONSO",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,MALLORCA B,18,0,0,0,90
3,"JUANEDA JUANEDA, JOSEP",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,MALLORCA B,18,0,0,0,90
4,"FEDELICH MARQUES, JAN",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,MALLORCA B,18,0,0,0,63
6,"RUS FERNANDEZ, IGNASI",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,MALLORCA B,18,0,0,0,90
7,"DIAZ LLABRES, ISAAC",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,MALLORCA B,18,0,0,0,69
9,"TRIAY SASTRE, ADRIA",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,MALLORCA B,18,0,0,0,90
10,"PONS MOLL, FRANCESC",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,MALLORCA B,18,0,0,0,90
14,"CAPO MORA, MARC",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,MALLORCA B,18,0,0,0,90
15,"MOLL PONS, ROBERTO",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,MALLORCA B,18,0,0,0,77
16,"PONCIANO BUESO, JOSEP",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,MALLORCA B,18,0,1,0,69
21,"MARQUES BAGUR, JOAN",PENYA CIUTADELLA ESPORTIVA A,Titular,Visitante,MALLORCA B,18,0,0,0,90
1,"GOMILA GOMILA, JOAN",PENYA CIUTADELLA ESPORTIVA A,Suplente,Visitante,MALLORCA B,18,0,0,0,0
5,"BERNAL VOIGT, YAMPEL RICHARD",PENYA CIUTADELLA ESPORTIVA A,Suplente,Visitante,MALLORCA B,18,0,0,0,27
8,"FLORIT ANGLADA, JOSEP",PENYA CIUTADELLA ESPORTIVA A,Suplente,Visitante,MALLORCA B,18,0,0,0,0
11,"LOPEZ GONZALEZ, ALEJANDRO",PENYA CIUTADELLA ESPORTIVA A,Suplente,Visitante,MALLORCA B,18,0,1,0,21
12,"LEON JUAN, VICTOR",PENYA CIUTADELLA ESPORTIVA A,Suplente,Visitante,MALLORCA B,18,0,0,0,21
17,"PASCUAL GORNES, ENRIC",PENYA CIUTADELLA ESPORTIVA A,Suplente,Visitante,MALLORCA B,18,0,0,0,13
