numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"AZIZI BAIBOUN, OUSSAMA",PALMA F.C.,Titular,Local,SAN FRANCISCO B,18,0,0,0,90
2,"ORTEGA CASTILLA, HUGO",PALMA F.C.,Titular,Local,SAN FRANCISCO B,18,0,0,0,66
3,"VICENS VIDAL, PAU",PALMA F.C.,Titular,Local,SAN FRANCISCO B,18,0,0,0,62
4,"GOMEZ ACUÑA, RENSON ENRIQUE",PALMA F.C.,Titular,Local,SAN FRANCISCO B,18,0,0,0,62
5,JOAN,PALMA F.C.,Titular,Local,SAN FRANCISCO B,18,0,1,0,90
6,"FERRA OSPINA, CARLES JOAN",PALMA F.C.,Titular,Local,SAN FRANCISCO B,18,0,0,0,90
7,"NDIR GUEYE, MOUHAMADOUL LAMIN",PALMA F.C.,Titular,Local,SAN FRANCISCO B,18,0,0,0,90
8,"PORCEL MARTINEZ, JORDI",PALMA F.C.,Titular,Local,SAN FRANCISCO B,18,0,0,0,45
9,"MORELL SACRISTÁN, CARLOS",PALMA F.C.,Titular,Local,SAN FRANCISCO B,18,0,0,0,62
10,"FRANCO SINGEORZAN, ALEX",PALMA F.C.,Titular,Local,SAN FRANCISCO B,18,0,0,0,90
11,"GIL GOMILA, XAYRON",PALMA F.C.,Titular,Local,SAN FRANCISCO B,18,0,0,0,90
12,"CONDE, MAMADI",PALMA F.C.,Suplente,Local,SAN FRANCISCO B,18,0,0,0,24
14,"ALCALDE ORTEGA, JUAN JOSÉ",PALMA F.C.,Suplente,Local,SAN FRANCISCO B,18,0,0,0,28
15,"MARCANO FLORIAN, SEBASTIAN JESUS",PALMA F.C.,Suplente,Local,SAN FRANCISCO B,18,0,0,0,0
16,"VILLALONGA GÓMEZ, IKER",PALMA F.C.,Suplente,Local,SAN FRANCISCO B,18,0,0,0,45
17,"FOLGADO GARNICA, PAULO",PALMA F.C.,Suplente,Local,SAN FRANCISCO B,18,0,0,0,28
18,"JIMENEZ JARAMILLO, KARLO ANDREU",PALMA F.C.,Suplente,Local,SAN FRANCISCO B,18,0,0,0,28
1,"MARTINS CORRAL, DIEGO",SAN FRANCISCO B,Titular,Visitante,PALMA F.C.,18,0,0,0,90
2,"LOPEZ CABRERA, JESUS",SAN FRANCISCO B,Titular,Visitante,PALMA F.C.,18,0,1,0,90
3,"BORDOY LEAL, PEDRO",SAN FRANCISCO B,Titular,Visitante,PALMA F.C.,18,0,0,0,72
4,"RIBAS MUÑOZ, SERGI",SAN FRANCISCO B,Titular,Visitante,PALMA F.C.,18,0,0,0,90
5,"CLADERA SOBERATS, LLORENÇ",SAN FRANCISCO B,Titular,Visitante,PALMA F.C.,18,0,0,0,90
6,"LEDESMA COR, MATEU",SAN FRANCISCO B,Titular,Visitante,PALMA F.C.,18,1,0,0,90
7,"SALAMANCA GALERA, AITOR",SAN FRANCISCO B,Titular,Visitante,PALMA F.C.,18,0,1,0,72
8,"GALLARDO DEL VALLE, BENJAMIN",SAN FRANCISCO B,Titular,Visitante,PALMA F.C.,18,0,0,0,90
9,"SUÁREZ SERRA, ALEX",SAN FRANCISCO B,Titular,Visitante,PALMA F.C.,18,1,0,0,77
10,"LUNEGRO, BRUNO",SAN FRANCISCO B,Titular,Visitante,PALMA F.C.,18,0,0,0,72
11,"BADJINKA NDIAYE, BUBAKAR",SAN FRANCISCO B,Titular,Visitante,PALMA F.C.,18,1,0,0,63
12,"ALARCON CAVERO, JOEL",SAN FRANCISCO B,Suplente,Visitante,PALMA F.C.,18,0,0,0,0
14,"DIAZ ROMERO, GYLBERT",SAN FRANCISCO B,Suplente,Visitante,PALMA F.C.,18,0,0,0,0
15,"CONDE PEREIRA, ALEJANDRO MANUEL",SAN FRANCISCO B,Suplente,Visitante,PALMA F.C.,18,0,0,0,27
16,"SILVA SALINAS, ALEJANDRO",SAN FRANCISCO B,Suplente,Visitante,PALMA F.C.,18,0,0,0,18
17,"MASSANET CABRER, FRANCESC",SAN FRANCISCO B,Suplente,Visitante,PALMA F.C.,18,0,0,0,18
18,"ANDEBUELA BARRIOS, PABLO",SAN FRANCISCO B,Suplente,Visitante,PALMA F.C.,18,0,0,0,13
19,"TEJADA RODRIGUEZ, JOAN",SAN FRANCISCO B,Suplente,Visitante,PALMA F.C.,18,0,0,0,18
