numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
1,"MUÑOZ CAMPOY, IVAN",PENYA ARRABAL A,Titular,Local,CONSTANCIA A,18,0,0,0,90
3,"MARTINEZ MUNTANER, SERGI",PENYA ARRABAL A,Titular,Local,CONSTANCIA A,18,0,0,0,90
6,"MUÑOZ BAIXAULI, JUAN",PENYA ARRABAL A,Titular,Local,CONSTANCIA A,18,0,0,0,90
7,"MESQUIDA URIBE, XAVIER",PENYA ARRABAL A,Titular,Local,CONSTANCIA A,18,0,0,0,90
9,"LEBRERO BENITEZ, HUGO",PENYA ARRABAL A,Titular,Local,CONSTANCIA A,18,0,0,0,80
10,"CRESPI BARRERA, LEONARDO",PENYA ARRABAL A,Titular,Local,CONSTANCIA A,18,1,0,0,89
14,"MAS MAIMO, JOSEP",PENYA ARRABAL A,Titular,Local,CONSTANCIA A,18,0,1,0,63
15,"HERRERA IGLESIAS, ADRIAN",PENYA ARRABAL A,Titular,Local,CONSTANCIA A,18,0,0,0,63
18,"FIOL ACEITUNO, MIQUEL",PENYA ARRABAL A,Titular,Local,CONSTANCIA A,18,0,0,0,90
20,"PASCUAL RIERA, MIGUEL ANGEL",PENYA ARRABAL A,Titular,Local,CONSTANCIA A,18,0,0,0,90
21,"RIUTORT GONZALEZ, JUAN FRANCISCO",PENYA ARRABAL A,Titular,Local,CONSTANCIA A,18,1,0,0,90
2,"ROTTLANDER, LENNOX MARKUS",PENYA ARRABAL A,Suplente,Local,CONSTANCIA A,18,0,0,0,0
4,"RAMOS RIAMBAU, MARLON MIGUEL",PENYA ARRABAL A,Suplente,Local,CONSTANCIA A,18,0,0,0,0
5,"VALLESPIR TIMONER, PERE MARC",PENYA ARRABAL A,Suplente,Local,CONSTANCIA A,18,0,0,0,1
11,"VAZQUEZ SUAREZ, HUGO",PENYA ARRABAL A,Suplente,Local,CONSTANCIA A,18,0,0,0,27
12,"ILESO, DIVINE",PENYA ARRABAL A,Suplente,Local,CONSTANCIA A,18,0,0,0,10
13,"MANOLACHE POCOVI, DANIEL",PENYA ARRABAL A,Suplente,Local,CONSTANCIA A,18,0,0,0,0
17,"ARIAS BESTARD, ENZO",PENYA ARRABAL A,Suplente,Local,CONSTANCIA A,18,0,0,0,27
13,"BOVER LLOMPART, JOSEP",CONSTANCIA A,Titular,Visitante,PENYA ARRABAL A,18,0,1,0,90
3,"ROMAN DE REMENTERIA, ASIER",CONSTANCIA A,Titular,Visitante,PENYA ARRABAL A,18,0,1,0,84
4,"CRESPI LUCENA, JUAN MIQUEL",CONSTANCIA A,Titular,Visitante,PENYA ARRABAL A,18,1,0,0,90
5,"FONTCUBERTA GALINDO, GABRIEL",CONSTANCIA A,Titular,Visitante,PENYA ARRABAL A,18,0,1,0,90
7,"MARTIN MONSALVE, IAN",CONSTANCIA A,Titular,Visitante,PENYA ARRABAL A,18,0,0,0,90
10,"CABEZAS GALLARDO, MANUEL",CONSTANCIA A,Titular,Visitante,PENYA ARRABAL A,18,0,0,0,90
11,"COLL AREVALO, JORDI",CONSTANCIA A,Titular,Visitante,PENYA ARRABAL A,18,0,0,0,84
14,"MORENO GODOY, NICOLAS",CONSTANCIA A,Titular,Visitante,PENYA ARRABAL A,18,0,0,0,90
18,"PATRICIO GUAL, MARC",CONSTANCIA A,Titular,Visitante,PENYA ARRABAL A,18,0,0,0,68
19,"GALVEZ ESPINOZA, BRAD ANTONY",CONSTANCIA A,Titular,Visitante,PENYA ARRABAL A,18,0,0,0,90
23,"BLANCO WEBER, LUCA",CONSTANCIA A,Titular,Visitante,PENYA ARRABAL A,18,0,0,0,75
1,"MIR OLMO, JORDI",CONSTANCIA A,Suplente,Visitante,PENYA ARRABAL A,18,0,0,0,0
6,"SEGURA QUETGLAS, PERE ANTONI",CONSTANCIA A,Suplente,Visitante,PENYA ARRABAL A,18,0,0,0,0
9,"BALLE BRUNET, JOAN",CONSTANCIA A,Suplente,Visitante,PENYA ARRABAL A,18,0,0,0,22
15,"KOUJILI EL TALHAOUI, MAROUAN",CONSTANCIA A,Suplente,Visitante,PENYA ARRABAL A,18,0,0,0,6
17,"SABATER SANCHO, MARC",CONSTANCIA A,Suplente,Visitante,PENYA ARRABAL A,18,0,0,0,6
20,"CHUKWUKERE PULLET, GREGORY IKECHUKWU",CONSTANCIA A,Suplente,Visitante,PENYA ARRABAL A,18,0,0,0,15
22,"MAIRATA NOGUERA, ADRIA",CONSTANCIA A,Suplente,Visitante,PENYA ARRABAL A,18,0,0,0,0
