numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
13,"VILLAR MARI, BARTOMEU TONI",PENYA INDEPENDENT A,Titular,Local,SANTA CATALINA ATº A,18,0,0,0,90
2,"MARTINEZ GARCIA, ENRIQUE",PENYA INDEPENDENT A,Titular,Local,SANTA CATALINA ATº A,18,0,0,0,90
3,"VIERA GONZALEZ, SANTIAGO",PENYA INDEPENDENT A,Titular,Local,SANTA CATALINA ATº A,18,0,0,0,90
4,"MARTINEZ JUAN, MARTIN",PENYA INDEPENDENT A,Titular,Local,SANTA CATALINA ATº A,18,0,1,0,90
6,"OROZCO RIERA, ASIER",PENYA INDEPENDENT A,Titular,Local,SANTA CATALINA ATº A,18,0,0,0,81
7,"LOPEZ MARI, PABLO",PENYA INDEPENDENT A,Titular,Local,SANTA CATALINA ATº A,18,0,0,0,90
8,"PRATS RIPOLL, MIQUEL",PENYA INDEPENDENT A,Titular,Local,SANTA CATALINA ATº A,18,0,0,0,72
9,"CORDOBA TUR, MARC",PENYA INDEPENDENT A,Titular,Local,SANTA CATALINA ATº A,18,1,0,0,90
10,"EL HABBOULA EL KORTOBI, ABDELMOIZE",PENYA INDEPENDENT A,Titular,Local,SANTA CATALINA ATº A,18,0,0,0,81
17,"ODERA PACILIO, SANTIAGO",PENYA INDEPENDENT A,Titular,Local,SANTA CATALINA ATº A,18,0,0,0,90
18,"LLAMAS MARTINEZ, ERIC",PENYA INDEPENDENT A,Titular,Local,SANTA CATALINA ATº A,18,0,0,0,59
1,"RAMON DIAZ, HUGO",PENYA INDEPENDENT A,Suplente,Local,SANTA CATALINA ATº A,18,0,0,0,0
5,"GRANDA VILLAVICENCIO, DAVID JOAN",PENYA INDEPENDENT A,Suplente,Local,SANTA CATALINA ATº A,18,0,0,0,0
11,"GHARBI KHAMMAL EL BAKKALI, NASROLLAH",PENYA INDEPENDENT A,Suplente,Local,SANTA CATALINA ATº A,18,0,0,0,18
12,"CREUHERAS GARCIA, MATHEO",PENYA INDEPENDENT A,Suplente,Local,SANTA CATALINA ATº A,18,0,0,0,0
14,"FERRER TORRES, PEDRO",PENYA INDEPENDENT A,Suplente,Local,SANTA CATALINA ATº A,18,0,0,0,9
15,"FAQUINETTI VERGILIO, SAMUEL",PENYA INDEPENDENT A,Suplente,Local,SANTA CATALINA ATº A,18,0,0,0,9
20,"BERNHARDT, JOEL PIOTR",PENYA INDEPENDENT A,Suplente,Local,SANTA CATALINA ATº A,18,0,0,0,31
1,"MADROÑERO CONTRERAS, DAYRON",SANTA CATALINA ATº A,Titular,Visitante,PENYA INDEPENDENT A,18,0,1,0,90
2,"VICH FORTEZA, LLUC",SANTA CATALINA ATº A,Titular,Visitante,PENYA INDEPENDENT A,18,0,0,0,90
3,"ALARCON RAGO, THIAGO",SANTA CATALINA ATº A,Titular,Visitante,PENYA INDEPENDENT A,18,0,0,0,90
4,"FUSTER LATORRE, DANIEL",SANTA CATALINA ATº A,Titular,Visitante,PENYA INDEPENDENT A,18,0,0,0,90
5,"DEYÀ BELTRÁN, SEBASTIÀ",SANTA CATALINA ATº A,Titular,Visitante,PENYA INDEPENDENT A,18,1,0,0,73
6,"GARCIAS LLABRES, MIQUEL",SANTA CATALINA ATº A,Titular,Visitante,PENYA INDEPENDENT A,18,0,0,0,90
7,"FERNANDEZ REY, RAUL",SANTA CATALINA ATº A,Titular,Visitante,PENYA INDEPENDENT A,18,0,0,0,90
8,"LOPEZ FUXA, AARON",SANTA CATALINA ATº A,Titular,Visitante,PENYA INDEPENDENT A,18,0,0,0,90
9,"LOMAS SERVERA, PAU",SANTA CATALINA ATº A,Titular,Visitante,PENYA INDEPENDENT A,18,0,1,0,85
16,"BARRIGA CATRINA, VICTOR",SANTA CATALINA ATº A,Titular,Visitante,PENYA INDEPENDENT A,18,0,0,0,90
19,"MASCARELL LLABRES, MARC",SANTA CATALINA ATº A,Titular,Visitante,PENYA INDEPENDENT A,18,0,0,0,80
13,"ROIG VEGA, MATEO",SANTA CATALINA ATº A,Suplente,Visitante,PENYA INDEPENDENT A,18,0,0,0,0
10,"SASTRE BOTA, JAUME",SANTA CATALINA ATº A,Suplente,Visitante,PENYA INDEPENDENT A,18,0,0,0,10
14,"KOPACH, DANIIL",SANTA CATALINA ATº A,Suplente,Visitante,PENYA INDEPENDENT A,18,0,0,0,17
18,"MARTIN CABALLERO, ANGEL",SANTA CATALINA ATº A,Suplente,Visitante,PENYA INDEPENDENT A,18,0,0,0,5
24,"EZ ZARY SAIDI, ISMAEL",SANTA CATALINA ATº A,Suplente,Visitante,PENYA INDEPENDENT A,18,0,0,0,0
