numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
13,"OLIVER RAMIS, PEP",POBLENSE A,Titular,Local,U D IBIZA A,18,0,0,0,90
2,"GIBSON, JASPER",POBLENSE A,Titular,Local,U D IBIZA A,18,0,0,0,58
3,"MENDEZ DUARTE, IVAN",POBLENSE A,Titular,Local,U D IBIZA A,18,0,1,0,90
4,"ENSEÑAT RAMIS, MIQUEL",POBLENSE A,Titular,Local,U D IBIZA A,18,0,1,0,90
5,"DE LA CRUZ RIERA, JOAN MATEU",POBLENSE A,Titular,Local,U D IBIZA A,18,0,0,0,73
11,"RETTICH SOLER, JOSEP",POBLENSE A,Titular,Local,U D IBIZA A,18,0,0,0,90
14,"JIMENA BELTRAN, CARLOS",POBLENSE A,Titular,Local,U D IBIZA A,18,0,0,0,58
18,"MORAGUES MORAGUES, JOAN",POBLENSE A,Titular,Local,U D IBIZA A,18,0,1,0,73
21,"VIVES COMAS, JOAN JORDI",POBLENSE A,Titular,Local,U D IBIZA A,18,0,0,0,58
23,"RIERA MARTÍNEZ, FERRAN",POBLENSE A,Titular,Local,U D IBIZA A,18,1,0,0,90
25,"TUR ESCALAS, TONI",POBLENSE A,Titular,Local,U D IBIZA A,18,0,0,0,90
1,"RIBOT SUREDA, XAVIER",POBLENSE A,Suplente,Local,U D IBIZA A,18,0,0,0,0
6,"AGUILERA PERELLO, ADRIÀ",POBLENSE A,Suplente,Local,U D IBIZA A,18,0,0,0,32
7,"CAIMARI FIGUEROLA, JAUME",POBLENSE A,Suplente,Local,U D IBIZA A,18,0,0,0,32
8,"THIAM BORRAS, KARIM",POBLENSE A,Suplente,Local,U D IBIZA A,18,0,0,0,17
9,"FERRER RIGO, SEBASTIÀ",POBLENSE A,Suplente,Local,U D IBIZA A,18,0,0,0,17
12,"MEFTAH ES SALEMY, BILAL",POBLENSE A,Suplente,Local,U D IBIZA A,18,0,0,0,0
22,"GONZÁLEZ ONETO, ASSIER",POBLENSE A,Suplente,Local,U D IBIZA A,18,0,1,0,32
1,"MONTES DOMINGUEZ, ALBERTO",U D IBIZA A,Titular,Visitante,POBLENSE A,18,0,0,0,90
2,"ROMAN MUÑOZ, ETHAN",U D IBIZA A,Titular,Visitante,POBLENSE A,18,0,1,0,90
3,"PUGLIESE, PAOLO ALBERTO",U D IBIZA A,Titular,Visitante,POBLENSE A,18,1,0,0,77
4,"RODRIGUEZ MARTOS, AARON",U D IBIZA A,Titular,Visitante,POBLENSE A,18,0,0,0,90
5,"BALBURE CARDONA, ALEX",U D IBIZA A,Titular,Visitante,POBLENSE A,18,0,0,0,90
6,"GORLA, AGUSTIN",U D IBIZA A,Titular,Visitante,POBLENSE A,18,0,0,0,90
7,"BERNASCONI, SANTINO",U D IBIZA A,Titular,Visitante,POBLENSE A,18,0,0,0,85
8,"MARTOS VERGARA, DANIEL",U D IBIZA A,Titular,Visitante,POBLENSE A,18,0,0,0,64
9,"BELTRAN ALVAREZ, SERGIO",U D IBIZA A,Titular,Visitante,POBLENSE A,18,1,0,0,85
10,"LOPEZ CAPACETE, KENAI",U D IBIZA A,Titular,Visitante,POBLENSE A,18,0,0,0,90
11,"GARCIA ALBA, JAVIER",U D IBIZA A,Titular,Visitante,POBLENSE A,18,0,0,0,77
13,"AVOGADRO, TOMMASO",U D IBIZA A,Suplente,Visitante,POBLENSE A,18,0,0,0,0
12,"BONED GARCIA, ADRIÁ",U D IBIZA A,Suplente,Visitante,POBLENSE A,18,0,0,0,26
14,"MEDINA ARANDA, SERGIO",U D IBIZA A,Suplente,Visitante,POBLENSE A,18,0,0,0,5
15,"TORRES RIERA, LLUC",U D IBIZA A,Suplente,Visitante,POBLENSE A,18,0,0,0,5
16,"OKROGLIC SOMOZA, LUKA",U D IBIZA A,Suplente,Visitante,POBLENSE A,18,0,0,0,0
18,"RODRIGUEZ ROIG, ARIAN",U D IBIZA A,Suplente,Visitante,POBLENSE A,18,0,0,0,13
19,"ELIAS ARANDIA, SAMUEL ABEL",U D IBIZA A,Suplente,Visitante,POBLENSE A,18,0,1,0,13
