numero,jugador,equipo,status,localizacion,rival,jornada,goles,Tarjetas Amarillas,Tarjetas Rojas,minutos_jugados
13,"SILVA GIORGIO, AGUSTIN",SD LA SALLE A,Titular,Local,PLATGES DE CALVIA A,18,0,0,0,90
2,"PANEQUE PÉREZ, JOEL",SD LA SALLE A,Titular,Local,PLATGES DE CALVIA A,18,0,0,0,90
3,"SANCHEZ LAFUENTE, ARITZ",SD LA SALLE A,Titular,Local,PLATGES DE CALVIA A,18,0,0,0,90
4,"VIZCAINO SEGURA, ALAN",SD LA SALLE A,Titular,Local,PLATGES DE CALVIA A,18,0,0,0,90
5,"PUYA TUR, OSCAR",SD LA SALLE A,Titular,Local,PLATGES DE CALVIA A,18,0,0,0,90
6,"CORTES BOIXO, ALEIX",SD LA SALLE A,Titular,Local,PLATGES DE CALVIA A,18,0,1,0,64
7,"FERNANDEZ CABRERA, DAVID",SD LA SALLE A,Titular,Local,PLATGES DE CALVIA A,18,0,0,0,64
8,"COMAS HUTTEN, PAU LLUIS",SD LA SALLE A,Titular,Local,PLATGES DE CALVIA A,18,0,0,0,90
9,"TORRALBA TANUGGI, LUIS",SD LA SALLE A,Titular,Local,PLATGES DE CALVIA A,18,0,0,0,83
10,"RODRIGUEZ MONGELOS, GAEL PAU",SD LA SALLE A,Titular,Local,PLATGES DE CALVIA A,18,0,0,0,90
11,"ARBOS DENGRA, DIEGO",SD LA SALLE A,Titular,Local,PLATGES DE CALVIA A,18,0,0,0,83
14,"SALMERON SEGURA, JONATHAN",SD LA SALLE A,Suplente,Local,PLATGES DE CALVIA A,18,0,0,0,7
15,"GIL MASSANET, LLUIS",SD LA SALLE A,Suplente,Local,PLATGES DE CALVIA A,18,0,0,0,26
16,"PETRARCA, ELIA",SD LA SALLE A,Suplente,Local,PLATGES DE CALVIA A,18,0,0,0,26
17,"MARTI RODRIGUEZ, IVAN",SD LA SALLE A,Suplente,Local,PLATGES DE CALVIA A,18,0,0,0,7
18,"ESCUERO PARDOS, MARTI",SD LA SALLE A,Suplente,Local,PLATGES DE CALVIA A,18,0,0,0,0
20,"VIVARES ARANDA, YANNICK",SD LA SALLE A,Suplente,Local,PLATGES DE CALVIA A,18,0,0,0,0
25,"VALENZUELA BIERMAN, NOAH",PLATGES DE CALVIA A,Titular,Visitante,SD LA SALLE A,18,0,0,0,90
4,"LOUNADI MUNAR, SAMUEL",PLATGES DE CALVIA A,Titular,Visitante,SD LA SALLE A,18,0,0,0,90
5,"SOLIVELLAS LLOMPART, JOAQUÍN",PLATGES DE CALVIA A,Titular,Visitante,SD LA SALLE A,18,0,0,0,90
6,"MATAS OLIVER, PABLO",PLATGES DE CALVIA A,Titular,Visitante,SD LA SALLE A,18,0,0,0,90
7,"SANCHIS MARTINEZ, DAVID",PLATGES DE CALVIA A,Titular,Visitante,SD LA SALLE A,18,0,0,0,78
8,"GARCÍA RODRÍGUEZ, UNAI",PLATGES DE CALVIA A,Titular,Visitante,SD LA SALLE A,18,0,0,0,90
9,"CASAUS SANCHEZ, JOSE IGNACIO",PLATGES DE CALVIA A,Titular,Visitante,SD LA SALLE A,18,0,1,0,90
10,"EXPOSITO BINNEWIES, ALEJANDRO",PLATGES DE CALVIA A,Titular,Visitante,SD LA SALLE A,18,0,1,0,90
11,"PARRA VIZUETE, DANIEL",PLATGES DE CALVIA A,Titular,Visitante,SD LA SALLE A,18,0,0,0,78
14,"HOLLINGSWORTH, HARRY RICHARD",PLATGES DE CALVIA A,Titular,Visitante,SD LA SALLE A,18,0,0,0,90
21,"CABRERA FERRA, LIAM",PLATGES DE CALVIA A,Titular,Visitante,SD LA SALLE A,18,0,1,0,90
1,"RODRIGUEZ GUASP, JORDI",PLATGES DE CALVIA A,Suplente,Visitante,SD LA SALLE A,18,0,0,0,0
2,"GAYUBAS GONZALEZ, LUIS MIGUEL",PLATGES DE CALVIA A,Suplente,Visitante,SD LA SALLE A,18,0,0,0,0
3,"ALCOLEA ESCORCIA, CARLOS",PLATGES DE CALVIA A,Suplente,Visitante,SD LA SALLE A,18,0,0,0,0
16,"PORTO PASCUAL, JUAN",PLATGES DE CALVIA A,Suplente,Visitante,SD LA SALLE A,18,0,0,0,0
17,"PEREZ SILVENTE, ALEJANDRO",PLATGES DE CALVIA A,Suplente,Visitante,SD LA SALLE A,18,0,0,0,12
18,"PAYERO MOLINA, NICOLAS",PLATGES DE CALVIA A,Suplente,Visitante,SD LA SALLE A,18,0,0,0,0
20,"PUJOL ALOMAR, TELM",PLATGES DE CALVIA A,Suplente,Visitante,SD LA SALLE A,18,0,0,0,12
